date,close,hold
2021-01-08,26805.0,14988
2021-01-11,26030.0,17600
2021-01-12,25560.0,17194
2021-01-13,25855.0,17052
2021-01-14,24890.0,18719
2021-01-15,24725.0,18594
2021-01-18,25140.0,18536
2021-01-19,25025.0,17800
2021-01-20,24910.0,17573
2021-01-21,24870.0,17278
2021-01-22,24570.0,17413
2021-01-25,24930.0,16900
2021-01-26,25555.0,17980
2021-01-27,25275.0,17942
2021-01-28,25190.0,17581
2021-01-29,25570.0,17760
2021-02-01,25685.0,18539
2021-02-02,25380.0,18831
2021-02-03,25315.0,18399
2021-02-04,25445.0,18364
2021-02-05,26170.0,19213
2021-02-08,26900.0,19705
2021-02-09,26845.0,19375
2021-02-10,26705.0,19412
2021-02-18,27000.0,20245
2021-02-19,28330.0,21176
2021-02-22,29380.0,18856
2021-02-23,28980.0,16552
2021-02-24,28900.0,15697
2021-02-25,28915.0,14880
2021-02-26,28970.0,14493
2021-03-01,29185.0,14013
2021-03-02,28750.0,13518
2021-03-03,28785.0,13105
2021-03-04,28845.0,12813
2021-03-05,28400.0,12650
2021-03-08,28545.0,12516
2021-03-09,27900.0,12848
2021-03-10,28050.0,12582
2021-03-11,28595.0,12362
2021-03-12,28750.0,12073
2021-03-15,28405.0,11681
2021-03-16,28450.0,11223
2021-03-17,28610.0,11672
2021-03-18,28470.0,11048
2021-03-19,28505.0,11081
2021-03-22,28250.0,10894
2021-03-23,28135.0,10459
2021-03-24,28000.0,10373
2021-03-25,27520.0,10666
2021-03-26,27215.0,10898
2021-03-29,26555.0,11456
2021-03-30,27030.0,11358
2021-03-31,26985.0,10842
2021-04-01,27940.0,11547
2021-04-02,27660.0,10751
2021-04-06,27120.0,10764
2021-04-07,26810.0,10749
2021-04-08,26920.0,10723
2021-04-09,26610.0,10638
2021-04-12,27095.0,10592
2021-04-13,27605.0,10659
2021-04-14,27425.0,10478
2021-04-15,27190.0,10516
2021-04-16,26920.0,10624
2021-04-19,27180.0,10694
2021-04-20,27110.0,10699
2021-04-21,27170.0,10797
2021-04-22,27195.0,10839
2021-04-23,27720.0,12092
2021-04-26,27370.0,11274
2021-04-27,27035.0,10971
2021-04-28,27250.0,10795
2021-04-29,27320.0,10991
