"stock","artifact","q","threshold","trades","win_rate","avg_return","compound","maxdd","current_q","current_threshold"
"002311.SZ","nextday_close_profit_lgbm_regime_v1","0.5","0.435443745395527","113","0.548672566371681","0.00112958234699891","0.115557191545618","-0.173890337282536","0.7","0.507269117478403"
"002311.SZ","nextday_close_profit_lgbm_regime_v1","0.55","0.44937391617831","101","0.524752475247525","0.000891450394948367","0.075427886901869","-0.173890337282536","0.7","0.507269117478403"
"002311.SZ","nextday_close_profit_lgbm_regime_v1","0.6","0.460222052862681","90","0.533333333333333","0.000978363480254741","0.0748785846822007","-0.133508659852611","0.7","0.507269117478403"
"002311.SZ","nextday_close_profit_lgbm_regime_v1","0.65","0.477157582178347","79","0.544303797468354","0.001367341265603","0.0978253068914348","-0.128632732997783","0.7","0.507269117478403"
"002311.SZ","nextday_close_profit_lgbm_regime_v1","0.7","0.507341996352523","68","0.558823529411765","0.00172473069315792","0.110265322740914","-0.148229407677347","0.7","0.507269117478403"
"002311.SZ","nextday_close_profit_lgbm_regime_v1","0.75","0.521827763254392","57","0.526315789473684","0.000671362176175374","0.0275876948938591","-0.189377139260068","0.7","0.507269117478403"
"002311.SZ","nextday_close_profit_lgbm_regime_v1","0.8","0.545169360997263","45","0.533333333333333","0.000342690807944909","0.00575899829393345","-0.194047260670744","0.7","0.507269117478403"
"002311.SZ","nextday_close_profit_lgbm_regime_v1","0.85","0.569544433030931","34","0.588235294117647","0.00278487675952171","0.090525075996007","-0.18347153684993","0.7","0.507269117478403"
"002311.SZ","nextday_close_profit_lgbm_regime_v1","0.9","0.618860323052001","23","0.608695652173913","0.00262364116194591","0.0574672421468467","-0.121020994580206","0.7","0.507269117478403"
"002311.SZ","nextday_close_profit_lgbm_regime_v1","0.95","0.669584938952583","12","0.666666666666667","0.00757908827726775","0.0923955678182822","-0.0326791291936803","0.7","0.507269117478403"
"002714.SZ","nextday_close_profit_xgb_d3_hog_v1","0.5","0.4665115","113","0.460176991150442","-0.000788622976938148","-0.0987819793101018","-0.155139975193756","0.5","0.466495588421822"
"002714.SZ","nextday_close_profit_xgb_d3_hog_v1","0.55","0.48385257","102","0.46078431372549","-0.00131645257459027","-0.137042549613597","-0.159009354052849","0.5","0.466495588421822"
"002714.SZ","nextday_close_profit_xgb_d3_hog_v1","0.6","0.5061798","91","0.450549450549451","-0.00211492502544059","-0.1841728376877","-0.203635632327759","0.5","0.466495588421822"
"002714.SZ","nextday_close_profit_xgb_d3_hog_v1","0.65","0.5209813","79","0.443037974683544","-0.00264217477263634","-0.196496409468755","-0.231600211026718","0.5","0.466495588421822"
"002714.SZ","nextday_close_profit_xgb_d3_hog_v1","0.7","0.53853196","68","0.426470588235294","-0.00324748341661232","-0.205748091037987","-0.239001529731273","0.5","0.466495588421822"
"002714.SZ","nextday_close_profit_xgb_d3_hog_v1","0.75","0.5529365","57","0.43859649122807","-0.00333214247396546","-0.178739569782606","-0.190859719815592","0.5","0.466495588421822"
"002714.SZ","nextday_close_profit_xgb_d3_hog_v1","0.8","0.57069707","46","0.41304347826087","-0.00373117760592807","-0.162928452782251","-0.175281943060526","0.5","0.466495588421822"
"002714.SZ","nextday_close_profit_xgb_d3_hog_v1","0.85","0.58842826","34","0.411764705882353","-0.00394766191762903","-0.130089710862886","-0.130089710862886","0.5","0.466495588421822"
"002714.SZ","nextday_close_profit_xgb_d3_hog_v1","0.9","0.61487764","23","0.391304347826087","-0.00135472961274621","-0.032790406093018","-0.0607420144219077","0.5","0.466495588421822"
"002714.SZ","nextday_close_profit_xgb_d3_hog_v1","0.95","0.6653303","12","0.166666666666667","-0.00726407360278898","-0.0840827422117935","-0.0840827422117935","0.5","0.466495588421822"
"002714.SZ","nextday_close_profit_xgb_d4_hk_hog_v2","0.5","0.46003765","113","0.442477876106195","-0.00130724933172702","-0.148065249190745","-0.248189968682856","0.5","0.459602266550064"
"002714.SZ","nextday_close_profit_xgb_d4_hk_hog_v2","0.55","0.47250637","102","0.42156862745098","-0.00177943008411579","-0.175558801414949","-0.24749742717971","0.5","0.459602266550064"
"002714.SZ","nextday_close_profit_xgb_d4_hk_hog_v2","0.6","0.48437837","91","0.428571428571429","-0.00188242510615651","-0.166768133187299","-0.228220760824345","0.5","0.459602266550064"
"002714.SZ","nextday_close_profit_xgb_d4_hk_hog_v2","0.65","0.5030753","79","0.443037974683544","-0.00178242333627622","-0.140198938826689","-0.191222674998351","0.5","0.459602266550064"
"002714.SZ","nextday_close_profit_xgb_d4_hk_hog_v2","0.7","0.52527064","68","0.455882352941176","-0.00218240434661638","-0.145068207432881","-0.165897772804819","0.5","0.459602266550064"
"002714.SZ","nextday_close_profit_xgb_d4_hk_hog_v2","0.75","0.5362419","57","0.43859649122807","-0.00256596915926593","-0.142444215429423","-0.173065528232658","0.5","0.459602266550064"
"002714.SZ","nextday_close_profit_xgb_d4_hk_hog_v2","0.8","0.5579971","46","0.434782608695652","-0.00209642614035001","-0.0979094378702642","-0.153128015721001","0.5","0.459602266550064"
"002714.SZ","nextday_close_profit_xgb_d4_hk_hog_v2","0.85","0.58880043","34","0.441176470588235","-0.00117045270235448","-0.0425979664001462","-0.0735942166283803","0.5","0.459602266550064"
"002714.SZ","nextday_close_profit_xgb_d4_hk_hog_v2","0.9","0.6111185","23","0.391304347826087","-0.00310058233713845","-0.0713883309931935","-0.0769832742099966","0.5","0.459602266550064"
"002714.SZ","nextday_close_profit_xgb_d4_hk_hog_v2","0.95","0.6358009","12","0.333333333333333","-0.00739216173298012","-0.0867295401792892","-0.090761974067652","0.5","0.459602266550064"
"002714.SZ","nextday_close_profit_xgb_d4_hk02714_force_v3","0.5","0.44749707","113","0.460176991150442","-0.000303556849885141","-0.0469584957144322","-0.213439661598461","0.5","0.4466512799263"
"002714.SZ","nextday_close_profit_xgb_d4_hk02714_force_v3","0.55","0.46448934","102","0.480392156862745","-0.000330630344073907","-0.0452920381595275","-0.195859308391834","0.5","0.4466512799263"
"002714.SZ","nextday_close_profit_xgb_d4_hk02714_force_v3","0.6","0.48162493","91","0.472527472527473","-0.000735312669970991","-0.0752011069957488","-0.208313759324482","0.5","0.4466512799263"
"002714.SZ","nextday_close_profit_xgb_d4_hk02714_force_v3","0.65","0.49191818","79","0.455696202531646","-0.0010910193321385","-0.0910468734196705","-0.176714014023545","0.5","0.4466512799263"
"002714.SZ","nextday_close_profit_xgb_d4_hk02714_force_v3","0.7","0.5068036","68","0.441176470588235","-0.00203531251714438","-0.136022229380077","-0.194004866135701","0.5","0.4466512799263"
"002714.SZ","nextday_close_profit_xgb_d4_hk02714_force_v3","0.75","0.5267989","57","0.421052631578947","-0.00307872920902287","-0.165909055140941","-0.186420216822007","0.5","0.4466512799263"
"002714.SZ","nextday_close_profit_xgb_d4_hk02714_force_v3","0.8","0.54426396","46","0.41304347826087","-0.00245430566086048","-0.111051480956878","-0.123442369030525","0.5","0.4466512799263"
"002714.SZ","nextday_close_profit_xgb_d4_hk02714_force_v3","0.85","0.56231785","34","0.382352941176471","-0.00349804287743243","-0.115863524319524","-0.127655917578876","0.5","0.4466512799263"
"002714.SZ","nextday_close_profit_xgb_d4_hk02714_force_v3","0.9","0.5959449","23","0.304347826086957","-0.00714531053209968","-0.153832582082699","-0.153832582082699","0.5","0.4466512799263"
"002714.SZ","nextday_close_profit_xgb_d4_hk02714_force_v3","0.95","0.6356184","12","0.333333333333333","-0.00565276040142687","-0.066325267339734","-0.0784434340325129","0.5","0.4466512799263"
"600276.SH","nextday_close_profit_xgb_d5_all_no_ak_v1","0.5","0.26672235","104","0.519230769230769","0.00226708780381275","0.238307932751493","-0.132083951500173","0.5","0.266722351312637"
