status,stock_code,artifact_name,feature_group,feature_count,rows,samples,intraday_bars
ok,002028.SZ,a_active_001_target_exit_80bps_hit80_vwap_low_reversal_extra_trees_600_d3,reversal_fundamental_regime,80,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\04_external\storage_power\training_samples_with_storage_power_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\00_base\002028_5m.csv
ok,600487.SH,a_active_002_target_exit_80bps_hit80_all_days_reversal_xgb_d2_200_lr003_mcw5,reversal_fundamental_regime,82,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600487_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600487_pipeline_out\00_base\600487_5m.csv
ok,002028.SZ,a_active_003_close_exit_close_all_days_sector_external_random_forest_600_d4,reversal_fundamental_regime_sector_external,164,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\04_external\storage_power\training_samples_with_storage_power_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\00_base\002028_5m.csv
ok,002895.SZ,a_active_004_target_exit_80bps_hit80_vwap_low_sector_external_lgbm_leaves15_700,reversal_fundamental_regime_sector_external,202,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002895_pipeline_out\04_external\fertilizer\training_samples_with_fertilizer_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002895_pipeline_out\00_base\002895_5m.csv
ok,002028.SZ,a_active_005_target_exit_80bps_hit80_vwap_low_sector_extra_trees_600_d3,reversal_fundamental_regime_sector,80,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\04_external\storage_power\training_samples_with_storage_power_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\00_base\002028_5m.csv
ok,600312.SH,a_active_006_close_exit_close_vwap_low_reversal_xgb_d3_600_lr002_mcw3,reversal_fundamental_regime,80,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out\03_sector\training_samples_with_sector.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out\00_base\600312_5m.csv
ok,002028.SZ,a_active_007_close_exit_close_all_days_reversal_xgb_d3_600_lr002_mcw3,reversal_fundamental_regime,80,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\04_external\storage_power\training_samples_with_storage_power_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\00_base\002028_5m.csv
ok,601899.SH,a_active_008_close_exit_close_vwap_low_sector_extra_trees_600_d3,reversal_fundamental_regime_sector,82,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\601899_pipeline_out\04_external\zijin_external\training_samples_with_zijin_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\601899_pipeline_out\00_base\601899_5m.csv
ok,002311.SZ,a_active_009_target_exit_80bps_hit80_all_days_reversal_lgbm_leaves15_700,reversal_fundamental_regime,82,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\04_external\hog\training_samples_with_hog_industry.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\00_base\002311_5m.csv
ok,600312.SH,a_active_010_close_exit_close_all_days_reversal_xgb_d3_600_lr002_mcw3,reversal_fundamental_regime,80,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out\03_sector\training_samples_with_sector.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out\00_base\600312_5m.csv
