rank,trade_date,date,stock_code,artifact_name,artifact_dir,samples,entry_policy,label_mode,model_name,feature_group,close,open,high,low,volume,amount,daily_vwap,hit_score,threshold,score_margin,entry_signal,signal_raw_score_pass,signal,reject_reason,target_hit_bps,round_trip_cost_bps,expected_return_col,realized_return,eval_label,sector,context_status,source_mode,rolling_label_cutoff,rolling_threshold_mode,rolling_train_rows,rolling_valid_rows,rolling_train_pool_rows,rolling_configured_train_rows,rolling_train_window_mode,rolling_fit_train_entry_rows,rolling_final_fit_entry_rows,rolling_valid_auc,rolling_valid_trades,rolling_valid_avg_return,rolling_valid_max_drawdown,pred_return_bps_override
1,20260519,2026-05-19,002311.SZ,a_active_032_target_exit_80bps_hit80_vwap_low_reversal_lgbm_leaves15_700,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002311.SZ\a_active_032_target_exit_80bps_hit80_vwap_low_reversal_lgbm_leaves15_700,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\04_external\hog\training_samples_with_hog_industry.csv,vwap_low,hit,lgbm_leaves15_700,reversal_fundamental_regime,45.8,46.15,47.03,45.4,9245191.0,,45.85416550399013,0.9416236253341156,0.6261498197543527,0.3154738055797629,True,True,True,,80.0,1.7,trade_target_or_close_return,0.008,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,247,247,0.46380308880308874,26,-0.002831985821858881,-0.10545365443625676,-28.31985821858881
2,20260519,2026-05-19,002311.SZ,a_active_009_target_exit_80bps_hit80_all_days_reversal_lgbm_leaves15_700,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002311.SZ\a_active_009_target_exit_80bps_hit80_all_days_reversal_lgbm_leaves15_700,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\04_external\hog\training_samples_with_hog_industry.csv,all_days,hit,lgbm_leaves15_700,reversal_fundamental_regime,45.8,46.15,47.03,45.4,9245191.0,,45.85416550399013,0.9253249385554356,0.7508423270817073,0.17448261147372834,True,True,True,,80.0,1.7,trade_target_or_close_return,0.008,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.43532818532818535,20,-0.0027226045661129933,-0.09910515416694887,-27.226045661129934
3,20260519,2026-05-19,603308.SH,a_active_024_close_exit_close_all_days_sector_xgb_d4_500_lr002_mcw5,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\603308.SH\a_active_024_close_exit_close_all_days_sector_xgb_d4_500_lr002_mcw5,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,all_days,close_profit,xgb_d4_500_lr002_mcw5,reversal_fundamental_regime_sector,73.1,74.18,74.22,69.9,16802610.0,,71.55533920027901,0.6761274933815002,0.5389164209365847,0.1372110724449156,True,True,True,,50.0,1.7,trade_net_close_return,0.005853271731690594,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.4826254826254826,13,0.020113110131808182,-0.05506380932782429,201.13110131808182
4,20260519,2026-05-19,002028.SZ,a_active_007_close_exit_close_all_days_reversal_xgb_d3_600_lr002_mcw3,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002028.SZ\a_active_007_close_exit_close_all_days_reversal_xgb_d3_600_lr002_mcw3,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\04_external\storage_power\training_samples_with_storage_power_external.csv,all_days,close_profit,xgb_d3_600_lr002_mcw3,reversal_fundamental_regime,194.99,193.87,196.5,189.18,8390786.0,,193.33238743664776,0.6697066426277161,0.5645823359489441,0.10512430667877193,True,True,True,,50.0,1.7,trade_net_close_return,0.05551982362318109,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.512310606060606,13,0.0070658696064167465,-0.03568136363636365,70.65869606416746
5,20260519,2026-05-19,600919.SH,a_active_030_target_exit_50bps_hit50_vwap_low_all_no_ak_xgb_d3_400_lr003_mcw3,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\600919.SH\a_active_030_target_exit_50bps_hit50_vwap_low_all_no_ak_xgb_d3_400_lr003_mcw3,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600919_pipeline_out\03_sector\training_samples_with_sector.csv,vwap_low,hit,xgb_d3_400_lr003_mcw3,all_no_ak,11.22,11.04,11.28,11.04,89833046.0,,11.195887012447512,0.5426845550537109,0.4793727993965149,0.06331175565719604,True,True,True,,50.0,1.7,trade_target_or_close_return,0.005,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,261,261,0.5703463203463204,28,0.000577531963739967,-0.04164465437788012,5.7753196373996705
6,20260519,2026-05-19,002895.SZ,a_active_048_close_exit_close_all_days_sector_external_xgb_d3_600_lr002_mcw3,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002895.SZ\a_active_048_close_exit_close_all_days_sector_external_xgb_d3_600_lr002_mcw3,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002895_pipeline_out\04_external\fertilizer\training_samples_with_fertilizer_external.csv,all_days,close_profit,xgb_d3_600_lr002_mcw3,reversal_fundamental_regime_sector_external,32.05326536,32.19670181,32.37838798,31.50820685,5694546.0,,33.344931989310474,0.8452512621879578,0.8111560702323913,0.03409519195556643,True,True,True,,50.0,1.7,trade_net_close_return,0.022198028631076564,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.4278752436647174,13,-0.0030319964753701945,-0.06883547424318226,-30.319964753701946
7,20260519,2026-05-19,603308.SH,a_active_019_close_exit_close_all_days_sector_external_xgb_d3_400_lr003_mcw3,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\603308.SH\a_active_019_close_exit_close_all_days_sector_external_xgb_d3_400_lr003_mcw3,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,all_days,close_profit,xgb_d3_400_lr003_mcw3,reversal_fundamental_regime_sector_external,73.1,74.18,74.22,69.9,16802610.0,,71.55533920027901,0.6892045736312866,0.655850625038147,0.03335394859313967,True,True,True,,50.0,1.7,trade_net_close_return,0.005853271731690594,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.5299227799227799,13,0.023482566344485773,-0.040769001663893634,234.82566344485772
8,20260519,2026-05-19,601818.SH,a_active_025_target_exit_50bps_hit50_all_days_sector_xgb_d4_500_lr002_mcw5,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\601818.SH\a_active_025_target_exit_50bps_hit50_all_days_sector_xgb_d4_500_lr002_mcw5,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\601818_pipeline_out\03_sector\training_samples_with_sector.csv,all_days,hit,xgb_d4_500_lr002_mcw5,reversal_fundamental_regime_sector,3.12,3.09,3.12,3.08,122101155.0,,3.1082337837017184,0.7032862305641174,0.682024359703064,0.021261870861053467,True,True,True,,50.0,1.7,trade_target_or_close_return,0.005,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.2935606060606061,13,0.0005377434725943805,-0.008764817974562633,5.377434725943806
9,20260519,2026-05-19,601818.SH,a_active_026_target_exit_50bps_hit50_all_days_sector_external_xgb_d4_500_lr002_mcw5,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\601818.SH\a_active_026_target_exit_50bps_hit50_all_days_sector_external_xgb_d4_500_lr002_mcw5,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\601818_pipeline_out\03_sector\training_samples_with_sector.csv,all_days,hit,xgb_d4_500_lr002_mcw5,reversal_fundamental_regime_sector_external,3.12,3.09,3.12,3.08,122101155.0,,3.1082337837017184,0.7032862305641174,0.682024359703064,0.021261870861053467,True,True,True,,50.0,1.7,trade_target_or_close_return,0.005,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.2935606060606061,13,0.0005377434725943805,-0.008764817974562633,5.377434725943806
10,20260519,2026-05-19,601818.SH,a_active_027_target_exit_50bps_hit50_vwap_low_sector_xgb_d4_500_lr002_mcw5,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\601818.SH\a_active_027_target_exit_50bps_hit50_vwap_low_sector_xgb_d4_500_lr002_mcw5,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\601818_pipeline_out\03_sector\training_samples_with_sector.csv,vwap_low,hit,xgb_d4_500_lr002_mcw5,reversal_fundamental_regime_sector,3.12,3.09,3.12,3.08,122101155.0,,3.1082337837017184,0.7032862305641174,0.6828408241271973,0.020445406436920166,True,True,True,,50.0,1.7,trade_target_or_close_return,0.005,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.2935606060606061,13,0.0005377434725943805,-0.008764817974562633,5.377434725943806
