rank,trade_date,date,stock_code,artifact_name,artifact_dir,samples,entry_policy,label_mode,model_name,feature_group,close,open,high,low,volume,amount,daily_vwap,hit_score,threshold,score_margin,entry_signal,signal_raw_score_pass,signal,reject_reason,target_hit_bps,round_trip_cost_bps,expected_return_col,realized_return,eval_label,sector,context_status,source_mode,rolling_label_cutoff,rolling_threshold_mode,rolling_train_rows,rolling_valid_rows,rolling_train_pool_rows,rolling_configured_train_rows,rolling_train_window_mode,rolling_fit_train_entry_rows,rolling_final_fit_entry_rows,rolling_valid_auc,rolling_valid_trades,rolling_valid_avg_return,rolling_valid_max_drawdown,pred_return_bps_override
4,20260519,2026-05-19,002028.SZ,a_active_012_close_exit_close_vwap_low_reversal_xgb_d3_600_lr002_mcw3,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002028.SZ\a_active_012_close_exit_close_vwap_low_reversal_xgb_d3_600_lr002_mcw3,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\04_external\storage_power\training_samples_with_storage_power_external.csv,vwap_low,close_profit,xgb_d3_600_lr002_mcw3,reversal_fundamental_regime,194.99,193.87,196.5,189.18,8390786.0,,193.33238743664776,0.533213198184967,0.41815291345119476,0.11506028473377228,False,True,False,entry_signal_false,50.0,1.7,trade_net_close_return,0.05551982362318109,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,216,216,0.46922348484848486,23,0.006275656964597676,-0.16235245381030705,62.75656964597676
5,20260519,2026-05-19,603308.SH,a_active_022_close_exit_close_vwap_low_all_no_ak_xgb_d3_600_lr002_mcw3,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\603308.SH\a_active_022_close_exit_close_vwap_low_all_no_ak_xgb_d3_600_lr002_mcw3,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,vwap_low,close_profit,xgb_d3_600_lr002_mcw3,all_no_ak,73.1,74.18,74.22,69.9,16802610.0,,71.55533920027901,0.7553110122680664,0.6431352853775025,0.11217572689056388,False,True,False,entry_signal_false,50.0,1.7,trade_net_close_return,0.005853271731690594,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,180,180,0.5472972972972973,9,0.02478498276765393,-0.040769001663893634,247.8498276765393
17,20260519,2026-05-19,600312.SH,a_active_034_close_exit_close_vwap_low_reversal_lgbm_leaves15_700,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\600312.SH\a_active_034_close_exit_close_vwap_low_reversal_lgbm_leaves15_700,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out\03_sector\training_samples_with_sector.csv,vwap_low,close_profit,lgbm_leaves15_700,reversal_fundamental_regime,22.5,21.86,22.59,21.52,26724589.0,,22.15174209040221,0.29575856750732116,0.28171301189907433,0.01404555560824683,False,True,False,entry_signal_false,50.0,1.7,trade_net_close_return,-0.01174098353360031,0.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,243,243,0.5233333333333333,16,0.012602110683328891,-0.03244252353204846,126.02110683328891
19,20260519,2026-05-19,601899.SH,a_active_020_close_exit_close_all_days_sector_xgb_d3_400_lr003_mcw3,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\601899.SH\a_active_020_close_exit_close_all_days_sector_xgb_d3_400_lr003_mcw3,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\601899_pipeline_out\04_external\zijin_external\training_samples_with_zijin_external.csv,all_days,close_profit,xgb_d3_400_lr003_mcw3,reversal_fundamental_regime_sector,31.16,31.3,31.39,30.64,180860114.0,,30.94717719242397,0.6183751821517944,0.6184458136558533,-7.063150405883789e-05,True,False,False,score_below_threshold,50.0,1.7,trade_net_close_return,-0.023627583547557892,0.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.5266666666666666,33,0.004023096157981768,-0.18147161790567956,40.23096157981768
20,20260519,2026-05-19,600919.SH,a_active_041_target_exit_80bps_hit80_vwap_low_all_no_ak_lgbm_leaves15_700,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\600919.SH\a_active_041_target_exit_80bps_hit80_vwap_low_all_no_ak_lgbm_leaves15_700,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600919_pipeline_out\03_sector\training_samples_with_sector.csv,vwap_low,hit,lgbm_leaves15_700,all_no_ak,11.22,11.04,11.28,11.04,89833046.0,,11.195887012447512,0.6468174012243831,0.64732697790288,-0.0005095766784968259,True,False,False,score_below_threshold,80.0,1.7,trade_target_or_close_return,-0.004626327985739805,0.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,261,261,0.4501915708812261,28,0.0012533198041872415,-0.04164465437788012,12.533198041872415
21,20260519,2026-05-19,603308.SH,a_active_050_close_exit_close_all_days_reversal_external_xgb_d2_200_lr003_mcw5,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\603308.SH\a_active_050_close_exit_close_all_days_reversal_external_xgb_d2_200_lr003_mcw5,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,all_days,close_profit,xgb_d2_200_lr003_mcw5,reversal_fundamental_regime_external,73.1,74.18,74.22,69.9,16802610.0,,71.55533920027901,0.5842646956443787,0.5868906736373901,-0.0026259779930114524,True,False,False,score_below_threshold,50.0,1.7,trade_net_close_return,0.005853271731690594,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.5405405405405406,13,0.022503272711692168,-0.03286772927840953,225.03272711692168
22,20260519,2026-05-19,603308.SH,a_active_029_close_exit_close_all_days_reversal_external_xgb_d3_600_lr002_mcw3,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\603308.SH\a_active_029_close_exit_close_all_days_reversal_external_xgb_d3_600_lr002_mcw3,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,all_days,close_profit,xgb_d3_600_lr002_mcw3,reversal_fundamental_regime_external,73.1,74.18,74.22,69.9,16802610.0,,71.55533920027901,0.6399929523468018,0.6428980946540834,-0.0029051423072816718,True,False,False,score_below_threshold,50.0,1.7,trade_net_close_return,0.005853271731690594,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.5337837837837838,13,0.023482566344485773,-0.040769001663893634,234.82566344485772
23,20260519,2026-05-19,600522.SH,a_active_031_close_exit_close_all_days_reversal_random_forest_600_d4,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\600522.SH\a_active_031_close_exit_close_all_days_reversal_random_forest_600_d4,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,all_days,close_profit,random_forest_600_d4,reversal_fundamental_regime,44.55,43.0,44.9,41.29,319664725.0,,43.14336850273361,0.5303294172391108,0.5360191909125998,-0.005689773673488996,True,False,False,score_below_threshold,50.0,1.7,trade_net_close_return,0.019591958230406274,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.5165692007797271,26,0.015621497557414609,-0.09470090043833013,156.21497557414608
24,20260519,2026-05-19,600487.SH,a_active_042_close_exit_close_vwap_low_sector_external_extra_trees_600_d3,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\600487.SH\a_active_042_close_exit_close_vwap_low_sector_external_extra_trees_600_d3,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600487_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,vwap_low,close_profit,extra_trees_600_d3,reversal_fundamental_regime_sector_external,75.47,70.4,76.11,66.52,194173310.0,,71.0233389285067,0.6055776386775361,0.6118284043167777,-0.00625076563924154,False,False,False,entry_signal_false;score_below_threshold,50.0,1.7,trade_net_close_return,0.004869787798408524,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,226,226,0.5399610136452242,15,0.0006952957966249833,-0.21839113088146966,6.952957966249833
25,20260519,2026-05-19,603986.SH,a_active_045_close_exit_close_all_days_reversal_random_forest_600_d4,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\603986.SH\a_active_045_close_exit_close_all_days_reversal_random_forest_600_d4,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\603986_pipeline_out\04_external\ai_compute\training_samples_with_ai_compute_external.csv,all_days,close_profit,random_forest_600_d4,reversal_fundamental_regime,404.56,390.0,410.0,380.02,55310111.0,,394.2388822904369,0.47863408324575746,0.49489719320703435,-0.01626310996127689,True,False,False,score_below_threshold,50.0,1.7,trade_net_close_return,0.10060174235678243,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.4447619047619048,33,0.005923276363137006,-0.17375276662725148,59.232763631370055
