stock_code,model_name,reason,ev_bps,threshold,utility_bps,kept_model
002311.SZ,a_active_032_target_exit_80bps_hit80_vwap_low_reversal_lgbm_leaves15_700,ev_below_threshold,-0.08847146174250753,10.0,,
002311.SZ,a_active_009_target_exit_80bps_hit80_all_days_reversal_lgbm_leaves15_700,ev_below_threshold,2.86344343723605,10.0,,
600919.SH,a_active_030_target_exit_50bps_hit50_vwap_low_all_no_ak_xgb_d3_400_lr003_mcw3,ev_below_threshold,-5.569503255334599,10.0,,
002895.SZ,a_active_048_close_exit_close_all_days_sector_external_xgb_d3_600_lr002_mcw3,utility_below_threshold,29.728564510856216,,-32.7184721862767,
601818.SH,a_active_025_target_exit_50bps_hit50_all_days_sector_xgb_d4_500_lr002_mcw5,ev_below_threshold,-5.723147241631178,10.0,,
601818.SH,a_active_026_target_exit_50bps_hit50_all_days_sector_external_xgb_d4_500_lr002_mcw5,ev_below_threshold,-5.723147241631178,10.0,,
601818.SH,a_active_027_target_exit_50bps_hit50_vwap_low_sector_xgb_d4_500_lr002_mcw5,ev_below_threshold,-5.7275527322820174,10.0,,
601818.SH,a_active_028_target_exit_50bps_hit50_vwap_low_sector_external_xgb_d4_500_lr002_mcw5,ev_below_threshold,-5.7275527322820174,10.0,,
002895.SZ,a_active_004_target_exit_80bps_hit80_vwap_low_sector_external_lgbm_leaves15_700,ev_below_threshold,2.311842631218152,10.0,,
002261.SZ,a_active_037_close_exit_close_all_days_sector_xgb_d3_400_lr003_mcw3,utility_below_threshold,53.243402032830545,,-13.439982002483823,
002028.SZ,a_active_011_target_exit_80bps_hit80_all_days_reversal_lgbm_leaves7_400,ev_below_threshold,3.8725875551253957,10.0,,
002128.SZ,a_active_046_close_exit_close_all_days_sector_external_extra_trees_600_d3,utility_below_threshold,22.91084783915321,,-21.003199166081007,
603308.SH,a_active_024_close_exit_close_all_days_sector_xgb_d4_500_lr002_mcw5,duplicate_stock_lower_utility,,,12.81200938790861,a_active_019_close_exit_close_all_days_sector_external_xgb_d3_400_lr003_mcw3
