stock_code,model_name,label_mode,trades,win_rate,avg_return_bps,median_return_bps,max_drawdown,profit_factor,target_hit_bps,feature_group,base_model_name,entry_policy,entry_vwap_premium_bps,samples,expected_return_col,sector,sector_source,metadata_path,metadata_status,reject_reason,enabled,weight_multiplier,max_weight_override,max_add_weight_override,model_override_reason,recent_perf_note
002311.SZ,a_active_032_target_exit_80bps_hit80_vwap_low_reversal_lgbm_leaves15_700,hit,158.0,0.759493670886076,21.450084264263,80.0,-0.0642137308347641,1.578307072953935,80.0,reversal_fundamental_regime,lgbm_leaves15_700,vwap_low,50.0,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\04_external\hog\training_samples_with_hog_industry.csv,trade_target_or_close_return,农产品加工,context_config,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002311.SZ\a_active_032_target_exit_80bps_hit80_vwap_low_reversal_lgbm_leaves15_700\metadata.json,ok,,1,1.0,,,,
002311.SZ,a_active_009_target_exit_80bps_hit80_all_days_reversal_lgbm_leaves15_700,hit,178.0,0.7584269662921348,25.383698033444002,80.0,-0.0791727878886158,1.745812313986536,80.0,reversal_fundamental_regime,lgbm_leaves15_700,all_days,50.0,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\04_external\hog\training_samples_with_hog_industry.csv,trade_target_or_close_return,农产品加工,context_config,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002311.SZ\a_active_009_target_exit_80bps_hit80_all_days_reversal_lgbm_leaves15_700\metadata.json,ok,,1,1.0,,,,
603308.SH,a_active_024_close_exit_close_all_days_sector_xgb_d4_500_lr002_mcw5,close_profit,131.0,0.5648854961832062,76.717472468253,46.492771084336,-0.1228193150444199,1.919404501072686,50.0,reversal_fundamental_regime_sector,xgb_d4_500_lr002_mcw5,all_days,50.0,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,trade_net_close_return,通用设备,context_config,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\603308.SH\a_active_024_close_exit_close_all_days_sector_xgb_d4_500_lr002_mcw5\metadata.json,ok,,1,1.0,,,,
002028.SZ,a_active_011_target_exit_80bps_hit80_all_days_reversal_lgbm_leaves7_400,hit,172.0,0.7790697674418605,27.467477784798998,80.0,-0.0956991188954967,1.8307700819571904,80.0,reversal_fundamental_regime,lgbm_leaves7_400,all_days,50.0,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\04_external\storage_power\training_samples_with_storage_power_external.csv,trade_target_or_close_return,UNKNOWN,missing,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002028.SZ\a_active_011_target_exit_80bps_hit80_all_days_reversal_lgbm_leaves7_400\metadata.json,ok,,1,1.0,,,,
600312.SH,a_active_034_close_exit_close_vwap_low_reversal_lgbm_leaves15_700,close_profit,217.0,0.5668202764976958,47.687671408482,29.012530712528,-0.1805024443034615,1.7537426479905276,50.0,reversal_fundamental_regime,lgbm_leaves15_700,vwap_low,50.0,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out\03_sector\training_samples_with_sector.csv,trade_net_close_return,电网设备,context_config,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\600312.SH\a_active_034_close_exit_close_vwap_low_reversal_lgbm_leaves15_700\metadata.json,ok,,1,1.0,,,,
002895.SZ,a_active_004_target_exit_80bps_hit80_vwap_low_sector_external_lgbm_leaves15_700,hit,178.0,0.7808988764044944,25.904326099657002,80.0,-0.062081800590481,1.7413410337806932,80.0,reversal_fundamental_regime_sector_external,lgbm_leaves15_700,vwap_low,50.0,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002895_pipeline_out\04_external\fertilizer\training_samples_with_fertilizer_external.csv,trade_target_or_close_return,UNKNOWN,missing,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002895.SZ\a_active_004_target_exit_80bps_hit80_vwap_low_sector_external_lgbm_leaves15_700\metadata.json,ok,,1,1.0,,,,
002261.SZ,a_active_037_close_exit_close_all_days_sector_xgb_d3_400_lr003_mcw3,close_profit,117.0,0.5726495726495726,76.325075880616,68.252305246423,-0.1504611116382053,1.672601082675833,50.0,reversal_fundamental_regime_sector,xgb_d3_400_lr003_mcw3,all_days,50.0,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out\04_external\ai_compute\training_samples_with_ai_compute_external.csv,trade_net_close_return,UNKNOWN,missing,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002261.SZ\a_active_037_close_exit_close_all_days_sector_xgb_d3_400_lr003_mcw3\metadata.json,ok,,1,1.0,,,,
002311.SZ,a_active_036_close_exit_close_vwap_low_sector_xgb_d3_600_lr002_mcw3,close_profit,174.0,0.5344827586206896,37.036568173278,20.775847695596,-0.0933129391885486,1.6750650245064989,50.0,reversal_fundamental_regime_sector,xgb_d3_600_lr002_mcw3,vwap_low,50.0,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\04_external\hog\training_samples_with_hog_industry.csv,trade_net_close_return,农产品加工,context_config,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002311.SZ\a_active_036_close_exit_close_vwap_low_sector_xgb_d3_600_lr002_mcw3\metadata.json,ok,,1,1.0,,,,
600919.SH,a_active_041_target_exit_80bps_hit80_vwap_low_all_no_ak_lgbm_leaves15_700,hit,184.0,0.6847826086956522,17.28243478723,80.0,-0.0737681308411216,1.5401990873984963,80.0,all_no_ak,lgbm_leaves15_700,vwap_low,50.0,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600919_pipeline_out\03_sector\training_samples_with_sector.csv,trade_target_or_close_return,UNKNOWN,missing,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\600919.SH\a_active_041_target_exit_80bps_hit80_vwap_low_all_no_ak_lgbm_leaves15_700\metadata.json,ok,,1,1.0,,,,
600361.SH,a_active_047_close_exit_close_vwap_low_reversal_random_forest_600_d4,close_profit,118.0,0.576271186440678,58.767744374179,24.686877576026,-0.1451977457684836,1.9919344573528568,50.0,reversal_fundamental_regime,random_forest_600_d4,vwap_low,50.0,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600361_pipeline_out\04_external\zijin_external\training_samples_with_zijin_external.csv,trade_net_close_return,UNKNOWN,missing,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\600361.SH\a_active_047_close_exit_close_vwap_low_reversal_random_forest_600_d4\metadata.json,ok,,1,1.0,,,,
