stock_code,model_name,reason,utility_bps,ev_bps,threshold,kept_model
600096.SH,nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,utility_below_threshold,-2.8996211317318075,22.7869935178763,,
002311.SZ,nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_v1,ev_below_threshold,,8.129353116748241,15.0,
600312.SH,nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1,utility_below_threshold,-2.9666658207955994,20.9294569229728,,
002714.SZ,nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_v1,ev_below_threshold,,-26.911117301870853,15.0,
600096.SH,nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,utility_below_threshold,-7.009089718266825,17.34455671804471,,
002311.SZ,nextday_all_days_close_profit_random_forest_reversal_fundamental_regime_sector_v1,ev_below_threshold,,-29.841972275648402,15.0,
002311.SZ,nextday_vwap_low_hit80_lgbm_leaves15_reversal_fundamental_regime_v1,ev_below_threshold,,7.583286573757729,10.0,
002311.SZ,nextday_all_days_hit80_lgbm_leaves15_reversal_fundamental_regime_v1,utility_below_threshold,-24.41635858768825,14.296970835365006,,
600276.SH,nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1,ev_below_threshold,,-14.558835790278668,10.0,
601899.SH,nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1,duplicate_stock_lower_utility,6.181588351529253,,,nextday_vwap_low_close_profit_extra_trees_reversal_fundamental_regime_sector_zijin_v1
