symbol,trade_date,datetime,open,high,low,close,volume,amount,source,bar_freq,bar_label,bar_volume,bar_amount
603308.SH,20260520,2026-05-20 09:35:00,73.0,73.08,72.16,72.18,929800,67669273.0,local_snapshot_5m_right_endpoint,5min,right,929800,67669273.0
603308.SH,20260520,2026-05-20 09:40:00,72.17,72.17,70.92,71.19,972900,69533009.0,local_snapshot_5m_right_endpoint,5min,right,972900,69533009.0
603308.SH,20260520,2026-05-20 09:45:00,71.3,71.88,71.16,71.32,685400,48959037.0,local_snapshot_5m_right_endpoint,5min,right,685400,48959037.0
603308.SH,20260520,2026-05-20 09:50:00,71.29,72.1,71.17,71.99,562100,40250357.0,local_snapshot_5m_right_endpoint,5min,right,562100,40250357.0
603308.SH,20260520,2026-05-20 09:55:00,71.99,72.12,71.73,71.83,396641,28516053.0,local_snapshot_5m_right_endpoint,5min,right,396641,28516053.0
603308.SH,20260520,2026-05-20 10:00:00,71.85,72.31,71.85,72.0,402700,29033193.0,local_snapshot_5m_right_endpoint,5min,right,402700,29033193.0
603308.SH,20260520,2026-05-20 10:05:00,71.96,71.96,71.4,71.77,371800,26658119.0,local_snapshot_5m_right_endpoint,5min,right,371800,26658119.0
603308.SH,20260520,2026-05-20 10:10:00,71.76,71.96,71.46,71.75,391800,28085077.0,local_snapshot_5m_right_endpoint,5min,right,391800,28085077.0
603308.SH,20260520,2026-05-20 10:15:00,71.76,71.94,71.6,71.94,248500,17830902.0,local_snapshot_5m_right_endpoint,5min,right,248500,17830902.0
603308.SH,20260520,2026-05-20 10:20:00,71.94,71.98,71.5,71.57,317800,22803380.0,local_snapshot_5m_right_endpoint,5min,right,317800,22803380.0
603308.SH,20260520,2026-05-20 10:25:00,71.51,71.63,71.25,71.54,371600,26519831.0,local_snapshot_5m_right_endpoint,5min,right,371600,26519831.0
603308.SH,20260520,2026-05-20 10:30:00,71.55,71.68,71.4,71.48,193200,13814096.0,local_snapshot_5m_right_endpoint,5min,right,193200,13814096.0
603308.SH,20260520,2026-05-20 10:35:00,71.46,71.52,71.1,71.28,377700,26916735.0,local_snapshot_5m_right_endpoint,5min,right,377700,26916735.0
603308.SH,20260520,2026-05-20 10:40:00,71.27,71.48,71.14,71.19,204900,14617548.0,local_snapshot_5m_right_endpoint,5min,right,204900,14617548.0
603308.SH,20260520,2026-05-20 10:45:00,71.19,71.35,71.08,71.23,294700,20978082.0,local_snapshot_5m_right_endpoint,5min,right,294700,20978082.0
603308.SH,20260520,2026-05-20 10:50:00,71.23,71.35,71.08,71.21,196500,13987447.0,local_snapshot_5m_right_endpoint,5min,right,196500,13987447.0
603308.SH,20260520,2026-05-20 10:55:00,71.26,71.34,71.05,71.22,242200,17244900.0,local_snapshot_5m_right_endpoint,5min,right,242200,17244900.0
603308.SH,20260520,2026-05-20 11:00:00,71.21,71.26,71.11,71.13,190500,13559883.0,local_snapshot_5m_right_endpoint,5min,right,190500,13559883.0
603308.SH,20260520,2026-05-20 11:05:00,71.16,71.26,71.05,71.19,235000,16713299.0,local_snapshot_5m_right_endpoint,5min,right,235000,16713299.0
603308.SH,20260520,2026-05-20 11:10:00,71.21,71.35,71.01,71.18,259600,18465380.0,local_snapshot_5m_right_endpoint,5min,right,259600,18465380.0
603308.SH,20260520,2026-05-20 11:15:00,71.18,71.3,71.03,71.18,181900,12941642.0,local_snapshot_5m_right_endpoint,5min,right,181900,12941642.0
603308.SH,20260520,2026-05-20 11:20:00,71.18,71.3,71.05,71.19,171500,12205589.0,local_snapshot_5m_right_endpoint,5min,right,171500,12205589.0
603308.SH,20260520,2026-05-20 11:25:00,71.21,71.26,71.1,71.18,145300,10340162.0,local_snapshot_5m_right_endpoint,5min,right,145300,10340162.0
603308.SH,20260520,2026-05-20 11:30:00,71.19,71.45,71.18,71.43,177900,12689336.0,local_snapshot_5m_right_endpoint,5min,right,177900,12689336.0
603308.SH,20260520,2026-05-20 13:05:00,71.41,72.12,71.28,72.12,1596000,114255360.0,local_snapshot_5m_right_endpoint,5min,right,1596000,114255360.0
603308.SH,20260520,2026-05-20 13:10:00,72.11,72.96,72.11,72.6,596900,43322663.0,local_snapshot_5m_right_endpoint,5min,right,596900,43322663.0
603308.SH,20260520,2026-05-20 13:15:00,72.58,73.1,72.37,72.93,482000,35111511.0,local_snapshot_5m_right_endpoint,5min,right,482000,35111511.0
603308.SH,20260520,2026-05-20 13:20:00,72.88,72.93,72.3,72.4,361900,26262868.0,local_snapshot_5m_right_endpoint,5min,right,361900,26262868.0
603308.SH,20260520,2026-05-20 13:25:00,72.39,72.39,71.8,71.83,261800,18837571.0,local_snapshot_5m_right_endpoint,5min,right,261800,18837571.0
603308.SH,20260520,2026-05-20 13:30:00,71.83,71.83,71.57,71.68,226100,16206202.0,local_snapshot_5m_right_endpoint,5min,right,226100,16206202.0
603308.SH,20260520,2026-05-20 13:35:00,71.69,71.72,71.5,71.59,241800,17312810.0,local_snapshot_5m_right_endpoint,5min,right,241800,17312810.0
603308.SH,20260520,2026-05-20 13:40:00,71.64,72.08,71.64,72.02,260300,18709874.0,local_snapshot_5m_right_endpoint,5min,right,260300,18709874.0
603308.SH,20260520,2026-05-20 13:45:00,72.0,72.33,71.8,71.93,326500,23531573.0,local_snapshot_5m_right_endpoint,5min,right,326500,23531573.0
603308.SH,20260520,2026-05-20 13:50:00,71.9,72.71,71.78,72.71,1285240,93070617.0,local_snapshot_5m_right_endpoint,5min,right,1285240,93070617.0
603308.SH,20260520,2026-05-20 13:55:00,72.73,73.61,72.73,73.44,1255700,91943452.0,local_snapshot_5m_right_endpoint,5min,right,1255700,91943452.0
603308.SH,20260520,2026-05-20 14:00:00,73.45,73.45,73.02,73.15,400400,29299844.0,local_snapshot_5m_right_endpoint,5min,right,400400,29299844.0
603308.SH,20260520,2026-05-20 14:05:00,73.09,73.28,73.05,73.18,331800,24269429.0,local_snapshot_5m_right_endpoint,5min,right,331800,24269429.0
603308.SH,20260520,2026-05-20 14:10:00,73.13,73.21,73.0,73.03,224800,16433770.0,local_snapshot_5m_right_endpoint,5min,right,224800,16433770.0
603308.SH,20260520,2026-05-20 14:15:00,73.03,73.08,72.94,72.97,322000,23510243.0,local_snapshot_5m_right_endpoint,5min,right,322000,23510243.0
603308.SH,20260520,2026-05-20 14:20:00,72.94,73.39,72.76,73.18,344400,25176921.0,local_snapshot_5m_right_endpoint,5min,right,344400,25176921.0
603308.SH,20260520,2026-05-20 14:25:00,73.1,73.59,73.07,73.55,447500,32807144.0,local_snapshot_5m_right_endpoint,5min,right,447500,32807144.0
603308.SH,20260520,2026-05-20 14:30:00,73.55,73.55,72.99,73.1,224500,16432942.0,local_snapshot_5m_right_endpoint,5min,right,224500,16432942.0
603308.SH,20260520,2026-05-20 14:35:00,73.07,73.56,73.07,73.55,332400,24390452.0,local_snapshot_5m_right_endpoint,5min,right,332400,24390452.0
603308.SH,20260520,2026-05-20 14:40:00,73.55,73.69,73.4,73.42,499000,36726679.0,local_snapshot_5m_right_endpoint,5min,right,499000,36726679.0
603308.SH,20260520,2026-05-20 14:45:00,73.42,73.63,73.1,73.1,420100,30856442.0,local_snapshot_5m_right_endpoint,5min,right,420100,30856442.0
603308.SH,20260520,2026-05-20 14:50:00,73.11,73.46,73.05,73.46,916400,67060171.0,local_snapshot_5m_right_endpoint,5min,right,916400,67060171.0
603308.SH,20260520,2026-05-20 14:55:00,73.47,73.6,73.4,73.55,481441,35415045.0,local_snapshot_5m_right_endpoint,5min,right,481441,35415045.0
603308.SH,20260520,2026-05-20 15:00:00,73.49,73.53,73.46,73.49,347259,25521192.0,local_snapshot_5m_right_endpoint,5min,right,347259,25521192.0
