path,rows,min,max,has_close_asof1455,has_vwap_asof1455,has_trade_net_close_return
saved_data\asof1455_audit_minidata\603308_pipeline_out\01_samples\training_samples.csv,33,2026-04-01,2026-05-21,False,False,False
saved_data\asof1455_audit_minidata\603308_pipeline_out\02_fundamental\training_samples_with_fundamentals.csv,33,2026-04-01,2026-05-21,False,False,False
saved_data\asof1455_audit_minidata\603308_pipeline_out\03_sector\training_samples_with_sector.csv,33,2026-04-01,2026-05-21,False,False,False
saved_data\asof1455_audit_minidata\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,33,2026-04-01,2026-05-21,False,False,False
saved_data\asof1455_audit_minidata\600487_pipeline_out\01_samples\training_samples.csv,33,2026-04-01,2026-05-21,False,False,False
saved_data\asof1455_audit_minidata\600487_pipeline_out\02_fundamental\training_samples_with_fundamentals.csv,33,2026-04-01,2026-05-21,False,False,False
saved_data\asof1455_audit_minidata\600487_pipeline_out\03_sector\training_samples_with_sector.csv,33,2026-04-01,2026-05-21,False,False,False
saved_data\asof1455_audit_minidata\600487_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,33,2026-04-01,2026-05-21,False,False,False
saved_data\asof1455_audit_minidata\600312_pipeline_out\01_samples\training_samples.csv,33,2026-04-01,2026-05-21,False,False,False
saved_data\asof1455_audit_minidata\600312_pipeline_out\02_fundamental\training_samples_with_fundamentals.csv,33,2026-04-01,2026-05-21,False,False,False
saved_data\asof1455_audit_minidata\600312_pipeline_out\03_sector\training_samples_with_sector.csv,33,2026-04-01,2026-05-21,False,False,False
