stock_code,artifact_name,feature_count,high_risk_count,lagged_daily_count,tail_sensitive_count,high_risk_ratio
603308.SH,nextday_all_days_close_profit_extra_trees_600_external_ane_live_board_v2_external_full_selected_20260516,410,267,99,162,0.651219512195122
603308.SH,nextday_all_days_close_profit_xgb_d3_600_reversal_fundamental_regime_external_ane_live_board_v2_external_full_selected_20260516,547,277,99,177,0.506398537477148
603308.SH,nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_external_aero_nuclear_v1,570,283,99,182,0.4964912280701754
600522.SH,nextday_all_days_close_profit_random_forest_600_d4_reversal_fundamental_regime_sector_external_optical_cable_grid_safe_20260515,614,296,70,204,0.4820846905537459
600487.SH,nextday_vwap_low_close_profit_extra_trees_600_d3_reversal_fundamental_regime_sector_external_optical_cable_grid_safe_20260515,616,296,70,204,0.4805194805194805
600276.SH,nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1,158,16,0,20,0.10126582278481013
600312.SH,nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1,158,16,0,20,0.10126582278481013
002311.SZ,nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_v1,160,16,0,20,0.1
002714.SZ,nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_v1,160,16,0,20,0.1
600096.SH,nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,160,16,0,20,0.1
600096.SH,nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,160,16,0,20,0.1
601899.SH,nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1,160,16,0,20,0.1
601899.SH,nextday_vwap_low_close_profit_extra_trees_reversal_fundamental_regime_sector_zijin_v1,160,16,0,20,0.1
002270.SZ,nextday_all_days_close_profit_extra_trees_all_no_ak_v1,213,16,0,20,0.07511737089201878
600312.SH,nextday_all_days_close_profit_xgb_d3_600_reversal_fundamental_regime_v1,135,10,0,15,0.07407407407407407
600312.SH,nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_v1,135,10,0,15,0.07407407407407407
600096.SH,nextday_all_days_hit80_xgb_d3_400_reversal_fundamental_regime_v1,137,10,0,15,0.072992700729927
601985.SH,nextday_all_days_close_profit_extra_trees_reversal_fundamental_regime_v1,137,10,0,15,0.072992700729927
