stock_code,artifact_name,model_dir,metadata_path,metadata_samples,expected_local_samples,samples_exists,resolved_samples,feature_count,label_mode,entry_policy,feature_group,model_name
002270.SZ,nextday_all_days_close_profit_extra_trees_all_no_ak_v1,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_models\002270.SZ\nextday_all_days_close_profit_extra_trees_all_no_ak_v1,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_models\002270.SZ\nextday_all_days_close_profit_extra_trees_all_no_ak_v1\metadata.json,/root/stock_realtime_v021_full/saved_data/002270_pipeline_out/03_sector/training_samples_with_sector.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\002270_pipeline_out\03_sector\training_samples_with_sector.csv,False,,213,close_profit,all_days,all_no_ak,extra_trees_600_d3
002311.SZ,nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_v1,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_models\002311.SZ\nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_v1,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_models\002311.SZ\nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_v1\metadata.json,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/03_sector/training_samples_with_sector.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\002311_pipeline_out\03_sector\training_samples_with_sector.csv,False,,160,close_profit,vwap_low,reversal_fundamental_regime_sector,xgb_d3_600_lr002_mcw3
002714.SZ,nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_v1,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_models\002714.SZ\nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_v1,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_models\002714.SZ\nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_v1\metadata.json,/root/stock_realtime_v021_full/saved_data/002714_pipeline_out/03_sector/training_samples_with_sector.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\002714_pipeline_out\03_sector\training_samples_with_sector.csv,False,,160,close_profit,vwap_low,reversal_fundamental_regime_sector,random_forest_600_d4
600096.SH,nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_models\600096.SH\nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_models\600096.SH\nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1\metadata.json,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/03_sector/training_samples_with_sector.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\600096_pipeline_out\03_sector\training_samples_with_sector.csv,False,,160,close_profit,all_days,reversal_fundamental_regime_sector,xgb_d4_500_lr002_mcw5
600096.SH,nextday_all_days_hit80_xgb_d3_400_reversal_fundamental_regime_v1,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_models\600096.SH\nextday_all_days_hit80_xgb_d3_400_reversal_fundamental_regime_v1,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_models\600096.SH\nextday_all_days_hit80_xgb_d3_400_reversal_fundamental_regime_v1\metadata.json,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/03_sector/training_samples_with_sector.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\600096_pipeline_out\03_sector\training_samples_with_sector.csv,False,,137,hit,all_days,reversal_fundamental_regime,xgb_d3_400_lr003_mcw3
600096.SH,nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_models\600096.SH\nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_models\600096.SH\nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1\metadata.json,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/03_sector/training_samples_with_sector.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\600096_pipeline_out\03_sector\training_samples_with_sector.csv,False,,160,close_profit,vwap_low,reversal_fundamental_regime_sector,xgb_d4_500_lr002_mcw5
600276.SH,nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_models\600276.SH\nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_models\600276.SH\nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1\metadata.json,/root/stock_realtime_v021_full/saved_data/600276_pipeline_out/03_sector/training_samples_with_sector.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\600276_pipeline_out\03_sector\training_samples_with_sector.csv,False,,158,hit,all_days,reversal_fundamental_regime_sector,extra_trees_600_d3
600312.SH,nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_models\600312.SH\nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_models\600312.SH\nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1\metadata.json,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out/03_sector/training_samples_with_sector.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\600312_pipeline_out\03_sector\training_samples_with_sector.csv,False,,158,close_profit,all_days,reversal_fundamental_regime_sector,xgb_d3_400_lr003_mcw3
600312.SH,nextday_all_days_close_profit_xgb_d3_600_reversal_fundamental_regime_v1,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_models\600312.SH\nextday_all_days_close_profit_xgb_d3_600_reversal_fundamental_regime_v1,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_models\600312.SH\nextday_all_days_close_profit_xgb_d3_600_reversal_fundamental_regime_v1\metadata.json,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out/03_sector/training_samples_with_sector.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\600312_pipeline_out\03_sector\training_samples_with_sector.csv,False,,135,close_profit,all_days,reversal_fundamental_regime,xgb_d3_600_lr002_mcw3
600312.SH,nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_v1,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_models\600312.SH\nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_v1,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_models\600312.SH\nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_v1\metadata.json,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out/03_sector/training_samples_with_sector.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\600312_pipeline_out\03_sector\training_samples_with_sector.csv,False,,135,close_profit,vwap_low,reversal_fundamental_regime,xgb_d3_600_lr002_mcw3
