stock_code,feature_category,rows,comparable,live_missing,train_missing,median_abs_rel_diff,p90_abs_rel_diff,max_abs_rel_diff
600312.SH,fundamental,770,770,0,0,0.0,0.0,0.0
600312.SH,stock_asof_derived,60,60,0,0,6.563737247209838e-16,1.427007281072487e-14,4.2655015262087676e-13
600312.SH,stock_asof_raw,80,80,0,0,0.0,0.0,0.0
600487.SH,fundamental,385,385,0,0,0.0,0.0,0.0
600487.SH,lagged_daily_external,175,175,0,0,0.0,0.0,0.0
600487.SH,stock_asof_derived,15,15,0,0,0.0,0.0,0.0
600487.SH,stock_asof_raw,40,40,0,0,0.0,0.0,0.0
603308.SH,fundamental,710,710,0,0,0.0,0.0,0.0
603308.SH,lagged_daily_external,575,575,0,0,0.0,0.0,0.0
603308.SH,stock_asof_derived,60,60,0,0,1.787478451651422e-16,1.820646498146275e-15,2.5920329479282303e-14
603308.SH,stock_asof_raw,80,80,0,0,0.0,0.0,0.0
