stock_code,pipeline_dir,status,sample_path,intraday_path,trade_date,snapshot_rows,path
000657.SZ,saved_data\000657_pipeline_out_v2_new27_full,missing_paths,/root/stock_realtime_v021_full/saved_data/000657_pipeline_out_v2_new27_full/04_external/zijin_external/training_samples_with_zijin_external.csv,/root/stock_realtime_v021_full/saved_data/000657_pipeline_out_v2_new27_full/00_base/000657_5m.csv,,,
000786.SZ,saved_data\000786_pipeline_out_v2_new27_full,missing_paths,/root/stock_realtime_v021_full/saved_data/000786_pipeline_out_v2_new27_full/04_external/material_wind_battery/training_samples_with_material_wind_battery_external.csv,/root/stock_realtime_v021_full/saved_data/000786_pipeline_out_v2_new27_full/00_base/000786_5m.csv,,,
002028.SZ,saved_data\002028_pipeline_out_v2_new27_full,missing_paths,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/04_external/storage_power/training_samples_with_storage_power_external.csv,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/00_base/002028_5m.csv,,,
002080.SZ,saved_data\002080_pipeline_out_v2_all14,missing_paths,/root/workspace/stock_realtime_v021_full/saved_data/002080_pipeline_out_v2_all14/04_external/material_wind_battery/training_samples_with_material_wind_battery_external.csv,/root/workspace/stock_realtime_v021_full/saved_data/002080_pipeline_out_v2_all14/00_base/002080_5m.csv,,,
002128.SZ,saved_data\002128_pipeline_out_v2_new27_full,missing_paths,/root/stock_realtime_v021_full/saved_data/002128_pipeline_out_v2_new27_full/04_external/power_utility_rate/training_samples_with_power_utility_rate_external.csv,/root/stock_realtime_v021_full/saved_data/002128_pipeline_out_v2_new27_full/00_base/002128_5m.csv,,,
002261.SZ,saved_data\002261_pipeline_out_v2_new27_full,missing_paths,/root/stock_realtime_v021_full/saved_data/002261_pipeline_out_v2_new27_full/04_external/ai_compute/training_samples_with_ai_compute_external.csv,/root/stock_realtime_v021_full/saved_data/002261_pipeline_out_v2_new27_full/00_base/002261_5m.csv,,,
002270.SZ,saved_data\002270_pipeline_out,missing_paths,/root/stock_realtime_v021_full/saved_data/002270_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/002270_pipeline_out/00_base/002270_5m.csv,,,
002270.SZ,saved_data\002270_pipeline_out_v2_all14,missing_paths,/root/workspace/stock_realtime_v021_full/saved_data/002270_pipeline_out_v2_all14/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/002270_pipeline_out_v2_all14/00_base/002270_5m.csv,,,
002297.SZ,saved_data\002297_pipeline_out_v2_new27_full,missing_paths,/root/stock_realtime_v021_full/saved_data/002297_pipeline_out_v2_new27_full/04_external/aero_nuclear_equipment/training_samples_with_aero_nuclear_equipment_external.csv,/root/stock_realtime_v021_full/saved_data/002297_pipeline_out_v2_new27_full/00_base/002297_5m.csv,,,
002311.SZ,saved_data\002311_pipeline_out,missing_paths,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/00_base/002311_5m.csv,,,
002311.SZ,saved_data\002311_pipeline_out_v2_all14,missing_paths,/root/workspace/stock_realtime_v021_full/saved_data/002311_pipeline_out_v2_all14/04_external/hog/training_samples_with_hog_industry.csv,/root/workspace/stock_realtime_v021_full/saved_data/002311_pipeline_out_v2_all14/00_base/002311_5m.csv,,,
002364.SZ,saved_data\002364_pipeline_out_v2_new27_full,missing_paths,/root/stock_realtime_v021_full/saved_data/002364_pipeline_out_v2_new27_full/04_external/storage_power/training_samples_with_storage_power_external.csv,/root/stock_realtime_v021_full/saved_data/002364_pipeline_out_v2_new27_full/00_base/002364_5m.csv,,,
002460.SZ,saved_data\002460_pipeline_out_v2_new27_full,missing_paths,/root/stock_realtime_v021_full/saved_data/002460_pipeline_out_v2_new27_full/04_external/zijin_external/training_samples_with_zijin_external.csv,/root/stock_realtime_v021_full/saved_data/002460_pipeline_out_v2_new27_full/00_base/002460_5m.csv,,,
002518.SZ,saved_data\002518_pipeline_out_v2_all14,missing_paths,/root/stock_realtime_v021_full/saved_data/002518_pipeline_out_v2_all14/04_external/storage_power/training_samples_with_storage_power_external.csv,/root/stock_realtime_v021_full/saved_data/002518_pipeline_out_v2_all14/00_base/002518_5m.csv,,,
002518.SZ,saved_data\002518_pipeline_out_v2_new27_full,missing_paths,/root/stock_realtime_v021_full/saved_data/002518_pipeline_out_v2_new27_full/04_external/storage_power/training_samples_with_storage_power_external.csv,/root/stock_realtime_v021_full/saved_data/002518_pipeline_out_v2_new27_full/00_base/002518_5m.csv,,,
002601.SZ,saved_data\002601_pipeline_out_v2_new27_full,missing_paths,/root/stock_realtime_v021_full/saved_data/002601_pipeline_out_v2_new27_full/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/002601_pipeline_out_v2_new27_full/00_base/002601_5m.csv,,,
