trade_date,stock_code,pipeline_dir,sample_file,intraday_bars,feature_group,feature_count,comparable_features,live_missing,train_missing,exactish_features,exactish_share,median_abs_rel_diff,p90_abs_rel_diff,p99_abs_rel_diff,max_abs_rel_diff,lagged_daily_filled,lagged_daily_missing
2026-05-14,600312.SH,saved_data\asof1455_v1\600312_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_v1\600312_pipeline_out\03_sector\training_samples_with_sector.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_v1\600312_pipeline_out\00_base\600312_5m.csv,all_no_ak,96,96,0,0,96,1.0,0.0,0.0,1.325884768730378e-14,1.425543710853524e-14,9,0
2026-05-15,600312.SH,saved_data\asof1455_audit_minidata\600312_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\600312_pipeline_out\03_sector\training_samples_with_sector.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\600312_pipeline_out\00_base\600312_5m.csv,all_no_ak,86,86,0,0,86,1.0,0.0,0.0,0.0,0.0,5,0
2026-05-15,600312.SH,saved_data\asof1455_v1\600312_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_v1\600312_pipeline_out\03_sector\training_samples_with_sector.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_v1\600312_pipeline_out\00_base\600312_5m.csv,all_no_ak,96,96,0,0,96,1.0,0.0,0.0,6.200450354615035e-14,4.2655015262087676e-13,9,0
2026-05-18,600312.SH,saved_data\asof1455_audit_minidata\600312_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\600312_pipeline_out\03_sector\training_samples_with_sector.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\600312_pipeline_out\00_base\600312_5m.csv,all_no_ak,86,86,0,0,86,1.0,0.0,0.0,0.0,0.0,5,0
2026-05-18,600312.SH,saved_data\asof1455_v1\600312_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_v1\600312_pipeline_out\03_sector\training_samples_with_sector.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_v1\600312_pipeline_out\00_base\600312_5m.csv,all_no_ak,96,96,0,0,96,1.0,0.0,0.0,1.5524466934476822e-14,3.685525021133833e-14,9,0
2026-05-19,600312.SH,saved_data\asof1455_audit_minidata\600312_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\600312_pipeline_out\03_sector\training_samples_with_sector.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\600312_pipeline_out\00_base\600312_5m.csv,all_no_ak,86,86,0,0,86,1.0,0.0,0.0,0.0,0.0,5,0
2026-05-19,600312.SH,saved_data\asof1455_v1\600312_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_v1\600312_pipeline_out\03_sector\training_samples_with_sector.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_v1\600312_pipeline_out\00_base\600312_5m.csv,all_no_ak,96,96,0,0,96,1.0,0.0,0.0,9.095621391480695e-15,2.0108914533523154e-14,9,0
2026-05-20,600312.SH,saved_data\asof1455_audit_minidata\600312_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\600312_pipeline_out\03_sector\training_samples_with_sector.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\600312_pipeline_out\00_base\600312_5m.csv,all_no_ak,86,86,0,0,86,1.0,0.0,0.0,0.0,0.0,5,0
2026-05-20,600312.SH,saved_data\asof1455_v1\600312_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_v1\600312_pipeline_out\03_sector\training_samples_with_sector.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_v1\600312_pipeline_out\00_base\600312_5m.csv,all_no_ak,96,96,0,0,96,1.0,0.0,0.0,5.490670909266354e-15,6.024147298453853e-15,9,0
2026-05-21,600312.SH,saved_data\asof1455_audit_minidata\600312_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\600312_pipeline_out\03_sector\training_samples_with_sector.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_audit_minidata\600312_pipeline_out\00_base\600312_5m.csv,all_no_ak,86,86,0,0,86,1.0,0.0,0.0,0.0,0.0,5,0
