vendor,source,quote_source,collected_at,datetime,symbol,exchange,trade_date,trade_time,phase,name,last_price,open,high,low,prev_close,volume,amount,pct_chg,pct_chg_raw,pct_chg_norm,pct_chg_source,pct_chg_unit
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T09:35:00,2026-05-14T09:35:00,603308.SH,SH,20260514,093500,continuous,603308.SH,78.71,80.4,80.4,78.71,80.5,2478100.0,196792536.0,-0.022236024844720537,-0.022236024844720537,-0.022236024844720537,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T09:40:00,2026-05-14T09:40:00,603308.SH,SH,20260514,094000,continuous,603308.SH,78.6,80.4,80.4,78.16,80.5,4110780.0,325348901.0,-0.023602484472049712,-0.023602484472049712,-0.023602484472049712,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T09:45:00,2026-05-14T09:45:00,603308.SH,SH,20260514,094500,continuous,603308.SH,78.0,80.4,80.4,77.51,80.5,5598780.0,441192497.0,-0.03105590062111796,-0.03105590062111796,-0.03105590062111796,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T09:50:00,2026-05-14T09:50:00,603308.SH,SH,20260514,095000,continuous,603308.SH,77.77,80.4,80.4,77.51,80.5,6520880.0,513008726.0,-0.03391304347826096,-0.03391304347826096,-0.03391304347826096,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T09:55:00,2026-05-14T09:55:00,603308.SH,SH,20260514,095500,continuous,603308.SH,77.38,80.4,80.4,77.01,80.5,7899280.0,619504187.0,-0.03875776397515529,-0.03875776397515529,-0.03875776397515529,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T10:00:00,2026-05-14T10:00:00,603308.SH,SH,20260514,100000,continuous,603308.SH,76.6,80.4,80.4,76.16,80.5,9430980.0,737088347.0,-0.04844720496894417,-0.04844720496894417,-0.04844720496894417,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T10:05:00,2026-05-14T10:05:00,603308.SH,SH,20260514,100500,continuous,603308.SH,76.61,80.4,80.4,76.16,80.5,10086980.0,787539434.0,-0.04832298136645963,-0.04832298136645963,-0.04832298136645963,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T10:10:00,2026-05-14T10:10:00,603308.SH,SH,20260514,101000,continuous,603308.SH,76.66,80.4,80.4,76.16,80.5,10717569.0,835768157.0,-0.047701863354037255,-0.047701863354037255,-0.047701863354037255,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T10:15:00,2026-05-14T10:15:00,603308.SH,SH,20260514,101500,continuous,603308.SH,76.65,80.4,80.4,76.16,80.5,11273869.0,878286553.0,-0.047826086956521685,-0.047826086956521685,-0.047826086956521685,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T10:20:00,2026-05-14T10:20:00,603308.SH,SH,20260514,102000,continuous,603308.SH,76.02,80.4,80.4,76.01,80.5,12066669.0,938727498.0,-0.05565217391304356,-0.05565217391304356,-0.05565217391304356,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T10:25:00,2026-05-14T10:25:00,603308.SH,SH,20260514,102500,continuous,603308.SH,76.48,80.4,80.4,76.01,80.5,12420669.0,965717585.0,-0.04993788819875766,-0.04993788819875766,-0.04993788819875766,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T10:30:00,2026-05-14T10:30:00,603308.SH,SH,20260514,103000,continuous,603308.SH,76.3,80.4,80.4,76.01,80.5,12851869.0,998779837.0,-0.05217391304347829,-0.05217391304347829,-0.05217391304347829,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T10:35:00,2026-05-14T10:35:00,603308.SH,SH,20260514,103500,continuous,603308.SH,76.62,80.4,80.4,76.01,80.5,13304869.0,1033408857.0,-0.048198757763975086,-0.048198757763975086,-0.048198757763975086,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T10:40:00,2026-05-14T10:40:00,603308.SH,SH,20260514,104000,continuous,603308.SH,76.25,80.4,80.4,76.01,80.5,13764969.0,1068570391.0,-0.052795031055900665,-0.052795031055900665,-0.052795031055900665,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T10:45:00,2026-05-14T10:45:00,603308.SH,SH,20260514,104500,continuous,603308.SH,76.05,80.4,80.4,75.8,80.5,14739269.0,1142617927.0,-0.055279503105590044,-0.055279503105590044,-0.055279503105590044,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T10:50:00,2026-05-14T10:50:00,603308.SH,SH,20260514,105000,continuous,603308.SH,76.6,80.4,80.4,75.8,80.5,14994869.0,1162130152.0,-0.04844720496894417,-0.04844720496894417,-0.04844720496894417,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T10:55:00,2026-05-14T10:55:00,603308.SH,SH,20260514,105500,continuous,603308.SH,76.57,80.4,80.4,75.8,80.5,15207969.0,1178447556.0,-0.04881987577639757,-0.04881987577639757,-0.04881987577639757,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T11:00:00,2026-05-14T11:00:00,603308.SH,SH,20260514,110000,continuous,603308.SH,76.86,80.4,80.4,75.8,80.5,15428669.0,1195379264.0,-0.045217391304347876,-0.045217391304347876,-0.045217391304347876,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T11:05:00,2026-05-14T11:05:00,603308.SH,SH,20260514,110500,continuous,603308.SH,76.36,80.4,80.4,75.8,80.5,15666269.0,1213560692.0,-0.05142857142857149,-0.05142857142857149,-0.05142857142857149,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T11:10:00,2026-05-14T11:10:00,603308.SH,SH,20260514,111000,continuous,603308.SH,76.11,80.4,80.4,75.8,80.5,15956669.0,1235699407.0,-0.05453416149068324,-0.05453416149068324,-0.05453416149068324,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T11:15:00,2026-05-14T11:15:00,603308.SH,SH,20260514,111500,continuous,603308.SH,75.71,80.4,80.4,75.67,80.5,16466570.0,1274388817.0,-0.05950310559006222,-0.05950310559006222,-0.05950310559006222,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T11:20:00,2026-05-14T11:20:00,603308.SH,SH,20260514,112000,continuous,603308.SH,75.65,80.4,80.4,75.6,80.5,16856270.0,1303875360.0,-0.060248447204968913,-0.060248447204968913,-0.060248447204968913,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T11:25:00,2026-05-14T11:25:00,603308.SH,SH,20260514,112500,continuous,603308.SH,75.76,80.4,80.4,75.51,80.5,17189570.0,1329094984.0,-0.05888198757763974,-0.05888198757763974,-0.05888198757763974,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-14T11:30:00,2026-05-14T11:30:00,603308.SH,SH,20260514,113000,continuous,603308.SH,76.01,80.4,80.4,75.51,80.5,17381295.0,1343654936.0,-0.055776397515527876,-0.055776397515527876,-0.055776397515527876,computed_from_prev_close,ratio
