symbol,trade_date,datetime,open,high,low,close,volume,amount,source,bar_freq,bar_label,bar_volume,bar_amount
600312.SH,20260520,2026-05-20 09:35:00,22.52,22.6,22.3,22.32,2896500,65100823.0,local_snapshot_5m_right_endpoint,5min,right,2896500,65100823.0
600312.SH,20260520,2026-05-20 09:40:00,22.32,22.38,22.23,22.3,1693600,37757155.0,local_snapshot_5m_right_endpoint,5min,right,1693600,37757155.0
600312.SH,20260520,2026-05-20 09:45:00,22.3,22.33,22.17,22.17,980300,21789745.0,local_snapshot_5m_right_endpoint,5min,right,980300,21789745.0
600312.SH,20260520,2026-05-20 09:50:00,22.18,22.46,22.15,22.38,960900,21429991.0,local_snapshot_5m_right_endpoint,5min,right,960900,21429991.0
600312.SH,20260520,2026-05-20 09:55:00,22.37,22.37,22.3,22.3,388500,8675634.0,local_snapshot_5m_right_endpoint,5min,right,388500,8675634.0
600312.SH,20260520,2026-05-20 10:00:00,22.29,22.35,22.24,22.24,566700,12632430.0,local_snapshot_5m_right_endpoint,5min,right,566700,12632430.0
600312.SH,20260520,2026-05-20 10:05:00,22.25,22.25,22.12,22.16,665200,14753297.0,local_snapshot_5m_right_endpoint,5min,right,665200,14753297.0
600312.SH,20260520,2026-05-20 10:10:00,22.15,22.19,22.13,22.16,414500,9187710.0,local_snapshot_5m_right_endpoint,5min,right,414500,9187710.0
600312.SH,20260520,2026-05-20 10:15:00,22.16,22.18,22.07,22.09,821000,18156097.0,local_snapshot_5m_right_endpoint,5min,right,821000,18156097.0
600312.SH,20260520,2026-05-20 10:20:00,22.09,22.1,22.03,22.05,606700,13385068.0,local_snapshot_5m_right_endpoint,5min,right,606700,13385068.0
600312.SH,20260520,2026-05-20 10:25:00,22.04,22.04,21.94,21.94,1069900,23526065.0,local_snapshot_5m_right_endpoint,5min,right,1069900,23526065.0
600312.SH,20260520,2026-05-20 10:30:00,21.95,21.97,21.92,21.92,604500,13261916.0,local_snapshot_5m_right_endpoint,5min,right,604500,13261916.0
600312.SH,20260520,2026-05-20 10:35:00,21.93,21.97,21.91,21.97,312200,6846437.0,local_snapshot_5m_right_endpoint,5min,right,312200,6846437.0
600312.SH,20260520,2026-05-20 10:40:00,21.97,22.03,21.89,21.9,607600,13336222.0,local_snapshot_5m_right_endpoint,5min,right,607600,13336222.0
600312.SH,20260520,2026-05-20 10:45:00,21.9,21.92,21.88,21.89,377500,8265065.0,local_snapshot_5m_right_endpoint,5min,right,377500,8265065.0
600312.SH,20260520,2026-05-20 10:50:00,21.88,21.9,21.88,21.89,278500,6095400.0,local_snapshot_5m_right_endpoint,5min,right,278500,6095400.0
600312.SH,20260520,2026-05-20 10:55:00,21.89,21.93,21.86,21.9,277400,6071360.0,local_snapshot_5m_right_endpoint,5min,right,277400,6071360.0
600312.SH,20260520,2026-05-20 11:00:00,21.88,21.91,21.86,21.87,201900,4418774.0,local_snapshot_5m_right_endpoint,5min,right,201900,4418774.0
600312.SH,20260520,2026-05-20 11:05:00,21.88,21.92,21.87,21.92,137300,3006605.0,local_snapshot_5m_right_endpoint,5min,right,137300,3006605.0
600312.SH,20260520,2026-05-20 11:10:00,21.92,21.98,21.92,21.93,208900,4584662.0,local_snapshot_5m_right_endpoint,5min,right,208900,4584662.0
600312.SH,20260520,2026-05-20 11:15:00,21.93,21.99,21.93,21.94,161500,3547242.0,local_snapshot_5m_right_endpoint,5min,right,161500,3547242.0
600312.SH,20260520,2026-05-20 11:20:00,21.96,21.99,21.94,21.99,179000,3931975.0,local_snapshot_5m_right_endpoint,5min,right,179000,3931975.0
600312.SH,20260520,2026-05-20 11:25:00,21.98,22.0,21.95,21.99,179500,3943403.0,local_snapshot_5m_right_endpoint,5min,right,179500,3943403.0
600312.SH,20260520,2026-05-20 11:30:00,21.99,22.01,21.98,21.98,150300,3305735.0,local_snapshot_5m_right_endpoint,5min,right,150300,3305735.0
600312.SH,20260520,2026-05-20 13:05:00,21.99,22.14,21.98,22.12,469401,10356329.0,local_snapshot_5m_right_endpoint,5min,right,469401,10356329.0
600312.SH,20260520,2026-05-20 13:10:00,22.12,22.2,22.1,22.15,364300,8068476.0,local_snapshot_5m_right_endpoint,5min,right,364300,8068476.0
600312.SH,20260520,2026-05-20 13:15:00,22.15,22.16,22.11,22.13,154677,3423890.0,local_snapshot_5m_right_endpoint,5min,right,154677,3423890.0
600312.SH,20260520,2026-05-20 13:20:00,22.13,22.14,22.09,22.13,186500,4123747.0,local_snapshot_5m_right_endpoint,5min,right,186500,4123747.0
600312.SH,20260520,2026-05-20 13:25:00,22.13,22.14,22.05,22.05,173400,3831994.0,local_snapshot_5m_right_endpoint,5min,right,173400,3831994.0
600312.SH,20260520,2026-05-20 13:30:00,22.05,22.06,22.0,22.0,183400,4039678.0,local_snapshot_5m_right_endpoint,5min,right,183400,4039678.0
600312.SH,20260520,2026-05-20 13:35:00,22.01,22.05,21.97,22.04,299000,6581324.0,local_snapshot_5m_right_endpoint,5min,right,299000,6581324.0
600312.SH,20260520,2026-05-20 13:40:00,22.04,22.36,22.04,22.34,591381,13155533.0,local_snapshot_5m_right_endpoint,5min,right,591381,13155533.0
600312.SH,20260520,2026-05-20 13:45:00,22.35,22.39,22.2,22.2,293752,6553256.0,local_snapshot_5m_right_endpoint,5min,right,293752,6553256.0
600312.SH,20260520,2026-05-20 13:50:00,22.22,22.24,22.17,22.2,252848,5616904.0,local_snapshot_5m_right_endpoint,5min,right,252848,5616904.0
600312.SH,20260520,2026-05-20 13:55:00,22.2,22.29,22.2,22.25,235400,5237688.0,local_snapshot_5m_right_endpoint,5min,right,235400,5237688.0
600312.SH,20260520,2026-05-20 14:00:00,22.25,22.25,22.21,22.21,209883,4665456.0,local_snapshot_5m_right_endpoint,5min,right,209883,4665456.0
600312.SH,20260520,2026-05-20 14:05:00,22.21,22.23,22.16,22.21,192100,4263619.0,local_snapshot_5m_right_endpoint,5min,right,192100,4263619.0
600312.SH,20260520,2026-05-20 14:10:00,22.21,22.22,22.16,22.16,138600,3076081.0,local_snapshot_5m_right_endpoint,5min,right,138600,3076081.0
600312.SH,20260520,2026-05-20 14:15:00,22.16,22.16,22.13,22.14,122200,2705864.0,local_snapshot_5m_right_endpoint,5min,right,122200,2705864.0
600312.SH,20260520,2026-05-20 14:20:00,22.14,22.15,22.13,22.14,104600,2315885.0,local_snapshot_5m_right_endpoint,5min,right,104600,2315885.0
600312.SH,20260520,2026-05-20 14:25:00,22.14,22.15,22.13,22.15,178200,3945352.0,local_snapshot_5m_right_endpoint,5min,right,178200,3945352.0
600312.SH,20260520,2026-05-20 14:30:00,22.15,22.17,22.12,22.13,175000,3875065.0,local_snapshot_5m_right_endpoint,5min,right,175000,3875065.0
600312.SH,20260520,2026-05-20 14:35:00,22.13,22.23,22.13,22.23,180700,4007925.0,local_snapshot_5m_right_endpoint,5min,right,180700,4007925.0
600312.SH,20260520,2026-05-20 14:40:00,22.22,22.24,22.18,22.18,197500,4386173.0,local_snapshot_5m_right_endpoint,5min,right,197500,4386173.0
600312.SH,20260520,2026-05-20 14:45:00,22.17,22.22,22.17,22.19,353400,7840884.0,local_snapshot_5m_right_endpoint,5min,right,353400,7840884.0
600312.SH,20260520,2026-05-20 14:50:00,22.17,22.22,22.17,22.2,278600,6184236.0,local_snapshot_5m_right_endpoint,5min,right,278600,6184236.0
600312.SH,20260520,2026-05-20 14:55:00,22.2,22.2,22.16,22.19,485200,10765896.0,local_snapshot_5m_right_endpoint,5min,right,485200,10765896.0
600312.SH,20260520,2026-05-20 15:00:00,22.19,22.23,22.19,22.21,341168,7577136.0,local_snapshot_5m_right_endpoint,5min,right,341168,7577136.0
