stock_code,trade_date,status,snapshot_rows,path,pipeline_dir,sample_path,intraday_path
002028.SZ,20260519,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260519\002028.SZ\snapshot_5level.csv,,,
002028.SZ,20260520,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260520\002028.SZ\snapshot_5level.csv,,,
002028.SZ,20260521,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260521\002028.SZ\snapshot_5level.csv,,,
002028.SZ,20260522,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260522\002028.SZ\snapshot_5level.csv,,,
002028.SZ,20260525,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260525\002028.SZ\snapshot_5level.csv,,,
002128.SZ,20260519,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260519\002128.SZ\snapshot_5level.csv,,,
002128.SZ,20260520,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260520\002128.SZ\snapshot_5level.csv,,,
002128.SZ,20260521,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260521\002128.SZ\snapshot_5level.csv,,,
002128.SZ,20260522,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260522\002128.SZ\snapshot_5level.csv,,,
002128.SZ,20260525,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260525\002128.SZ\snapshot_5level.csv,,,
002261.SZ,20260519,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260519\002261.SZ\snapshot_5level.csv,,,
002261.SZ,20260520,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260520\002261.SZ\snapshot_5level.csv,,,
002261.SZ,20260521,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260521\002261.SZ\snapshot_5level.csv,,,
002261.SZ,20260522,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260522\002261.SZ\snapshot_5level.csv,,,
002261.SZ,20260525,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260525\002261.SZ\snapshot_5level.csv,,,
002311.SZ,20260519,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260519\002311.SZ\snapshot_5level.csv,,,
002311.SZ,20260520,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260520\002311.SZ\snapshot_5level.csv,,,
002311.SZ,20260521,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260521\002311.SZ\snapshot_5level.csv,,,
002311.SZ,20260522,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260522\002311.SZ\snapshot_5level.csv,,,
002311.SZ,20260525,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260525\002311.SZ\snapshot_5level.csv,,,
002895.SZ,20260519,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260519\002895.SZ\snapshot_5level.csv,,,
002895.SZ,20260520,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260520\002895.SZ\snapshot_5level.csv,,,
002895.SZ,20260521,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260521\002895.SZ\snapshot_5level.csv,,,
002895.SZ,20260522,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260522\002895.SZ\snapshot_5level.csv,,,
002895.SZ,20260525,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260525\002895.SZ\snapshot_5level.csv,,,
600312.SH,20260519,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260519\600312.SH\snapshot_5level.csv,,,
600312.SH,20260520,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260520\600312.SH\snapshot_5level.csv,,,
600312.SH,20260521,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260521\600312.SH\snapshot_5level.csv,,,
600312.SH,20260522,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260522\600312.SH\snapshot_5level.csv,,,
600312.SH,20260525,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260525\600312.SH\snapshot_5level.csv,,,
600361.SH,20260519,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260519\600361.SH\snapshot_5level.csv,,,
600361.SH,20260520,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260520\600361.SH\snapshot_5level.csv,,,
600361.SH,20260521,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260521\600361.SH\snapshot_5level.csv,,,
600361.SH,20260522,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260522\600361.SH\snapshot_5level.csv,,,
600361.SH,20260525,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260525\600361.SH\snapshot_5level.csv,,,
600487.SH,20260519,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260519\600487.SH\snapshot_5level.csv,,,
600487.SH,20260520,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260520\600487.SH\snapshot_5level.csv,,,
600487.SH,20260521,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260521\600487.SH\snapshot_5level.csv,,,
600487.SH,20260522,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260522\600487.SH\snapshot_5level.csv,,,
600487.SH,20260525,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260525\600487.SH\snapshot_5level.csv,,,
600522.SH,20260519,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260519\600522.SH\snapshot_5level.csv,,,
600522.SH,20260520,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260520\600522.SH\snapshot_5level.csv,,,
600522.SH,20260521,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260521\600522.SH\snapshot_5level.csv,,,
600522.SH,20260522,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260522\600522.SH\snapshot_5level.csv,,,
600522.SH,20260525,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260525\600522.SH\snapshot_5level.csv,,,
600584.SH,,missing_paths,,,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_week_check\600584_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_week_check\600584_pipeline_out\04_external\ai_compute\training_samples_with_ai_compute_external.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_week_check\600584_pipeline_out\00_base\600584_5m.csv
600919.SH,20260519,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260519\600919.SH\snapshot_5level.csv,,,
600919.SH,20260520,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260520\600919.SH\snapshot_5level.csv,,,
600919.SH,20260521,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260521\600919.SH\snapshot_5level.csv,,,
600919.SH,20260522,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260522\600919.SH\snapshot_5level.csv,,,
600919.SH,20260525,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260525\600919.SH\snapshot_5level.csv,,,
601818.SH,20260519,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260519\601818.SH\snapshot_5level.csv,,,
601818.SH,20260520,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260520\601818.SH\snapshot_5level.csv,,,
