trade_date,stock_code,pipeline_dir,sample_file,intraday_bars,feature_group,feature_count,comparable_features,live_missing,train_missing,exactish_features,exactish_share,median_abs_rel_diff,p90_abs_rel_diff,p99_abs_rel_diff,max_abs_rel_diff,lagged_daily_filled,lagged_daily_missing
2026/5/19,002028.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\04_external\storage_power\training_samples_with_storage_power_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\00_base\002028_5m.csv,all_no_ak,180,180,0,0,180,1,0,0,1.12E-15,2.99E-15,93,0
2026/5/20,002028.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\04_external\storage_power\training_samples_with_storage_power_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\00_base\002028_5m.csv,all_no_ak,180,180,0,0,180,1,0,0,4.36E-15,4.32E-14,93,0
2026/5/21,002028.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\04_external\storage_power\training_samples_with_storage_power_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\00_base\002028_5m.csv,all_no_ak,180,180,0,0,180,1,0,0,1.29E-15,2.39E-15,93,0
2026/5/22,002028.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\04_external\storage_power\training_samples_with_storage_power_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\00_base\002028_5m.csv,all_no_ak,180,180,0,0,180,1,0,0,1.25E-15,3.92E-15,93,0
2026/5/25,002028.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\04_external\storage_power\training_samples_with_storage_power_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\00_base\002028_5m.csv,all_no_ak,180,180,0,0,180,1,0,0,2.30E-15,2.29E-14,93,0
2026/5/19,002128.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002128_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002128_pipeline_out\04_external\power_utility_rate\training_samples_with_power_utility_rate_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002128_pipeline_out\00_base\002128_5m.csv,all_no_ak,98,98,0,0,98,1,0,0,1.35E-15,2.22E-15,9,0
2026/5/20,002128.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002128_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002128_pipeline_out\04_external\power_utility_rate\training_samples_with_power_utility_rate_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002128_pipeline_out\00_base\002128_5m.csv,all_no_ak,98,98,0,0,98,1,0,0,3.51E-15,4.51E-15,9,0
2026/5/21,002128.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002128_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002128_pipeline_out\04_external\power_utility_rate\training_samples_with_power_utility_rate_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002128_pipeline_out\00_base\002128_5m.csv,all_no_ak,98,98,0,0,98,1,0,0,4.15E-15,4.56E-15,9,0
2026/5/22,002128.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002128_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002128_pipeline_out\04_external\power_utility_rate\training_samples_with_power_utility_rate_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002128_pipeline_out\00_base\002128_5m.csv,all_no_ak,98,98,0,0,98,1,0,0,2.87E-15,4.09E-15,9,0
2026/5/25,002128.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002128_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002128_pipeline_out\04_external\power_utility_rate\training_samples_with_power_utility_rate_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002128_pipeline_out\00_base\002128_5m.csv,all_no_ak,98,98,0,0,98,1,0,0,7.37E-15,1.09E-14,9,0
2026/5/19,002261.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out\04_external\ai_compute\training_samples_with_ai_compute_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out\00_base\002261_5m.csv,all_no_ak,146,146,0,0,146,1,0,0,2.31E-15,3.93E-15,57,0
2026/5/20,002261.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out\04_external\ai_compute\training_samples_with_ai_compute_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out\00_base\002261_5m.csv,all_no_ak,146,146,0,0,146,1,0,0,9.94E-16,2.73E-15,57,0
2026/5/21,002261.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out\04_external\ai_compute\training_samples_with_ai_compute_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out\00_base\002261_5m.csv,all_no_ak,146,146,0,0,146,1,0,0,6.49E-16,8.38E-15,57,0
