symbol,trade_date,datetime,open,high,low,close,volume,amount,source,bar_freq,bar_label,bar_volume,bar_amount
600361.SH,20260519,2026-05-19 09:35:00,4.35,4.36,4.29,4.29,3201300,13839004.0,local_snapshot_5m_right_endpoint,5min,right,3201300,13839004.0
600361.SH,20260519,2026-05-19 09:40:00,4.3,4.39,4.29,4.37,3474600,15105689.0,local_snapshot_5m_right_endpoint,5min,right,3474600,15105689.0
600361.SH,20260519,2026-05-19 09:45:00,4.37,4.39,4.35,4.37,2142800,9376439.0,local_snapshot_5m_right_endpoint,5min,right,2142800,9376439.0
600361.SH,20260519,2026-05-19 09:50:00,4.37,4.38,4.34,4.35,1466800,6403014.0,local_snapshot_5m_right_endpoint,5min,right,1466800,6403014.0
600361.SH,20260519,2026-05-19 09:55:00,4.35,4.38,4.34,4.35,1392700,6069916.0,local_snapshot_5m_right_endpoint,5min,right,1392700,6069916.0
600361.SH,20260519,2026-05-19 10:00:00,4.35,4.35,4.33,4.34,884500,3843715.0,local_snapshot_5m_right_endpoint,5min,right,884500,3843715.0
600361.SH,20260519,2026-05-19 10:05:00,4.34,4.35,4.33,4.34,860900,3734568.0,local_snapshot_5m_right_endpoint,5min,right,860900,3734568.0
600361.SH,20260519,2026-05-19 10:10:00,4.34,4.35,4.34,4.34,763800,3317584.0,local_snapshot_5m_right_endpoint,5min,right,763800,3317584.0
600361.SH,20260519,2026-05-19 10:15:00,4.34,4.35,4.33,4.33,1150500,4985296.0,local_snapshot_5m_right_endpoint,5min,right,1150500,4985296.0
600361.SH,20260519,2026-05-19 10:20:00,4.33,4.34,4.32,4.32,737400,3190302.0,local_snapshot_5m_right_endpoint,5min,right,737400,3190302.0
600361.SH,20260519,2026-05-19 10:25:00,4.32,4.33,4.3,4.31,1148500,4956001.0,local_snapshot_5m_right_endpoint,5min,right,1148500,4956001.0
600361.SH,20260519,2026-05-19 10:30:00,4.3,4.32,4.3,4.32,912200,3932388.0,local_snapshot_5m_right_endpoint,5min,right,912200,3932388.0
600361.SH,20260519,2026-05-19 10:35:00,4.32,4.34,4.31,4.32,1293897,5598416.0,local_snapshot_5m_right_endpoint,5min,right,1293897,5598416.0
600361.SH,20260519,2026-05-19 10:40:00,4.32,4.34,4.32,4.33,392900,1700040.0,local_snapshot_5m_right_endpoint,5min,right,392900,1700040.0
600361.SH,20260519,2026-05-19 10:45:00,4.33,4.34,4.32,4.33,756400,3272691.0,local_snapshot_5m_right_endpoint,5min,right,756400,3272691.0
600361.SH,20260519,2026-05-19 10:50:00,4.33,4.34,4.32,4.33,366500,1588054.0,local_snapshot_5m_right_endpoint,5min,right,366500,1588054.0
600361.SH,20260519,2026-05-19 10:55:00,4.33,4.35,4.33,4.33,627200,2721899.0,local_snapshot_5m_right_endpoint,5min,right,627200,2721899.0
600361.SH,20260519,2026-05-19 11:00:00,4.33,4.34,4.33,4.33,216700,938599.0,local_snapshot_5m_right_endpoint,5min,right,216700,938599.0
