symbol,trade_date,datetime,open,high,low,close,volume,amount,source,bar_freq,bar_label,bar_volume,bar_amount
002028.SZ,20260522,2026-05-22 09:35:00,201.01,201.37,197.2,199.32,628009,124711366.27,local_snapshot_5m_right_endpoint,5min,right,628009,124711366.27
002028.SZ,20260522,2026-05-22 09:40:00,199.3,199.98,198.56,198.93,260198,51849535.08,local_snapshot_5m_right_endpoint,5min,right,260198,51849535.08
002028.SZ,20260522,2026-05-22 09:45:00,199.03,199.68,198.28,199.5,177300,35291930.0,local_snapshot_5m_right_endpoint,5min,right,177300,35291930.0
002028.SZ,20260522,2026-05-22 09:50:00,199.16,199.2,198.18,198.84,269400,53514481.72,local_snapshot_5m_right_endpoint,5min,right,269400,53514481.72
002028.SZ,20260522,2026-05-22 09:55:00,198.77,199.96,198.5,199.56,138200,27527839.0,local_snapshot_5m_right_endpoint,5min,right,138200,27527839.0
002028.SZ,20260522,2026-05-22 10:00:00,199.55,199.67,197.68,197.81,217800,43227661.0,local_snapshot_5m_right_endpoint,5min,right,217800,43227661.0
002028.SZ,20260522,2026-05-22 10:05:00,198.0,198.37,197.62,198.26,213900,42334967.0,local_snapshot_5m_right_endpoint,5min,right,213900,42334967.0
002028.SZ,20260522,2026-05-22 10:10:00,198.5,198.67,198.0,198.38,167200,33162442.0,local_snapshot_5m_right_endpoint,5min,right,167200,33162442.0
002028.SZ,20260522,2026-05-22 10:15:00,198.38,198.38,197.39,198.05,185900,36774346.0,local_snapshot_5m_right_endpoint,5min,right,185900,36774346.0
002028.SZ,20260522,2026-05-22 10:20:00,198.01,198.11,196.66,196.66,233100,45963790.0,local_snapshot_5m_right_endpoint,5min,right,233100,45963790.0
002028.SZ,20260522,2026-05-22 10:25:00,196.67,196.79,196.18,196.57,154700,30407038.0,local_snapshot_5m_right_endpoint,5min,right,154700,30407038.0
002028.SZ,20260522,2026-05-22 10:30:00,196.58,197.5,196.4,196.4,114800,22600968.0,local_snapshot_5m_right_endpoint,5min,right,114800,22600968.0
002028.SZ,20260522,2026-05-22 10:35:00,196.34,197.58,196.28,197.58,135800,26715468.0,local_snapshot_5m_right_endpoint,5min,right,135800,26715468.0
002028.SZ,20260522,2026-05-22 10:40:00,197.47,198.1,197.15,197.5,149500,29539535.0,local_snapshot_5m_right_endpoint,5min,right,149500,29539535.0
002028.SZ,20260522,2026-05-22 10:45:00,197.51,198.0,197.2,197.56,126600,25017206.0,local_snapshot_5m_right_endpoint,5min,right,126600,25017206.0
002028.SZ,20260522,2026-05-22 10:50:00,197.63,197.89,197.0,197.29,93200,18396262.0,local_snapshot_5m_right_endpoint,5min,right,93200,18396262.0
002028.SZ,20260522,2026-05-22 10:55:00,197.48,197.48,196.89,196.96,88309,17398220.2,local_snapshot_5m_right_endpoint,5min,right,88309,17398220.2
002028.SZ,20260522,2026-05-22 11:00:00,196.97,197.2,196.64,196.85,83491,16443413.4,local_snapshot_5m_right_endpoint,5min,right,83491,16443413.4
002028.SZ,20260522,2026-05-22 11:05:00,196.98,196.98,196.24,196.58,99400,19535170.0,local_snapshot_5m_right_endpoint,5min,right,99400,19535170.0
002028.SZ,20260522,2026-05-22 11:10:00,196.58,196.69,196.2,196.69,110500,21695045.0,local_snapshot_5m_right_endpoint,5min,right,110500,21695045.0
002028.SZ,20260522,2026-05-22 11:15:00,196.69,197.8,196.52,197.73,107900,21272362.0,local_snapshot_5m_right_endpoint,5min,right,107900,21272362.0
002028.SZ,20260522,2026-05-22 11:20:00,197.6,198.2,197.3,197.81,206000,40743859.0,local_snapshot_5m_right_endpoint,5min,right,206000,40743859.0
002028.SZ,20260522,2026-05-22 11:25:00,197.8,198.48,197.31,198.35,64700,12807286.0,local_snapshot_5m_right_endpoint,5min,right,64700,12807286.0
002028.SZ,20260522,2026-05-22 11:30:00,198.32,198.41,198.11,198.2,44600,8840381.0,local_snapshot_5m_right_endpoint,5min,right,44600,8840381.0
002028.SZ,20260522,2026-05-22 13:05:00,198.21,198.74,197.21,197.51,178300,35266297.0,local_snapshot_5m_right_endpoint,5min,right,178300,35266297.0
002028.SZ,20260522,2026-05-22 13:10:00,197.5,197.63,196.79,196.96,96900,19101798.0,local_snapshot_5m_right_endpoint,5min,right,96900,19101798.0
002028.SZ,20260522,2026-05-22 13:15:00,196.95,197.0,196.5,196.87,144000,28324888.0,local_snapshot_5m_right_endpoint,5min,right,144000,28324888.0
002028.SZ,20260522,2026-05-22 13:20:00,196.87,197.3,196.68,196.69,164800,32448760.0,local_snapshot_5m_right_endpoint,5min,right,164800,32448760.0
002028.SZ,20260522,2026-05-22 13:25:00,196.69,196.9,196.56,196.64,78000,15342381.0,local_snapshot_5m_right_endpoint,5min,right,78000,15342381.0
002028.SZ,20260522,2026-05-22 13:30:00,196.77,197.77,196.71,197.77,72400,14274928.0,local_snapshot_5m_right_endpoint,5min,right,72400,14274928.0
002028.SZ,20260522,2026-05-22 13:35:00,197.51,198.2,197.51,198.08,124700,24668260.0,local_snapshot_5m_right_endpoint,5min,right,124700,24668260.0
002028.SZ,20260522,2026-05-22 13:40:00,198.03,199.17,198.03,198.59,123200,24470042.0,local_snapshot_5m_right_endpoint,5min,right,123200,24470042.0
002028.SZ,20260522,2026-05-22 13:45:00,198.53,198.65,197.8,197.86,86800,17202191.0,local_snapshot_5m_right_endpoint,5min,right,86800,17202191.0
002028.SZ,20260522,2026-05-22 13:50:00,197.89,197.94,197.19,197.55,107400,21221308.0,local_snapshot_5m_right_endpoint,5min,right,107400,21221308.0
002028.SZ,20260522,2026-05-22 13:55:00,197.56,197.99,197.56,197.8,127159,25142494.09,local_snapshot_5m_right_endpoint,5min,right,127159,25142494.09
002028.SZ,20260522,2026-05-22 14:00:00,197.8,198.0,197.3,197.4,101741,20111684.6,local_snapshot_5m_right_endpoint,5min,right,101741,20111684.6
002028.SZ,20260522,2026-05-22 14:05:00,197.37,197.72,197.1,197.25,154800,30544198.0,local_snapshot_5m_right_endpoint,5min,right,154800,30544198.0
002028.SZ,20260522,2026-05-22 14:10:00,197.2,197.61,197.2,197.5,153800,30370297.0,local_snapshot_5m_right_endpoint,5min,right,153800,30370297.0
002028.SZ,20260522,2026-05-22 14:15:00,197.5,197.8,197.35,197.41,128900,25471018.0,local_snapshot_5m_right_endpoint,5min,right,128900,25471018.0
002028.SZ,20260522,2026-05-22 14:20:00,197.35,197.39,197.01,197.17,149400,29458821.0,local_snapshot_5m_right_endpoint,5min,right,149400,29458821.0
