code,pubDate,statDate,profit_roeAvg,profit_npMargin,profit_gpMargin,profit_netProfit,profit_epsTTM,profit_MBRevenue,profit_totalShare,profit_liqaShare,used_pubDate,effective_date,operation_NRTurnRatio,operation_NRTurnDays,operation_INVTurnRatio,operation_INVTurnDays,operation_CATurnRatio,operation_AssetTurnRatio,growth_YOYEquity,growth_YOYAsset,growth_YOYNI,growth_YOYEPSBasic,growth_YOYPNI,solvency_currentRatio,solvency_quickRatio,solvency_cashRatio,solvency_YOYLiability,solvency_liabilityToAsset,solvency_assetToEquity,cashflow_CAToAsset,cashflow_NCAToAsset,cashflow_tangibleAssetToAsset,cashflow_ebitToInterest,cashflow_CFOToOR,cashflow_CFOToNP,cashflow_CFOToGr,dupont_dupontROE,dupont_dupontAssetStoEquity,dupont_dupontAssetTurn,dupont_dupontPnitoni,dupont_dupontNitogr,dupont_dupontTaxBurden,dupont_dupontIntburden,dupont_dupontEbittogr
sz.002270,2017-04-28,2017-03-31,0.017332,0.16519,0.540345,32374150.03,0.473188,,506159420.0,206675409.0,True,2017-04-29,0.318145,282.8899,0.219396,410.216667,0.110285,0.084374,0.11607,0.180066,0.112761,0.0,0.081284,4.218589,3.263433,0.904223,0.535121,0.194308,1.24117,0.771115,0.228885,0.725225,720.841699,-0.537763,-3.255423,-0.537763,0.017332,1.230257,0.084374,1.010766,0.16519,0.7583,0.998613,0.218145
sz.002270,2017-08-24,2017-06-30,0.051307,0.127307,0.360875,98051902.0,0.479324,770203200.85,506159420.0,206675409.0,True,2017-08-25,0.937405,192.019555,1.131797,159.039078,0.391587,0.305368,0.139671,0.366384,0.072919,0.055556,0.059851,2.874202,2.271987,0.44028,1.744401,0.286578,1.401695,0.797136,0.202864,0.640111,81.078586,-0.553903,-4.350943,-0.553903,0.051307,1.312981,0.305368,1.005174,0.127307,0.826759,0.987666,0.155906
sz.002270,2017-10-25,2017-09-30,0.075611,0.149911,0.407552,146313090.6,0.474903,,506159420.0,206675409.0,True,2017-10-26,1.207689,223.567555,1.196667,225.626698,0.486761,0.381145,0.134172,0.359587,0.03156,0.023239,0.023154,2.860135,2.160037,0.390898,1.691143,0.289113,1.406694,0.802431,0.197569,0.639943,19.466693,-0.475563,-3.172306,-0.475563,0.075611,1.316527,0.381145,1.005153,0.149911,0.833077,0.94863,0.189693
sz.002270,2018-04-24,2017-12-31,0.151396,0.168742,0.362903,305216436.46,0.605461,1808779366.16,506159420.0,287622732.0,True,2018-04-25,2.447423,147.09348,2.956694,121.757607,0.832909,0.664038,0.162693,0.394575,0.303152,0.297872,0.292813,2.69993,2.315982,0.555016,1.500391,0.312621,1.454802,0.824864,0.175136,0.626669,34.654193,-0.143004,-0.847473,-0.143004,0.151396,1.345657,0.664038,1.004073,0.168742,0.811784,0.971143,0.214042
sz.002270,2018-04-28,2018-03-31,0.012739,0.177158,0.565022,27775155.46,0.595923,,506159420.0,287622732.0,True,2018-04-29,0.16749,537.346329,0.161146,558.498134,0.061608,0.050523,0.156952,0.279758,-0.142058,0.0,-0.147527,3.073619,2.484117,0.652831,0.792305,0.27213,1.373871,0.815055,0.184945,0.663,5.560958,0.19192,1.083327,0.19192,0.012739,1.41715,0.050523,1.004323,0.177158,0.897736,0.820175,0.240605
sz.002270,2018-08-28,2018-06-30,0.018962,0.101143,0.466504,40661476.38,0.327932,402018717.2,759239130.0,431434098.0,True,2018-08-29,0.401646,448.156314,0.515586,349.117217,0.149668,0.118442,0.094441,0.305602,-0.585307,-0.615385,-0.583215,3.714804,3.094828,1.176346,0.832044,0.402132,1.672609,0.761972,0.238028,0.541437,3.469583,0.355083,3.510694,0.355083,0.018962,1.566837,0.118442,1.010244,0.101143,0.966023,0.711781,0.147097
sz.002270,2018-10-26,2018-09-30,0.033676,0.11678,0.476038,72318652.38,0.306723,,759239130.0,431434098.0,True,2018-10-27,0.575692,469.001181,0.586961,459.996498,0.210557,0.163223,0.083988,0.551212,-0.505727,-0.500258,-0.500343,2.192002,1.699614,0.480749,1.703043,0.50379,2.015276,0.739505,0.260495,0.421093,3.127474,0.210162,1.799639,0.210162,0.033676,1.738722,0.163223,1.016102,0.11678,0.901879,0.680253,0.190349
sz.002270,2019-04-27,2018-12-31,0.073599,0.14769,0.435174,171242829.69,0.216031,1159474684.94,759239130.0,684578633.0,True,2019-04-28,0.704609,510.921479,1.662982,216.478549,0.42343,0.321075,0.047821,0.2764,-0.438946,-0.45,-0.464793,2.928026,2.502613,0.566139,0.715719,0.420221,1.724795,0.7061,0.2939,0.472984,4.573602,0.374127,2.53319,0.374127,0.073599,1.620444,0.321075,0.957818,0.14769,0.934305,0.781354,0.202309
sz.002270,2019-04-30,2019-03-31,0.015483,0.152259,0.520168,37721343.18,0.226074,,759239130.0,738926458.0,True,2019-05-01,0.143336,627.894483,0.262318,343.095608,0.086418,0.061074,0.047508,0.339373,0.358097,0.25,0.273339,2.986391,2.476326,0.519677,1.042436,0.414976,1.709331,0.707361,0.292639,0.47808,3.618118,-0.411083,-2.699885,-0.411083,0.015483,1.768193,0.061074,0.941644,0.152259,0.871091,0.723613,0.241554
sz.002270,2019-08-27,2019-06-30,0.028273,0.132378,0.508604,70096190.73,0.247215,529516662.25,759239130.0,738926458.0,True,2019-08-28,0.326869,550.678868,0.596428,301.796629,0.189678,0.132681,0.06675,0.087508,0.723897,0.57671,0.576363,3.70159,3.080432,0.75351,0.119069,0.413802,1.705909,0.692716,0.307284,0.489096,3.571041,-0.063767,-0.481707,-0.063767,0.028273,1.74253,0.132681,0.923786,0.132378,0.97763,0.71997,0.188073
sz.002270,2019-10-25,2019-09-30,0.04351,0.126725,0.50725,106562539.75,0.251557,,759239130.0,738926458.0,True,2019-10-26,0.51271,526.613141,0.962337,280.567054,0.307043,0.213004,0.068293,-0.128959,0.473514,0.366736,0.367057,4.089088,3.392946,0.663073,-0.324389,0.390758,1.641384,0.680701,0.319299,0.509265,3.302637,8.2e-05,0.000648,8.2e-05,0.04351,1.70988,0.213004,0.942691,0.126725,0.941652,0.697212,0.193022
sz.002270,2020-04-29,2019-12-31,0.064474,0.131004,0.498496,157535414.43,0.19887,1202519591.94,759239130.0,732141205.0,True,2020-04-30,0.881972,408.176048,1.456187,247.220911,0.459163,0.304745,0.053747,-0.051222,-0.080047,-0.090909,-0.079438,4.489312,3.710077,0.844543,-0.158011,0.372923,1.594701,0.619005,0.380995,0.52657,3.939197,0.153921,1.174927,0.153921,0.064474,1.684971,0.304745,0.958451,0.131004,0.935411,0.746141,0.187699
sz.002270,2020-04-30,2020-03-31,0.070334,0.788858,0.515143,175389365.05,0.383145,,759239130.0,732141205.0,True,2020-05-01,0.217809,413.206391,0.245072,367.23847,0.087745,0.055251,0.120334,0.035105,3.649606,3.6,3.938872,4.087104,3.377525,0.94925,-0.042645,0.383805,1.622864,0.639439,0.360561,0.529382,12.661308,0.165916,0.210325,0.165916,0.070334,1.613329,0.055251,1.000226,0.788858,0.755663,0.938886,1.111879
sz.002270,2020-08-20,2020-06-30,0.084063,0.375119,0.500374,211978334.59,0.389874,565096482.33,759239130.0,759224768.0,True,2020-08-21,0.529199,340.136614,0.626781,287.181429,0.222925,0.141507,0.12509,0.054041,2.024106,2.111111,2.239524,4.140226,3.389419,0.987492,-0.048327,0.373614,1.59646,0.649393,0.350607,0.52786,10.405369,0.192447,0.513028,0.192447,0.084063,1.600297,0.141507,0.98959,0.375119,0.792755,0.903896,0.523494
sz.002270,2020-10-27,2020-09-30,0.104201,0.294534,0.500381,263803760.07,0.409006,,759239130.0,759224768.0,True,2020-10-28,0.845101,319.488529,1.026893,262.928961,0.362171,0.226609,0.107027,0.056367,1.475577,1.588057,1.588199,4.615127,3.790645,0.765517,-0.024679,0.360779,1.564403,0.632022,0.367978,0.538399,7.07232,0.30163,1.024092,0.30163,0.104201,1.584051,0.226609,0.985578,0.294534,0.793952,0.888817,0.417378
