date,hog_spot,hog_corn,hog_soymeal,hog_piglet,hog_sow,hog_pig_corn_ratio,hog_pork_wholesale,hog_fut_open,hog_fut_high,hog_fut_low,hog_fut_close,hog_fut_volume,hog_fut_hold,hog_fut_settle,hog_spot_ret1,hog_spot_ret5,hog_spot_ret20,hog_spot_ma20_gap,hog_spot_z20,hog_spot_z60,hog_corn_ret1,hog_corn_ret5,hog_corn_ret20,hog_corn_ma20_gap,hog_corn_z20,hog_corn_z60,hog_soymeal_ret1,hog_soymeal_ret5,hog_soymeal_ret20,hog_soymeal_ma20_gap,hog_soymeal_z20,hog_soymeal_z60,hog_piglet_ret1,hog_piglet_ret5,hog_piglet_ret20,hog_piglet_ma20_gap,hog_piglet_z20,hog_piglet_z60,hog_sow_ret1,hog_sow_ret5,hog_sow_ret20,hog_sow_ma20_gap,hog_sow_z20,hog_sow_z60,hog_pig_corn_ratio_ret1,hog_pig_corn_ratio_ret5,hog_pig_corn_ratio_ret20,hog_pig_corn_ratio_ma20_gap,hog_pig_corn_ratio_z20,hog_pig_corn_ratio_z60,hog_pork_wholesale_ret1,hog_pork_wholesale_ret5,hog_pork_wholesale_ret20,hog_pork_wholesale_ma20_gap,hog_pork_wholesale_z20,hog_pork_wholesale_z60,hog_fut_close_ret1,hog_fut_close_ret5,hog_fut_close_ret20,hog_fut_close_ma20_gap,hog_fut_close_z20,hog_fut_close_z60,hog_fut_volume_ret1,hog_fut_volume_ret5,hog_fut_volume_ret20,hog_fut_volume_ma20_gap,hog_fut_volume_z20,hog_fut_volume_z60,hog_fut_hold_ret1,hog_fut_hold_ret5,hog_fut_hold_ret20,hog_fut_hold_ma20_gap,hog_fut_hold_z20,hog_fut_hold_z60,hog_fut_vol20,hog_fut_spot_basis,hog_fut_spot_basis_z60,hog_feed_cost_index,hog_feed_cost_ret20
2018-11-04,,,,,30.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-07,,,,,30.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0023263542705218576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-12,,,,,29.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.017572944297082227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-26,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.021262234222072185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,,,,,28.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005172413793103403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-23,,,,,28.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0072790294627382846,-0.048188767032236623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-30,,,,21.57,28.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0020949720670392358,-0.052387267904509316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-06,,,,21.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009272137227631649,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-13,,,,22.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0361278369615563,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-20,,,,23.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05364327223960652,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
