date,hog_spot,hog_corn,hog_soymeal,hog_piglet,hog_sow,hog_pig_corn_ratio,hog_pork_wholesale,hog_fut_open,hog_fut_high,hog_fut_low,hog_fut_close,hog_fut_volume,hog_fut_hold,hog_fut_settle
2018-11-04,,,,,30.09,,,,,,,,,
2018-11-07,,,,,30.16,,,,,,,,,
2018-12-12,,,,,29.63,,,,,,,,,
2018-12-26,,,,,29.0,,,,,,,,,
2019-01-02,,,,,28.85,,,,,,,,,
2019-01-23,,,,,28.64,,,,,,,,,
2019-01-30,,,,21.57,28.58,,,,,,,,,
2019-02-06,,,,21.59,,,,,,,,,,
2019-02-13,,,,22.37,,,,,,,,,,
2019-02-20,,,,23.57,,,,,,,,,,
2019-02-27,,,,24.61,,,,,,,,,,
2019-03-06,,,,25.84,29.37,,,,,,,,,
2019-03-13,,,,29.49,30.15,,,,,,,,,
2019-03-20,,,,31.91,,,,,,,,,,
2019-03-27,,,,34.16,,,,,,,,,,
2019-04-03,,,,35.61,,,,,,,,,,
2019-04-10,,,,36.34,,,,,,,,,,
2019-04-17,,,,36.69,,,,,,,,,,
2019-04-24,,,,37.17,,,,,,,,,,
2019-05-01,,,,37.57,,,,,,,,,,
2019-05-08,,,,37.93,,,,,,,,,,
2019-05-15,,,,38.16,32.94,,,,,,,,,
2019-05-22,,,,38.36,,,,,,,,,,
2019-05-29,,,,38.54,,,,,,,,,,
2019-06-05,,,,38.98,33.44,,,,,,,,,
2019-06-12,,,,39.16,33.76,,,,,,,,,
2019-06-19,,,,39.92,,,,,,,,,,
2019-06-26,,,,41.02,34.58,,,,,,,,,
2019-07-03,,,,41.48,34.92,,,,,,,,,
2019-07-10,,,,42.06,,,,,,,,,,
2019-07-15,,,,,35.33,,,,,,,,,
2019-07-17,,,,42.78,36.18,,,,,,,,,
2019-07-24,,,,43.2,36.34,,,,,,,,,
2019-07-31,,,,43.52,36.37,,,,,,,,,
2019-08-07,,,,44.19,37.01,,,,,,,,,
2019-08-14,,,,46.06,38.55,,,,,,,,,
2019-08-21,,,,47.95,40.2,,,,,,,,,
2019-08-28,,,,50.07,41.68,,,,,,,,,
2019-09-04,,,,52.93,,,,,,,,,,
2019-09-11,,,,55.21,44.2,,,,,,,,,
2019-09-18,,,,56.81,46.31,,,,,,,,,
2019-09-25,,,,58.54,47.49,,,,,,,,,
2019-10-02,,,,59.9,,,,,,,,,,
2019-10-09,,,,62.9,49.62,,,,,,,,,
2019-10-16,,,,67.57,,,,,,,,,,
2019-10-23,,,,73.5,57.31,,,,,,,,,
2019-10-30,,,,77.55,60.52,,,,,,,,,
2019-11-06,,,,79.37,61.49,,,,,,,,,
2019-11-13,,,,78.93,,,,,,,,,,
2019-11-20,,,,76.8,62.35,,,,,,,,,
2019-11-27,,,,75.88,63.0,,,,,,,,,
2019-12-04,,,,75.68,63.3,,,,,,,,,
2019-12-11,,,,75.54,62.86,,,,,,,,,
2019-12-18,,,,75.26,,,,,,,,,,
2019-12-20,,,,,62.68,,,,,,,,,
2019-12-25,,,,75.15,62.88,,,,,,,,,
2020-01-01,,,,75.53,,,,,,,,,,
2020-01-08,,,,76.61,63.9,17.8,,,,,,,,
2020-01-15,,,,77.65,64.08,18.06,,,,,,,,
