date,open,high,low,close,volume,event_flag,no_price_limit_flag
2018-01-02,11.069845,11.11788395,10.7899659,11.05522445,4814233,0,0
2018-01-03,10.90901895,11.14294775,10.90901895,10.9988309,5323613,0,0
2018-01-04,10.9988309,10.9988309,10.819207,10.98838765,5324397,0,0
2018-01-05,10.986299,11.41447225,10.9069303,11.24320295,6938804,0,0
2018-01-08,11.4666885,12.36689665,11.4082063,12.36689665,14331185,0,0
2018-01-09,12.5319,12.5319,12.14549975,12.45044265,10023863,0,0
2018-01-10,12.35018745,12.56740705,12.18309545,12.39196045,6223374,0,0
2018-01-11,12.364808,12.364808,12.11417,12.2561982,4156685,0,0
2018-01-12,12.17891815,12.50057025,12.1768295,12.3146804,5356111,0,0
2018-01-15,12.323035,12.44208805,11.84891145,11.91574825,6296516,0,0
2018-01-16,11.94081205,13.1041901,11.94081205,12.8869705,9223700,0,0
2018-01-17,12.7491196,13.0624171,12.53398865,12.8034245,6789993,0,0
2018-01-18,12.81804505,12.94754135,12.4943043,12.60500275,5225604,0,0
2018-01-19,12.5402546,12.78880395,12.1935387,12.52145675,4428361,0,0
2018-01-22,12.4692405,12.9872257,12.46297455,12.86817265,3739069,0,0
2018-01-23,12.824311,13.1334312,12.8201337,12.9955803,4240709,0,0
2018-01-24,13.06450575,13.1125447,12.740765,12.88488185,2958898,0,0
2018-01-25,12.8451975,13.074949,12.78044935,12.8034245,3045981,0,0
2018-01-26,12.82222235,12.82639965,12.54652055,12.7992472,4367389,0,0
2018-01-29,12.81386775,12.91412295,12.5068362,12.5945595,2967859,0,0
2018-01-30,12.49221565,12.6739282,12.3815172,12.42955615,2839358,0,0
2018-01-31,12.3606307,12.50057025,11.96169855,12.45879725,5845535,0,0
2018-02-01,12.42120155,12.42120155,11.21396185,11.3413695,11374829,0,0
2018-02-02,11.22231645,11.5920075,10.71686315,11.5627664,6986906,0,0
2018-02-05,11.55232315,11.80713845,10.86306865,11.1659229,9202533,0,0
2018-02-06,10.7314837,11.028072,10.49964355,10.5017322,6719749,0,0
2018-02-07,10.70433125,10.85471405,9.7289317,10.0840022,6427133,0,0
2018-02-08,10.0464065,10.693888,9.94823995,10.4808457,4530487,0,0
2018-02-09,10.0881795,10.4181862,9.6453857,10.192612,3689720,0,0
2018-02-12,10.44325,10.76699075,10.150839,10.652115,5832612,0,0
2018-02-13,10.65420365,10.8818665,10.45369325,10.5936328,4085628,0,0
2018-02-14,10.485023,10.85889135,10.44533865,10.7147745,2375911,0,0
2018-02-22,10.86098,11.1909867,10.7523702,10.9278168,3269986,0,0
2018-02-23,10.9152849,11.1909867,10.7899659,11.0489585,4183672,0,0
2018-02-26,11.00509685,11.00509685,10.2552715,10.53306195,12009667,0,0
2018-02-27,10.44325,10.44325,9.94823995,10.07773625,9006216,0,0
2018-02-28,10.07773625,10.44325,9.900201,10.1759028,3749105,0,0
2018-03-01,10.0840022,10.22811905,9.94406265,10.1800801,3168267,0,0
2018-03-02,10.0881795,10.2218531,10.067293,10.15710495,2668621,0,0
2018-03-05,10.1299525,10.1299525,9.774882,9.81456635,4843968,0,0
2018-03-06,9.733109,9.91064425,8.8349895,9.63494245,9809247,0,0
2018-03-07,9.6244992,9.99836755,9.60779,9.9795697,8612818,0,0
2018-03-08,9.9795697,10.11533195,9.8333642,9.9753924,4532611,0,0
2018-03-09,10.01089945,10.3972997,9.93570805,10.36596995,6700088,0,0
2018-03-12,10.43280675,10.5226187,10.2552715,10.41192025,5423136,0,0
2018-03-13,10.3513494,10.70433125,10.25736015,10.5184414,5802099,0,0
2018-03-14,10.49546625,10.49546625,10.2051439,10.2385623,3708530,0,0
2018-03-15,10.16545955,10.3972997,10.1299525,10.22394175,3613408,0,0
2018-03-16,10.14875035,10.58318955,10.14875035,10.3847678,4126705,0,0
2018-03-19,10.52470735,10.52470735,9.86887125,9.88975775,5916129,0,0
2018-03-20,9.68089275,10.2302077,9.68089275,9.9712151,3256553,0,0
2018-03-21,9.9586832,10.1884347,9.9127329,10.0046335,3044698,0,0
2018-03-22,10.02552,10.12368655,9.75190685,9.7539955,3194480,0,0
2018-03-23,9.7038679,10.2928672,9.56810565,9.81456635,9423983,0,0
2018-03-26,9.8375415,9.8960237,8.86214195,9.81038905,7205226,0,0
2018-03-27,9.85633935,9.93153075,9.6286765,9.7999458,4936283,0,0
2018-03-28,9.78532525,9.79367985,9.32582225,9.47202775,5327797,0,0
2018-03-29,9.4657618,9.8876691,9.2151238,9.4991802,3867471,0,0
2018-03-30,9.4950029,9.59734675,9.40936825,9.4574072,2806834,0,0
2018-04-02,9.6662722,9.9377967,9.5534851,9.8626053,6489656,0,0
2018-04-03,9.9670378,10.62913985,9.9586832,10.28660125,10041213,0,0
2018-04-04,10.45369325,10.4808457,10.13204115,10.38267915,6151314,0,0
