date,close,peTTM,pbMRQ,psTTM,pcfNcfTTM,pubDate,statDate,profit_roeAvg,profit_npMargin,profit_gpMargin,profit_netProfit,profit_epsTTM,profit_MBRevenue,profit_totalShare,profit_liqaShare,used_pubDate,effective_date,operation_NRTurnRatio,operation_NRTurnDays,operation_INVTurnRatio,operation_INVTurnDays,operation_CATurnRatio,operation_AssetTurnRatio,growth_YOYEquity,growth_YOYAsset,growth_YOYNI,growth_YOYEPSBasic,growth_YOYPNI,solvency_currentRatio,solvency_quickRatio,solvency_cashRatio,solvency_YOYLiability,solvency_liabilityToAsset,solvency_assetToEquity,cashflow_CAToAsset,cashflow_NCAToAsset,cashflow_tangibleAssetToAsset,cashflow_ebitToInterest,cashflow_CFOToOR,cashflow_CFOToNP,cashflow_CFOToGr,dupont_dupontROE,dupont_dupontAssetStoEquity,dupont_dupontAssetTurn,dupont_dupontPnitoni,dupont_dupontNitogr,dupont_dupontTaxBurden,dupont_dupontIntburden,dupont_dupontEbittogr,fund_days_since_effective,ak_fund_收盘价,ak_fund_涨跌幅,ak_fund_主力净流入-净额,ak_fund_主力净流入-净占比,ak_fund_超大单净流入-净额,ak_fund_超大单净流入-净占比,ak_fund_大单净流入-净额,ak_fund_大单净流入-净占比,ak_fund_中单净流入-净额,ak_fund_中单净流入-净占比,ak_fund_小单净流入-净额,ak_fund_小单净流入-净占比,peTTM_rank252,pbMRQ_rank252,psTTM_rank252,pcfNcfTTM_rank252,profit_roeAvg_chg4q,profit_npMargin_chg4q,profit_gpMargin_chg4q,profit_netProfit_chg4q,profit_epsTTM_chg4q,profit_MBRevenue_chg4q,profit_totalShare_chg4q,profit_liqaShare_chg4q,growth_YOYEquity_chg4q,growth_YOYAsset_chg4q,growth_YOYNI_chg4q,growth_YOYEPSBasic_chg4q,growth_YOYPNI_chg4q,solvency_currentRatio_chg4q,solvency_quickRatio_chg4q,solvency_cashRatio_chg4q,solvency_YOYLiability_chg4q,solvency_liabilityToAsset_chg4q,solvency_assetToEquity_chg4q,cashflow_CAToAsset_chg4q,cashflow_NCAToAsset_chg4q,cashflow_tangibleAssetToAsset_chg4q,cashflow_ebitToInterest_chg4q,cashflow_CFOToOR_chg4q,cashflow_CFOToNP_chg4q,cashflow_CFOToGr_chg4q,dupont_dupontROE_chg4q,dupont_dupontAssetStoEquity_chg4q,dupont_dupontAssetTurn_chg4q,dupont_dupontPnitoni_chg4q,dupont_dupontNitogr_chg4q,dupont_dupontTaxBurden_chg4q,dupont_dupontIntburden_chg4q,dupont_dupontEbittogr_chg4q,ak_fund_收盘价_sum5,ak_fund_收盘价_sum10,ak_fund_涨跌幅_sum5,ak_fund_涨跌幅_sum10,ak_fund_主力净流入-净额_sum5,ak_fund_主力净流入-净额_sum10,ak_fund_主力净流入-净占比_sum5,ak_fund_主力净流入-净占比_sum10,ak_fund_超大单净流入-净额_sum5,ak_fund_超大单净流入-净额_sum10,ak_fund_超大单净流入-净占比_sum5,ak_fund_超大单净流入-净占比_sum10,ak_fund_大单净流入-净额_sum5,ak_fund_大单净流入-净额_sum10,ak_fund_大单净流入-净占比_sum5,ak_fund_大单净流入-净占比_sum10,ak_fund_中单净流入-净额_sum5,ak_fund_中单净流入-净额_sum10,ak_fund_中单净流入-净占比_sum5,ak_fund_中单净流入-净占比_sum10,ak_fund_小单净流入-净额_sum5,ak_fund_小单净流入-净额_sum10,ak_fund_小单净流入-净占比_sum5,ak_fund_小单净流入-净占比_sum10
2020-01-02,35.09461402,127.497939,12.337457,12.453278,115.434525,2019-10-12,2019-09-30,0.089947,0.123958,0.187441,1454430895.59,0.720169,,2161897822.0,1166990330.0,True,2019-10-13,59.317011,4.551814,1.57957,170.932591,1.076109,0.349854,0.509616,0.347033,3.153253,2.882353,2.960449,0.842703,0.404127,0.271792,0.12014,0.461902,1.858397,0.322994,0.677006,0.483826,4.009436,0.402771,3.249265,0.402771,0.089947,2.175042,0.349854,0.953578,0.123958,1.008878,0.750588,0.163694,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,34.7047588,126.081604,12.200404,12.314939,114.152199,2019-10-12,2019-09-30,0.089947,0.123958,0.187441,1454430895.59,0.720169,,2161897822.0,1166990330.0,True,2019-10-13,59.317011,4.551814,1.57957,170.932591,1.076109,0.349854,0.509616,0.347033,3.153253,2.882353,2.960449,0.842703,0.404127,0.271792,0.12014,0.461902,1.858397,0.322994,0.677006,0.483826,4.009436,0.402771,3.249265,0.402771,0.089947,2.175042,0.349854,0.953578,0.123958,1.008878,0.750588,0.163694,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,34.53276385,125.45675,12.139939,12.253906,113.586466,2019-10-12,2019-09-30,0.089947,0.123958,0.187441,1454430895.59,0.720169,,2161897822.0,1166990330.0,True,2019-10-13,59.317011,4.551814,1.57957,170.932591,1.076109,0.349854,0.509616,0.347033,3.153253,2.882353,2.960449,0.842703,0.404127,0.271792,0.12014,0.461902,1.858397,0.322994,0.677006,0.483826,4.009436,0.402771,3.249265,0.402771,0.089947,2.175042,0.349854,0.953578,0.123958,1.008878,0.750588,0.163694,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,35.8513918,130.247296,12.603501,12.72182,117.923747,2019-10-12,2019-09-30,0.089947,0.123958,0.187441,1454430895.59,0.720169,,2161897822.0,1166990330.0,True,2019-10-13,59.317011,4.551814,1.57957,170.932591,1.076109,0.349854,0.509616,0.347033,3.153253,2.882353,2.960449,0.842703,0.404127,0.271792,0.12014,0.461902,1.858397,0.322994,0.677006,0.483826,4.009436,0.402771,3.249265,0.402771,0.089947,2.175042,0.349854,0.953578,0.123958,1.008878,0.750588,0.163694,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,36.26417968,131.746945,12.748616,12.868297,119.281504,2019-10-12,2019-09-30,0.089947,0.123958,0.187441,1454430895.59,0.720169,,2161897822.0,1166990330.0,True,2019-10-13,59.317011,4.551814,1.57957,170.932591,1.076109,0.349854,0.509616,0.347033,3.153253,2.882353,2.960449,0.842703,0.404127,0.271792,0.12014,0.461902,1.858397,0.322994,0.677006,0.483826,4.009436,0.402771,3.249265,0.402771,0.089947,2.175042,0.349854,0.953578,0.123958,1.008878,0.750588,0.163694,87,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,35.74055061,129.844612,12.564535,12.682488,117.559164,2019-10-12,2019-09-30,0.089947,0.123958,0.187441,1454430895.59,0.720169,,2161897822.0,1166990330.0,True,2019-10-13,59.317011,4.551814,1.57957,170.932591,1.076109,0.349854,0.509616,0.347033,3.153253,2.882353,2.960449,0.842703,0.404127,0.271792,0.12014,0.461902,1.858397,0.322994,0.677006,0.483826,4.009436,0.402771,3.249265,0.402771,0.089947,2.175042,0.349854,0.953578,0.123958,1.008878,0.750588,0.163694,88,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,34.69711458,126.053833,12.197716,12.312226,114.127055,2019-10-12,2019-09-30,0.089947,0.123958,0.187441,1454430895.59,0.720169,,2161897822.0,1166990330.0,True,2019-10-13,59.317011,4.551814,1.57957,170.932591,1.076109,0.349854,0.509616,0.347033,3.153253,2.882353,2.960449,0.842703,0.404127,0.271792,0.12014,0.461902,1.858397,0.322994,0.677006,0.483826,4.009436,0.402771,3.249265,0.402771,0.089947,2.175042,0.349854,0.953578,0.123958,1.008878,0.750588,0.163694,89,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,34.92644118,126.886971,12.278336,12.393602,114.881365,2019-10-12,2019-09-30,0.089947,0.123958,0.187441,1454430895.59,0.720169,,2161897822.0,1166990330.0,True,2019-10-13,59.317011,4.551814,1.57957,170.932591,1.076109,0.349854,0.509616,0.347033,3.153253,2.882353,2.960449,0.842703,0.404127,0.271792,0.12014,0.461902,1.858397,0.322994,0.677006,0.483826,4.009436,0.402771,3.249265,0.402771,0.089947,2.175042,0.349854,0.953578,0.123958,1.008878,0.750588,0.163694,92,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,34.70858091,128.586635,12.442805,12.559616,116.420212,2019-10-12,2019-09-30,0.089947,0.123958,0.187441,1454430895.59,0.720169,,2161897822.0,1166990330.0,True,2019-10-13,59.317011,4.551814,1.57957,170.932591,1.076109,0.349854,0.509616,0.347033,3.153253,2.882353,2.960449,0.842703,0.404127,0.271792,0.12014,0.461902,1.858397,0.322994,0.677006,0.483826,4.009436,0.402771,3.249265,0.402771,0.089947,2.175042,0.349854,0.953578,0.123958,1.008878,0.750588,0.163694,93,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,34.27668248,126.986559,12.287972,12.403329,114.97153,2019-10-12,2019-09-30,0.089947,0.123958,0.187441,1454430895.59,0.720169,,2161897822.0,1166990330.0,True,2019-10-13,59.317011,4.551814,1.57957,170.932591,1.076109,0.349854,0.509616,0.347033,3.153253,2.882353,2.960449,0.842703,0.404127,0.271792,0.12014,0.461902,1.858397,0.322994,0.677006,0.483826,4.009436,0.402771,3.249265,0.402771,0.089947,2.175042,0.349854,0.953578,0.123958,1.008878,0.750588,0.163694,94,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
