date,hog_hk_cofco_joycome_open,hog_hk_cofco_joycome_high,hog_hk_cofco_joycome_low,hog_hk_cofco_joycome_close,hog_hk_cofco_joycome_volume,hog_hk_cofco_joycome_amount,hog_hk_cofco_joycome_amplitude,hog_hk_cofco_joycome_pct_chg,hog_hk_cofco_joycome_turnover,hog_hk_cofco_joycome_close_ret1,hog_hk_cofco_joycome_close_ret5,hog_hk_cofco_joycome_close_ret20,hog_hk_cofco_joycome_close_ma20_gap,hog_hk_cofco_joycome_close_z20,hog_hk_cofco_joycome_volume_ret1,hog_hk_cofco_joycome_volume_ret5,hog_hk_cofco_joycome_volume_ret20,hog_hk_cofco_joycome_volume_ma20_gap,hog_hk_cofco_joycome_volume_z20,hog_hk_cofco_joycome_amount_ret1,hog_hk_cofco_joycome_amount_ret5,hog_hk_cofco_joycome_amount_ret20,hog_hk_cofco_joycome_amount_ma20_gap,hog_hk_cofco_joycome_amount_z20
2020-01-02,2.22,2.31,2.22,2.28,21177000.0,48244050.0,,,,,,,,,,,,,,,,,,
2020-01-03,2.29,2.31,2.21,2.21,8082000.0,18108946.0,,,,-0.030701754385964897,,,,,-0.6183595410114747,,,,,-0.624638768925909,,,,
2020-01-06,2.19,2.25,2.18,2.22,6562000.0,14502450.0,,,,0.00452488687782826,,,,,-0.1880722593417471,,,,,-0.19915548922615378,,,,
2020-01-07,2.25,2.35,2.25,2.3,24835000.0,57436990.0,,,,0.03603603603603589,,,,,2.784669308137763,,,,,2.9605025357784376,,,,
2020-01-08,2.3,2.38,2.27,2.32,22446000.0,52436840.0,,,,0.008695652173912993,,,,,-0.09619488624924499,,,,,-0.08705452705651884,,,,
2020-01-09,2.35,2.37,2.3,2.33,10742000.0,25078740.0,,,,0.004310344827586299,0.021929824561403688,,,,-0.5214292078766818,-0.49275157009963644,,,,-0.5217343379196764,-0.4801692643963349,,,
2020-01-10,2.31,2.31,2.24,2.28,12183000.0,27564289.0,,,,-0.02145922746781126,0.03167420814479627,,,,0.13414634146341453,0.5074239049740163,,,,0.09910980376207101,0.5221365727193621,,,
2020-01-13,2.13,2.16,2.1,2.14,42547000.0,90796590.0,,,,-0.06140350877192968,-0.03603603603603611,,,,2.4923253714191906,5.483846388296251,,,,2.293993543602739,5.260775937858775,,,
2020-01-14,2.16,2.16,2.08,2.1,18825000.0,39796934.0,,,,-0.01869158878504673,-0.08695652173913038,,,,-0.5575481232519331,-0.2419971813972217,,,,-0.5616913146187539,-0.3071201328621155,,,
2020-01-15,2.11,2.11,1.99,2.02,29200777.0,59061287.0,,,,-0.03809523809523818,-0.1293103448275862,,,,0.5511700929614873,0.30093455404080904,,,,0.4840662599787209,0.12633192618014366,,,
2020-01-16,2.02,2.02,1.92,1.94,24292000.0,47357615.0,,,,-0.03960396039603964,-0.1673819742489271,,-0.12612612612612606,-2.7026556987687074,-0.168104328182774,1.2614038354123998,,0.2356066914562167,0.42023980275377926,-0.19816147927829608,0.8883570306961195,,0.09364086566809826,0.17435341999256765
2020-01-17,1.94,2.01,1.94,2.01,16154577.0,32044964.0,,,,0.036082474226803996,-0.11842105263157898,,-0.08409279204639619,-1.424338717294401,-0.33498365717108514,0.32599335139128294,,-0.19553208628495033,-0.3721951770326318,-0.3233408396938908,0.16255362146290087,,-0.2662243796420748,-0.5261472227807269
2020-01-20,2.01,2.01,1.98,1.99,11238000.0,22399975.0,,,,-0.00995024875621886,-0.0700934579439253,,-0.08680688336520082,-1.4060941863382277,-0.3043457590997276,-0.7358685688767715,,-0.43109861120243176,-0.8412997442608385,-0.30098298752964736,-0.7532949750645922,,-0.47544082120377507,-0.9516279575319204
2020-01-21,2.0,2.0,1.85,1.85,23318000.0,44131280.0,,,,-0.07035175879396982,-0.11904761904761907,,-0.14534470504619768,-2.2620980186451,1.0749243637657946,0.23867197875166002,,0.22091462919971194,0.42297820097983096,0.9701486273980215,0.108911555850006,,0.07269037635851427,0.14114194075823758
2020-01-22,1.85,1.93,1.82,1.9,9570210.0,18033958.0,,,,0.027027027027026973,-0.05940594059405946,,-0.11303767922640873,-1.5337228888444605,-0.58957843725877,-0.6722618031705115,,-0.5066944817422312,-1.018672554505912,-0.5913565616043768,-0.6946568739688994,,-0.5639163366717566,-1.1446942910740106
2020-01-23,1.9,1.93,1.8,1.86,13641000.0,25160440.0,,,,-0.021052631578947323,-0.04123711340206182,,-0.1251175917215427,-1.617199507976891,0.4253605720250653,-0.4384571052198255,,-0.27227963820822865,-0.5295033292250568,0.39517015621307316,-0.46871395445062003,,-0.3678227486657223,-0.712919391694317
2020-01-24,1.83,1.85,1.78,1.79,12318970.0,22314695.0,,,,-0.037634408602150615,-0.1094527363184078,,-0.15140740740740743,-1.8540472549962272,-0.09691591525547982,-0.23743159601145858,,-0.3314299473683646,-0.6497309277096033,-0.11310394412816305,-0.3036442481258521,,-0.4261318798468321,-0.8214088467000912
2020-01-29,1.78,1.79,1.7,1.73,7969000.0,13842734.0,,,,-0.033519553072625774,-0.1306532663316583,,-0.1724817107484523,-1.9608083069996867,-0.3531115020168082,-0.29088805837337606,,-0.5589102911513764,-1.0951428564103143,-0.37965838206616764,-0.3820201138617342,,-0.6348527281352626,-1.2069075928173019
2020-01-30,1.77,1.77,1.61,1.64,13197430.0,21798202.0,,,,-0.052023121387283267,-0.11351351351351358,,-0.20794204453984444,-2.178733649243108,0.6560961224745889,-0.43402393001115014,,-0.24610414622735532,-0.465436206090319,0.5747035231624043,-0.5060600553620924,,-0.40397991698101277,-0.7328583628837794
2020-01-31,1.65,1.68,1.55,1.66,20415000.0,32879340.0,,,,0.012195121951219523,-0.12631578947368416,,-0.18941146234901052,-1.796121473567872,0.546892084292169,1.133182030488359,,0.18149931170663103,0.34654539768380876,0.5083510098676947,0.8231904499278528,,-0.08146246820109038,-0.14665339838038352
2020-02-03,1.6,1.71,1.6,1.65,15995827.0,26559511.0,,,,-0.0060240963855421326,-0.11290322580645173,-0.2763157894736842,-0.18659107715060397,-1.6645097778889963,-0.2164669605682097,0.1726286196026685,-0.24466038626812103,-0.08258179187799886,-0.16295265411961107,-0.1922127694777328,0.05560598304322184,-0.44947592501044176,-0.2549825630942404,-0.46942552964808265
2020-02-04,1.66,1.68,1.64,1.67,11790000.0,19654980.0,,,,0.0121212121212122,-0.06703910614525144,-0.24434389140271495,-0.16374561842764146,-1.3959232069909318,-0.2629327636514198,-0.04293946653007519,0.4587973273942094,-0.3136026423748294,-0.6123593398001994,-0.2599645377507138,-0.11919118769044346,0.08537404661762205,-0.4313665365274394,-0.775431535012256
2020-02-05,1.68,1.94,1.67,1.94,69549000.0,127084870.0,,,,0.16167664670658688,0.12138728323699421,-0.12612612612612628,-0.015228426395939132,-0.12527502783523525,4.898982188295165,7.727443844898984,9.598750380981409,3.0058081770698415,6.045541901616519,5.465784752770036,8.180619233165935,7.762993149433372,2.668457451711312,4.824311895917515
2020-02-06,1.96,2.07,1.87,1.98,46256022.0,91241528.0,,,,0.020618556701030855,0.20731707317073167,-0.13913043478260867,0.012269938650306678,0.10337632758174739,-0.33491463572445324,2.5049264894756025,0.8625336017716931,1.2551383896855492,1.814630734839389,-0.28204255943292067,3.1857364199120646,0.5885499570921109,1.265648122426343,1.846155162320787
2020-02-07,1.93,2.05,1.91,2.05,26613000.0,53405870.0,,,,0.03535353535353525,0.2349397590361446,-0.11637931034482762,0.05670103092783485,0.5050785140655017,-0.42465869633147446,0.303600293901543,0.18564554931836397,0.2330857492709011,0.3288787982555925,-0.41467584804147517,0.624298723757837,0.01847994654140095,0.2727217040444361,0.3856753118871678
2020-02-10,2.06,2.17,2.0,2.11,34036200.0,72108517.0,,,,0.029268292682926855,0.2787878787878788,-0.09442060085836923,0.09525045419153888,0.9143443405932756,0.27893134934054786,1.1278174613916492,2.1685161050083783,0.5619534209053585,0.7984333388906382,0.35019833962071956,1.714979089788212,1.8752846833612855,0.7164448325367967,1.0137039496772917
2020-02-11,2.11,2.11,2.0,2.01,23094000.0,47078550.0,,,,-0.04739336492891,0.2035928143712573,-0.11842105263157898,0.04933437744714153,0.5174500923105279,-0.32148712253424294,0.9587786259541984,0.8955922186653533,0.006033383985463159,0.00902977602642721,-0.3471152651773437,1.395247921900709,0.7079544478727531,0.061238863508507935,0.09013904414103825
2020-02-12,2.03,2.09,2.01,2.04,12120944.0,24938056.0,,,,0.014925373134328401,0.05154639175257736,-0.04672897196261683,0.0725552050473186,0.8455302256706867,-0.47514748419502906,-0.8257208011617708,-0.7151163654311703,-0.4842382078777401,-0.752287331667347,-0.47028835849872186,-0.8037684895141334,-0.7253414913489593,-0.44994749610874785,-0.682692086541697
2020-02-13,2.06,2.08,1.97,1.98,10040000.0,20186930.0,,,,-0.02941176470588236,0.0,-0.05714285714285716,0.04375329467580391,0.5288380397023555,-0.17168167759870845,-0.7829471803692933,-0.4666666666666667,-0.5432158699673164,-0.8159472361137693,-0.1905170956388902,-0.7787528284269856,-0.4927516275500017,-0.519869408973509,-0.7754094596464525
2020-02-14,1.99,2.08,1.99,2.02,19600000.0,39895100.0,,,,0.02020202020202011,-0.014634146341463317,0.0,0.06821787414066627,0.8545403864193908,0.952191235059761,-0.26351782963213466,-0.32878498404340406,-0.09008602602933813,-0.13056139868808034,0.9762836647276232,-0.2529828649921816,-0.3245135345594484,-0.02846922851476652,-0.04086374903638644
2020-02-17,2.02,2.11,2.01,2.07,13750000.0,28473380.0,,,,0.024752475247524774,-0.018957345971563955,0.0670103092783505,0.09465891062929677,1.185757590457916,-0.298469387755102,-0.5960183569258612,-0.4339700312860201,-0.34711774325526334,-0.49539074084104334,-0.28629380550493666,-0.6051315269734364,-0.39875815114422464,-0.2900443222683261,-0.4111353229322962
2020-02-18,2.08,2.08,1.98,2.02,14274528.0,28775510.0,,,,-0.02415458937198056,0.004975124378109541,0.004975124378109541,0.06455862977602123,0.7857740471849327,0.038147490909090864,-0.3818945180566381,-0.11637872040846375,-0.3048128170359268,-0.42222137868239745,0.010610963643936877,-0.38877662969653903,-0.10202707670384648,-0.26521189968429315,-0.36630431465902435
2020-02-19,2.02,2.09,2.0,2.04,21032000.0,43218954.0,,,,0.00990099009900991,0.0,0.025125628140703515,0.07481559536354054,0.9085524484009171,0.47339372622338205,0.7351783821458131,0.8715073856558107,0.028995210712736474,0.039885214877351804,0.5019352915030872,0.7330522475368568,0.9294197426559627,0.10823027232561544,0.14858558949734857
2020-02-20,2.07,2.08,2.0,2.04,9561000.0,19516480.0,,,,0.0,0.030303030303030276,0.10270270270270276,0.07340173638516201,0.8816307204678887,-0.5454069988588817,-0.04770916334661357,-0.589973411098722,-0.5431709987901963,-0.77333409542163,-0.5484277569512672,-0.033212083263775116,-0.5577631104287027,-0.5125647147554397,-0.729138559419015
2020-02-21,2.06,2.06,1.95,1.96,19078000.0,37949760.0,,,,-0.03921568627450989,-0.02970297029702973,0.03157894736842115,0.026178010471204383,0.31109607213234053,0.9953979709235437,-0.02663265306122453,0.993477677083366,-0.057467253601045876,-0.07805260716603128,0.9444981881978718,-0.04876137671042313,1.1043500267661708,-0.02212460928461446,-0.03013328786834532
2020-02-24,1.96,1.96,1.85,1.89,23311200.0,43931070.0,,,,-0.0357142857142857,-0.08695652173913038,0.016129032258064502,-0.01202300052273908,-0.14278164060067666,0.22188908690638431,0.69536,0.7089069716296459,0.12524277365537562,0.1765669282900239,0.15761127343097825,0.5428821587040247,0.7460374301880253,0.10368008210476365,0.14699671923230362
2020-02-25,1.86,1.93,1.85,1.93,16250000.0,30832550.0,,,,0.021164021164021163,-0.044554455445544594,0.07821229050279332,0.00809610864455479,0.09645010000793489,-0.3029101890936545,0.13839140600655941,0.319103788709608,-0.2334944003735302,-0.3388509270115045,-0.29816073225623685,0.07148578774103398,0.3817150536899563,-0.24323747321632283,-0.35555312254036486
2020-02-26,1.91,2.0,1.9,1.94,17655000.0,34622740.0,,,,0.005181347150259086,-0.0490196078431373,0.12138728323699421,0.00962789487379645,0.11707145474728388,0.08646153846153837,-0.1605648535564853,1.215459907140168,-0.1748711237377354,-0.25788828953579,0.12292820412194261,-0.1988991681751483,1.5011489782293008,-0.15900116736071435,-0.23682369981490728
2020-02-27,1.95,1.99,1.92,1.99,14352500.0,28158745.0,,,,0.02577319587628879,-0.02450980392156865,0.21341463414634143,0.03002070393374745,0.3829141334827534,-0.18705749079580858,0.501150507269114,0.08752234336533693,-0.3440643551726099,-0.5303486034742201,-0.1866979620908108,0.44281883823312396,0.29179209367818504,-0.33285123052581234,-0.5214737766509481
2020-02-28,1.97,1.97,1.91,1.95,17742000.0,34345170.0,,,,-0.02010050251256279,-0.005102040816326481,0.17469879518072284,0.0002564760194920801,0.0036950703499954293,0.23616094757010964,-0.07002830485375822,-0.1309331373989714,-0.19129250758786032,-0.29636913814838756,0.21969817902040734,-0.09498320937998028,0.044582099275715326,-0.19236525312626196,-0.30611196440804317
2020-03-02,1.91,2.08,1.91,2.07,26349294.0,53244329.0,,,,0.06153846153846154,0.09523809523809512,0.2545454545454544,0.05397148676171071,0.9063506210958187,0.48513662495772736,0.13032765366004329,0.6472605011294508,0.2084026703516153,0.3202838235141863,0.5502712317336034,0.21199708998665412,1.0047179708993887,0.24989875475357048,0.39873643408547554
2020-03-03,2.1,2.1,2.01,2.06,10961000.0,22545580.0,,,,-0.004830917874396046,0.06735751295336789,0.2335329341317367,0.037783375314861534,0.8080043970679351,-0.5840116247516917,-0.3254769230769231,-0.07031382527565733,-0.5089759254583076,-0.8027299319863654,-0.5765637313224474,-0.2687734228923654,0.14706705374414009,-0.4868208239938938,-0.8064601239442246
2020-03-04,2.06,2.18,2.01,2.16,23869000.0,50365150.0,,,,0.04854368932038833,0.11340206185567014,0.11340206185567014,0.07757545522574238,2.7113435987953847,1.1776297783048992,0.35196828094024357,-0.6568031172267035,0.07125781312678736,0.11190937601343515,1.233925674123265,0.45468411801030184,-0.6036888576901405,0.14264509645764734,0.23826457536144052
2020-03-05,2.16,2.28,2.15,2.23,53680000.0,119268560.0,,,,0.03240740740740744,0.12060301507537696,0.1262626262626263,0.10642520466385497,3.3037060156424864,1.248942142527965,2.7401149625500785,0.16049754559525242,1.684364483009503,3.8056399183932594,1.3680771326998928,3.2355779705381043,0.3071740753837442,1.9638053211941404,4.415616851258101
2020-03-06,2.21,2.21,2.16,2.2,17167557.0,37537139.0,,,,-0.013452914798206206,0.12820512820512842,0.07317073170731736,0.08481262327416195,2.1489399292641695,-0.6801870901639344,-0.03237757862698676,-0.3549183857513245,-0.1571509401487935,-0.31754383960782323,-0.6852721370996682,0.09293792984573956,-0.2971345846439727,-0.09859775028654505,-0.1818050733100113
2020-03-09,2.17,2.17,2.07,2.08,17394152.0,36836916.0,,,,-0.054545454545454564,0.004830917874396157,-0.01421800947867291,0.021861950380742012,0.5013409321191609,0.013199024182648733,-0.33986269233627286,-0.4889514105569952,-0.12575555874114241,-0.25037632599125415,-0.018654138771737494,-0.3081532495225924,-0.48914611570780187,-0.09823097836653949,-0.17891989281601414
2020-03-10,2.07,2.13,1.95,2.01,18800420.0,38164978.0,,,,-0.033653846153846256,-0.024271844660194275,0.0,-0.01179941002949858,-0.273711258868,0.0808471720840429,0.7152102910318401,-0.1859175543431194,-0.013831685155488826,-0.02796014925884328,0.036052475185490485,0.6927920239798666,-0.18933403853772046,-0.023564822743608493,-0.04346091250039605
2020-03-11,2.05,2.07,1.97,2.01,7422800.0,14934830.0,,,,0.0,-0.06944444444444464,-0.014705882352941346,-0.01179941002949858,-0.273711258868,-0.6051790332343638,-0.689019229963551,-0.3876054538326388,-0.6062055935670945,-1.2177931882461315,-0.6086770965779149,-0.7034689661402775,-0.4011229263419731,-0.6134913859363794,-1.122986137116657
2020-03-12,1.99,1.99,1.86,1.86,16727000.0,31907740.0,,,,-0.07462686567164167,-0.1659192825112107,-0.06060606060606055,-0.08487084870848716,-1.9639749693843762,1.253462305329525,-0.6883941877794337,0.6660358565737052,-0.10140053525036563,-0.19628389072947616,1.1364648944782099,-0.7324714912295411,0.5806137931820241,-0.16340906980006653,-0.2890117187451927
