date,open,high,low,close,volume
2026-01-05,2.286,2.337,2.286,2.328,241678258
2026-01-06,2.315,2.332,2.277,2.33,162137080
2026-01-07,2.341,2.38,2.327,2.351,135971258
2026-01-08,2.337,2.351,2.304,2.325,93588699
2026-01-09,2.305,2.337,2.269,2.332,152577379
2026-01-12,2.331,2.382,2.294,2.381,153932740
2026-01-13,2.365,2.383,2.294,2.301,188127378
2026-01-14,2.302,2.355,2.3,2.333,143365061
2026-01-15,2.302,2.372,2.296,2.372,130246878
2026-01-16,2.392,2.417,2.367,2.406,173447925
2026-01-19,2.369,2.4,2.363,2.367,110054082
2026-01-20,2.353,2.375,2.28,2.305,122165037
2026-01-21,2.272,2.352,2.272,2.338,116185312
2026-01-22,2.349,2.385,2.331,2.384,170584005
2026-01-23,2.383,2.385,2.344,2.358,93404962
2026-01-26,2.351,2.36,2.319,2.332,85409500
2026-01-27,2.323,2.396,2.308,2.381,129803345
2026-01-28,2.401,2.429,2.372,2.387,114370432
2026-01-29,2.382,2.403,2.336,2.34,127464772
2026-01-30,2.321,2.401,2.292,2.385,137334300
2026-02-02,2.38,2.431,2.317,2.328,168653883
2026-02-03,2.36,2.397,2.305,2.375,99743851
2026-02-04,2.347,2.347,2.264,2.307,113094683
2026-02-05,2.267,2.296,2.244,2.263,206352838
2026-02-06,2.239,2.295,2.208,2.249,95580757
2026-02-09,2.302,2.36,2.289,2.348,133335822
2026-02-10,2.351,2.379,2.343,2.348,123275900
2026-02-11,2.342,2.366,2.3,2.303,109594766
2026-02-12,2.306,2.349,2.306,2.345,85737110
2026-02-13,2.326,2.352,2.316,2.322,79249627
2026-02-24,2.352,2.422,2.345,2.385,137212361
2026-02-25,2.389,2.403,2.357,2.402,91425595
2026-02-26,2.408,2.478,2.398,2.463,144609281
2026-02-27,2.406,2.426,2.391,2.424,97881638
2026-03-02,2.376,2.46,2.375,2.444,106307378
2026-03-03,2.459,2.484,2.355,2.366,151933827
2026-03-04,2.32,2.387,2.318,2.348,115641517
2026-03-05,2.391,2.455,2.363,2.396,136113186
2026-03-06,2.375,2.414,2.339,2.384,97809957
2026-03-09,2.32,2.335,2.232,2.329,163252205
2026-03-10,2.369,2.442,2.366,2.441,218594262
2026-03-11,2.449,2.496,2.442,2.451,131228962
2026-03-12,2.446,2.491,2.388,2.424,111901087
2026-03-13,2.396,2.434,2.39,2.403,98338178
2026-03-16,2.39,2.442,2.359,2.439,145044338
2026-03-17,2.45,2.46,2.334,2.339,210769486
2026-03-18,2.355,2.438,2.355,2.435,151960411
2026-03-19,2.387,2.451,2.382,2.41,173043894
2026-03-20,2.455,2.513,2.426,2.442,272000849
2026-03-23,2.35,2.402,2.298,2.314,242859963
2026-03-24,2.342,2.345,2.257,2.342,170110048
2026-03-25,2.393,2.46,2.393,2.433,220574925
2026-03-26,2.408,2.431,2.356,2.366,154053439
2026-03-27,2.304,2.379,2.286,2.352,201501854
2026-03-30,2.295,2.366,2.295,2.353,146541628
2026-03-31,2.323,2.367,2.291,2.308,148091273
2026-04-01,2.375,2.396,2.338,2.387,182258898
2026-04-02,2.386,2.4,2.31,2.321,151685970
2026-04-03,2.36,2.411,2.36,2.365,152471287
2026-04-07,2.365,2.401,2.341,2.373,162462325
2026-04-08,2.452,2.556,2.438,2.554,252190180
2026-04-09,2.512,2.593,2.51,2.581,304242760
2026-04-10,2.599,2.685,2.583,2.664,240550981
2026-04-13,2.637,2.688,2.634,2.676,167436135
2026-04-14,2.709,2.766,2.687,2.74,179430427
2026-04-15,2.741,2.775,2.663,2.687,245211571
2026-04-16,2.679,2.771,2.669,2.768,168472500
2026-04-17,2.797,2.889,2.79,2.887,226023893
2026-04-20,2.888,2.95,2.888,2.93,188683301
2026-04-21,2.878,2.95,2.864,2.938,175409655
2026-04-22,2.926,3.101,2.925,3.096,236254676
2026-04-23,3.112,3.194,3.026,3.069,366817626
2026-04-24,3.0,3.058,2.905,2.96,320606849
2026-04-27,2.974,3.047,2.974,3.017,204400630
2026-04-28,3.003,3.01,2.94,2.961,161487006
2026-04-29,2.922,3.004,2.905,2.972,210230912
2026-04-30,2.999,3.012,2.926,2.967,168241200
2026-05-06,3.015,3.09,3.008,3.036,247021392
2026-05-07,3.053,3.165,3.009,3.164,231350374
2026-05-08,3.113,3.181,3.1,3.174,180053785
2026-05-11,3.218,3.309,3.177,3.299,223328410
