date,open,high,low,close,volume
2018-01-02,5.76760548,5.87336211,5.73923175,5.83725009,813846
2018-01-03,5.83982952,6.01781019,5.81403522,5.97653931,1503937
2018-01-04,5.94816558,5.99975418,5.90431527,5.94558615,922505
2018-01-05,5.94558615,6.06681936,5.94042729,5.96622159,956893
2018-01-08,5.93526843,5.9584833,5.83467066,5.90431527,631554
2018-01-09,5.8811004,5.9584833,5.87078268,5.932689,571066
2018-01-10,5.932689,5.932689,5.7521289,5.85014724,812657
2018-01-11,5.80629693,5.96880102,5.79082035,5.91463299,998758
2018-01-12,5.91979185,5.932689,5.8553061,5.85788553,537250
2018-01-15,5.80887636,5.86562382,5.60252196,5.61541911,965750
2018-01-16,5.61541911,5.69796087,5.53287735,5.59478367,737571
2018-01-17,5.61026025,5.71343745,5.53029792,5.65668999,849573
2018-01-18,5.63089569,5.67216657,5.5457745,5.55351279,800548
2018-01-19,5.55867165,5.61541911,5.50450362,5.50708305,737823
2018-01-22,5.50708305,5.55093336,5.31104637,5.54319507,1109672
2018-01-23,5.46581217,5.46581217,5.31878466,5.33684067,1582073
2018-01-24,5.33426124,5.37811155,5.15370114,5.34715839,1777502
2018-01-25,5.3394201,5.50192419,5.29041093,5.36779383,1868315
2018-01-26,5.31620523,5.39616756,5.25687834,5.2620372,1249700
2018-01-29,5.27235492,5.27235492,5.0556828,5.06600052,1599467
2018-01-30,5.0814771,5.10211254,4.9782999,5.00667363,952300
2018-01-31,4.99635591,5.00667363,4.5913854,4.66360944,1667897
2018-02-01,4.68166545,4.70230089,4.40824587,4.41598416,1476113
2018-02-02,4.4108253,4.49594649,4.3076481,4.42888131,1186600
2018-02-05,4.3334424,4.45725504,4.3076481,4.36181613,701243
2018-02-06,4.20962976,4.31022753,4.05486396,4.07034054,1402350
2018-02-07,4.19415318,4.19415318,3.90009816,4.09097598,1324486
2018-02-08,4.0754994,4.2302652,4.0239108,4.18899432,1255983
2018-02-09,4.0754994,4.16062059,4.00069593,4.08839655,1073757
2018-02-12,4.13998515,4.25863893,4.127088,4.20962976,1003550
2018-02-13,4.22768577,4.22768577,4.1012937,4.12450857,1317843
2018-02-14,4.08581712,4.13998515,4.08581712,4.08839655,752450
2018-02-22,4.13224686,4.20189147,4.08839655,4.17093831,1091182
2018-02-23,4.19931204,4.2560595,4.15030287,4.22768577,1231354
2018-02-26,4.2560595,4.65071229,4.2560595,4.65071229,2952460
2018-02-27,4.6945626,4.90865529,4.6687683,4.73583348,5181196
2018-02-28,4.64813286,4.71261861,4.5397968,4.70745975,2799652
2018-03-01,4.64039457,4.8235341,4.60686198,4.79516037,2972158
2018-03-02,4.74099234,4.94218788,4.70745975,4.7719455,3250337
2018-03-05,4.74873063,4.9782999,4.70745975,4.90865529,3359587
2018-03-06,4.98345876,5.04536508,4.78742208,4.82869296,4522763
2018-03-07,4.81579581,4.81579581,4.71519804,4.72551576,2617021
2018-03-08,4.70488032,4.94992617,4.70488032,4.94734674,3777022
2018-03-09,4.98087933,5.14080399,4.90607586,5.12016855,4906186
2018-03-12,5.14338342,5.24140176,5.07115938,5.13048627,4784984
2018-03-13,5.15112171,5.15112171,5.02215021,5.03504736,3021137
2018-03-14,5.0040942,5.04278565,4.91123472,4.93187016,2599140
2018-03-15,4.86222555,4.900917,4.72293633,4.86480498,2386852
2018-03-16,4.8751227,4.93187016,4.80805752,4.81321638,1582522
2018-03-19,4.7977398,4.97314104,4.77710436,4.86996384,1698986
2018-03-20,4.66360944,4.74099234,4.58364711,4.71519804,4015713
2018-03-21,4.74357177,4.86222555,4.69714203,4.70230089,2551358
2018-03-22,4.69972146,4.80547809,4.68682431,4.7977398,1660822
2018-03-23,4.6171797,4.69972146,4.35407784,4.39792815,2766408
2018-03-26,4.33860126,4.5140025,4.18641489,4.50110535,1759080
2018-03-27,4.53463794,4.72293633,4.53463794,4.71261861,2580929
2018-03-28,4.62491799,4.89317871,4.62491799,4.84674897,3063220
