date,precious_sector_open,precious_sector_high,precious_sector_low,precious_sector_close,precious_sector_volume,precious_sector_amount,precious_sector_close_ret1,precious_sector_close_ret5,precious_sector_close_ret20,precious_sector_close_ma20_gap,precious_sector_close_z20,precious_sector_volume_ret1,precious_sector_volume_ret5,precious_sector_volume_ret20,precious_sector_volume_ma20_gap,precious_sector_volume_z20,precious_sector_amount_ret1,precious_sector_amount_ret5,precious_sector_amount_ret20,precious_sector_amount_ma20_gap,precious_sector_amount_z20,industrial_metal_sector_open,industrial_metal_sector_high,industrial_metal_sector_low,industrial_metal_sector_close,industrial_metal_sector_volume,industrial_metal_sector_amount,industrial_metal_sector_close_ret1,industrial_metal_sector_close_ret5,industrial_metal_sector_close_ret20,industrial_metal_sector_close_ma20_gap,industrial_metal_sector_close_z20,industrial_metal_sector_volume_ret1,industrial_metal_sector_volume_ret5,industrial_metal_sector_volume_ret20,industrial_metal_sector_volume_ma20_gap,industrial_metal_sector_volume_z20,industrial_metal_sector_amount_ret1,industrial_metal_sector_amount_ret5,industrial_metal_sector_amount_ret20,industrial_metal_sector_amount_ma20_gap,industrial_metal_sector_amount_z20,minor_metal_sector_open,minor_metal_sector_high,minor_metal_sector_low,minor_metal_sector_close,minor_metal_sector_volume,minor_metal_sector_amount,minor_metal_sector_close_ret1,minor_metal_sector_close_ret5,minor_metal_sector_close_ret20,minor_metal_sector_close_ma20_gap,minor_metal_sector_close_z20,minor_metal_sector_volume_ret1,minor_metal_sector_volume_ret5,minor_metal_sector_volume_ret20,minor_metal_sector_volume_ma20_gap,minor_metal_sector_volume_z20,minor_metal_sector_amount_ret1,minor_metal_sector_amount_ret5,minor_metal_sector_amount_ret20,minor_metal_sector_amount_ma20_gap,minor_metal_sector_amount_z20
2020-01-02,1677.566,1702.427,1671.554,1701.875,418612440,4172674700.0,,,,,,,,,,,,,,,,1314.257,1327.531,1310.236,1323.149,1627749000,9337255600.0,,,,,,,,,,,,,,,,2634.545,2676.899,2623.094,2667.054,1038984290,13513048000.0,,,,,,,,,,,,,,,
2020-01-03,1707.081,1777.547,1699.238,1762.454,728369910,8245623700.0,0.03559544619904509,,,,,0.7399624100994227,,,,,0.9761002936557694,,,,,1323.661,1331.016,1315.445,1325.629,1286901670,7720407800.0,0.0018743164979908578,,,,,-0.2093979661483435,,,,,-0.17316092321602505,,,,,2671.341,2720.589,2652.337,2701.268,1177773050,15608361000.0,0.012828386676835057,,,,,0.13358119206980512,,,,,0.15505850345532712,,,,
2020-01-06,1829.585,1901.698,1812.057,1894.774,1124268560,12737161100.0,0.07507713676498784,,,,,0.5435406440664194,,,,,0.5447177270532004,,,,,1327.917,1353.922,1320.672,1346.216,2011779400,11510410900.0,0.015529986142427399,,,,,0.563273594943738,,,,,0.49090711244553686,,,,,2703.063,2800.895,2686.921,2781.164,1421501800,21086880000.0,0.029577220771874524,,,,,0.20694033540672363,,,,,0.35099899342410135,,,,
2020-01-07,1840.144,1867.333,1824.529,1851.07,753345750,7985613100.0,-0.023065547658981944,,,,,-0.32992367055074456,,,,,-0.3730460785331513,,,,,1347.217,1360.477,1341.757,1356.343,1616400700,9007809000.0,0.007522566958051424,,,,,-0.19653183644290229,,,,,-0.2174207264833613,,,,,2774.165,2800.761,2753.894,2781.359,970568710,14196007000.0,7.011452758609593e-05,,,,,-0.3172230172343081,,,,,-0.32678485389967604,,,,
2020-01-08,1928.412,1967.584,1877.045,1960.236,1299559740,15099364000.0,0.058974539050387076,,,,,0.7250508680775063,,,,,0.8908208813672678,,,,,1358.896,1361.856,1333.376,1336.604,1833439000,9920789400.0,-0.0145531034553944,,,,,0.13427258476193438,,,,,0.10135432489743068,,,,,2782.357,2803.068,2744.356,2755.043,1157085340,17058276000.0,-0.009461561776095695,,,,,0.19217251501957033,,,,,0.20162493580060925,,,,
2020-01-09,1829.564,1867.106,1821.966,1836.938,1004504650,10832941800.0,-0.06289956923554108,0.07936129269188408,,,,-0.2270423443557893,1.39960534856537,,,,-0.28255641760805295,1.5961625525229657,,,,1345.146,1355.192,1342.347,1347.573,1523603900,8155070000.0,0.008206619163192652,0.018458994414083607,,,,-0.168991223596749,-0.06398105604733895,,,,-0.17798174407371248,-0.12660953610394898,,,,2769.58,2785.138,2738.526,2754.297,897671690,12063076000.0,-0.0002707761730035285,0.03271137367297405,,,,-0.22419577971664562,-0.13601033370774063,,,,-0.29283146784587144,-0.10730162432635482,,,
2020-01-10,1816.297,1819.991,1789.388,1799.592,564005370,5937761900.0,-0.020330571853813262,0.021071755631636435,,,,-0.4385238833886931,-0.2256608046864539,,,,-0.45187909160556927,-0.2798892944872078,,,,1348.752,1352.481,1327.869,1334.19,1254744100,7008473700.0,-0.00993118740135046,0.006458066321723521,,,,-0.17646305578503707,-0.024988366049754185,,,,-0.14059919779965102,-0.09221457187792592,,,,2746.738,2757.994,2703.655,2721.706,842673580,10634353800.0,-0.011832783465254404,0.007566076375983499,,,,-0.061267510842410555,-0.2845195600289886,,,,-0.11843763564119136,-0.31867581740324946,,,
2020-01-13,1788.11,1793.358,1765.002,1781.526,358272270,3766064000.0,-0.010038942160223052,-0.05976860564901132,,,,-0.36477152690939807,-0.6813285697502739,,,,-0.3657435135619028,-0.7043246944564436,,,,1332.751,1346.92,1322.712,1346.763,1109077110,6127764900.0,0.009423695275785127,0.00040632409657881396,,,,-0.11609298660977962,-0.4487083872118385,,,,-0.1256634236923797,-0.46763282794708916,,,,2730.322,2764.143,2720.48,2762.664,662835610,10283083500.0,0.015048649633722322,-0.006651891078699457,,,,-0.21341356163082748,-0.5337075127164805,,,,-0.03303165444805867,-0.5123468478978398,,,
2020-01-14,1757.282,1788.51,1751.376,1781.784,399583580,4486554400.0,0.0001448196658371259,-0.037430243048615086,,,,0.11530702613406274,-0.46958806099324246,,,,0.19131124696765633,-0.4381703265839413,,,,1350.248,1371.638,1347.131,1361.543,1638495500,9480300500.0,0.010974462470382695,0.003833838490706176,,,,0.47735038909963623,0.013669135382086806,,,,0.5471057807717135,0.052453543364429756,,,,2783.245,2862.328,2777.51,2807.495,1359692000,18586034000.0,0.016227452922251695,0.009396845211279814,,,,1.0513261199107875,0.40092297020372736,,,,0.8074378176545975,0.3092437894684048,,,
2020-01-15,1777.435,1780.343,1752.134,1753.849,357103310,3691910100.0,-0.015678106886132248,-0.10528681240422078,,,,-0.10631135043136652,-0.7252120860561593,,,,-0.1771168315712387,-0.7554923439159424,,,,1358.924,1363.957,1335.97,1343.103,1099253680,6192001000.0,-0.013543457679999649,0.004862322722362089,,,,-0.32910790417184543,-0.4004416400000218,,,,-0.3468560411138867,-0.3758560180704975,,,,2800.642,2807.51,2740.673,2766.152,982339620,14405035000.0,-0.014725938959819995,0.004032241965007399,,,,-0.27752783718665697,-0.15102232649494984,,,,-0.2249538013327642,-0.15553980953292112,,,
