date,ak_fund_收盘价,ak_fund_涨跌幅,ak_fund_主力净流入-净额,ak_fund_主力净流入-净占比,ak_fund_超大单净流入-净额,ak_fund_超大单净流入-净占比,ak_fund_大单净流入-净额,ak_fund_大单净流入-净占比,ak_fund_中单净流入-净额,ak_fund_中单净流入-净占比,ak_fund_小单净流入-净额,ak_fund_小单净流入-净占比
2025-11-07,9.07,-0.87,-98161258.0,-10.45,-75611999.0,-8.05,-22549259.0,-2.4,51379312.0,5.47,46781957.0,4.98
2025-11-10,9.08,0.11,-353646.0,-0.04,48590621.0,5.63,-48944267.0,-5.67,-8839866.0,-1.02,9193511.0,1.07
2025-11-11,9.04,-0.44,-100510609.0,-11.94,-81100348.0,-9.63,-19410261.0,-2.31,53971853.0,6.41,46538759.0,5.53
2025-11-12,8.96,-0.88,-63200373.0,-6.34,-35597040.0,-3.57,-27603333.0,-2.77,47839584.0,4.8,15360790.0,1.54
2025-11-13,8.98,0.22,-88578980.0,-11.01,-42141606.0,-5.24,-46437374.0,-5.77,18904177.0,2.35,69674801.0,8.66
2025-11-14,8.89,-1.0,-92851430.0,-13.7,-81679461.0,-12.05,-11171969.0,-1.65,42143145.0,6.22,50708286.0,7.48
2025-11-17,8.8,-1.01,-157645468.0,-18.71,-113229075.0,-13.44,-44416393.0,-5.27,56784924.0,6.74,100860538.0,11.97
2025-11-18,8.78,-0.23,-33878442.0,-6.78,-22239093.0,-4.45,-11639349.0,-2.33,20195999.0,4.04,13682443.0,2.74
2025-11-19,8.71,-0.8,-162227594.0,-19.77,-102469034.0,-12.49,-59758560.0,-7.28,81524719.0,9.93,80702872.0,9.83
2025-11-20,8.73,0.23,63619620.0,11.29,74170196.0,13.16,-10550576.0,-1.87,-35675649.0,-6.33,-27943971.0,-4.96
2025-11-21,8.64,-1.03,-32763932.0,-4.03,-12695227.0,-1.56,-20068705.0,-2.47,8927708.0,1.1,23836223.0,2.93
2025-11-24,8.69,0.58,-7582968.0,-1.43,3672116.0,0.69,-11255084.0,-2.12,-12195454.0,-2.3,19778421.0,3.73
2025-11-25,8.68,-0.12,-20812410.0,-3.66,5060295.0,0.89,-25872705.0,-4.55,7436440.0,1.31,13375971.0,2.35
2025-11-26,8.62,-0.69,-115766849.0,-20.69,-47125496.0,-8.42,-68641353.0,-12.27,81507959.0,14.57,34258892.0,6.12
2025-11-27,8.58,-0.46,-103069914.0,-19.27,-21987558.0,-4.11,-81082356.0,-15.16,38773208.0,7.25,64296706.0,12.02
2025-11-28,8.61,0.35,-39872961.0,-10.21,-27905545.0,-7.14,-11967416.0,-3.06,7125751.0,1.82,32747210.0,8.38
2025-12-01,8.69,0.93,-24267685.0,-3.18,68048310.0,8.91,-92315995.0,-12.08,11876925.0,1.55,12390761.0,1.62
2025-12-02,8.68,-0.12,4495616.0,1.06,-20593359.0,-4.84,25088975.0,5.9,11423779.0,2.69,-15919397.0,-3.74
2025-12-03,8.68,0.0,-46845695.0,-9.18,-43802917.0,-8.59,-3042778.0,-0.6,25124270.0,4.93,21721426.0,4.26
2025-12-04,8.65,-0.35,-13575708.0,-3.68,-4849988.0,-1.32,-8725720.0,-2.37,-1231734.0,-0.33,14807441.0,4.02
2025-12-05,8.75,1.16,49103910.0,7.96,85362666.0,13.84,-36258756.0,-5.88,-38399385.0,-6.23,-10704526.0,-1.74
