date,open,high,low,close,volume
2026-01-05,1.176,1.177,1.168,1.173,809228700
2026-01-06,1.173,1.175,1.168,1.174,1003278032
2026-01-07,1.174,1.175,1.168,1.17,459286396
2026-01-08,1.169,1.169,1.159,1.161,650950682
2026-01-09,1.161,1.163,1.157,1.162,663165169
2026-01-12,1.162,1.164,1.156,1.164,829679779
2026-01-13,1.164,1.172,1.163,1.166,947015800
2026-01-14,1.167,1.168,1.155,1.156,829045732
2026-01-15,1.157,1.159,1.151,1.153,521808598
2026-01-16,1.153,1.155,1.14,1.143,919751870
2026-01-19,1.143,1.147,1.14,1.144,657631921
2026-01-20,1.144,1.162,1.143,1.16,991343168
2026-01-21,1.16,1.163,1.149,1.151,787985256
2026-01-22,1.149,1.159,1.148,1.152,591403200
2026-01-23,1.151,1.154,1.145,1.148,565069300
2026-01-26,1.148,1.157,1.145,1.156,629864820
2026-01-27,1.155,1.156,1.147,1.148,764873300
2026-01-28,1.147,1.158,1.144,1.152,619681333
2026-01-29,1.15,1.169,1.149,1.169,755457571
2026-01-30,1.169,1.176,1.162,1.168,814795652
2026-02-02,1.165,1.17,1.151,1.154,825324152
2026-02-03,1.154,1.156,1.143,1.15,754311530
2026-02-04,1.149,1.167,1.149,1.166,618224430
2026-02-05,1.166,1.182,1.166,1.181,754441619
2026-02-06,1.179,1.183,1.172,1.178,682113234
2026-02-09,1.177,1.183,1.174,1.181,603614454
2026-02-10,1.182,1.187,1.18,1.186,407076199
2026-02-11,1.185,1.19,1.182,1.188,396365078
2026-02-12,1.187,1.188,1.176,1.177,598861473
2026-02-13,1.176,1.178,1.165,1.167,645765495
2026-02-24,1.17,1.176,1.17,1.172,439323384
2026-02-25,1.172,1.18,1.167,1.169,808119894
2026-02-26,1.171,1.175,1.163,1.168,499280200
2026-02-27,1.168,1.174,1.166,1.172,445534000
2026-03-02,1.17,1.184,1.168,1.183,777712021
2026-03-03,1.183,1.203,1.183,1.196,1201515647
2026-03-04,1.194,1.194,1.173,1.18,1110968200
2026-03-05,1.179,1.187,1.174,1.182,572143500
2026-03-06,1.18,1.189,1.178,1.188,580577400
2026-03-09,1.19,1.195,1.184,1.187,1168092030
2026-03-10,1.184,1.186,1.177,1.185,452751300
2026-03-11,1.184,1.197,1.178,1.196,601915324
2026-03-12,1.196,1.205,1.193,1.202,479502900
2026-03-13,1.201,1.212,1.201,1.205,558309370
2026-03-16,1.205,1.211,1.198,1.205,762268510
2026-03-17,1.203,1.214,1.203,1.21,475326700
2026-03-18,1.21,1.21,1.197,1.204,754436797
2026-03-19,1.202,1.211,1.198,1.201,587374697
2026-03-20,1.199,1.21,1.196,1.196,574315130
2026-03-23,1.19,1.192,1.153,1.158,1234527630
2026-03-24,1.161,1.18,1.161,1.178,775052084
2026-03-25,1.177,1.189,1.168,1.188,843810451
2026-03-26,1.186,1.193,1.184,1.185,526449776
2026-03-27,1.182,1.191,1.178,1.183,603197287
2026-03-30,1.179,1.194,1.178,1.193,621511813
2026-03-31,1.193,1.205,1.192,1.198,638312502
2026-04-01,1.199,1.206,1.195,1.197,582447004
2026-04-02,1.196,1.204,1.195,1.201,707666883
2026-04-03,1.201,1.202,1.184,1.188,904111773
2026-04-07,1.188,1.188,1.177,1.18,562295519
2026-04-08,1.18,1.19,1.176,1.19,705963269
2026-04-09,1.189,1.191,1.18,1.183,482704443
2026-04-10,1.182,1.186,1.18,1.181,518380174
2026-04-13,1.181,1.181,1.172,1.176,591143309
2026-04-14,1.177,1.182,1.176,1.181,452159533
2026-04-15,1.182,1.19,1.18,1.189,666919773
2026-04-16,1.188,1.192,1.185,1.189,488396756
2026-04-17,1.188,1.189,1.183,1.184,540939064
2026-04-20,1.184,1.191,1.181,1.19,553822433
2026-04-21,1.19,1.199,1.189,1.197,500467646
2026-04-22,1.196,1.198,1.191,1.192,326780483
2026-04-23,1.192,1.2,1.19,1.198,503845675
2026-04-24,1.198,1.203,1.193,1.198,634963800
2026-04-27,1.197,1.2,1.188,1.189,705498800
2026-04-28,1.188,1.193,1.186,1.192,491905560
2026-04-29,1.194,1.199,1.19,1.195,506400644
2026-04-30,1.196,1.196,1.186,1.188,750859233
2026-05-06,1.188,1.189,1.177,1.183,771049738
2026-05-07,1.182,1.183,1.176,1.178,759575914
2026-05-08,1.178,1.183,1.175,1.177,471791150
2026-05-11,1.176,1.178,1.172,1.178,655267014
