date,open,high,low,close,volume,event_flag,no_price_limit_flag
2018-01-02,10.90826941,11.16717899,10.86738895,11.09223148,3668409,0,0
2018-01-03,11.11948512,11.21487286,10.97640351,11.09223148,3559002,0,0
2018-01-04,11.07860466,11.13311194,10.99003033,11.0377242,2417829,0,0
2018-01-05,11.07179125,11.18761922,11.00365715,11.1058583,2129473,0,0
2018-01-08,11.07179125,11.12629853,10.71749393,10.79925485,3841952,0,0
2018-01-09,10.79925485,10.84694872,10.68342688,10.77200121,1999957,0,0
2018-01-10,10.78562803,10.86738895,10.43133071,10.49946481,3803452,0,0
2018-01-11,10.43133071,10.67661347,10.43133071,10.64935983,2082120,0,0
2018-01-12,10.6289196,10.7651878,10.45858435,10.49946481,2474912,0,0
2018-01-15,10.4926514,10.52671845,9.7431763,9.83175063,7153198,0,0
2018-01-16,9.74998971,9.90669814,9.61372151,9.85900427,4394435,0,0
2018-01-17,9.8794445,9.98164565,9.64778856,9.92713837,4383822,0,0
2018-01-18,9.8794445,9.91351155,9.70910925,9.73636289,3714545,0,0
2018-01-19,9.68185561,9.75680312,9.62734833,9.66822879,1892079,0,0
2018-01-22,9.62053492,9.87263109,9.60009469,9.83856404,2204993,0,0
2018-01-23,9.85219086,9.87263109,9.72273607,9.77042994,1576560,0,0
2018-01-24,9.79087017,9.79087017,9.64778856,9.73636289,2204439,0,0
2018-01-25,9.79087017,10.07703339,9.77724335,9.90669814,4728496,0,0
2018-01-26,9.87263109,10.02933952,9.83856404,9.91351155,2296500,0,0
2018-01-29,9.93395178,9.97483224,9.64097515,9.70229584,2683781,0,0
2018-01-30,9.64778856,9.76361653,9.6069081,9.71592266,2357700,0,0
2018-01-31,9.66141538,9.69548243,9.1981035,9.20491691,4903424,0,0
2018-02-01,9.2662376,9.38887898,8.80973913,8.81655254,3512401,0,0
2018-02-02,8.80973913,8.9255671,8.49632227,8.68709775,2007171,0,0
2018-02-05,8.6530307,8.89831346,8.55082955,8.83699277,2057502,0,0
2018-02-06,8.78248549,8.78248549,8.27829315,8.30554679,2416500,0,0
2018-02-07,8.36686748,8.50994909,8.07389085,8.27147974,3128817,0,0
2018-02-08,8.25785292,8.48950886,8.18971882,8.46225522,1436223,0,0
2018-02-09,8.29191997,8.74160503,8.1079579,8.55764296,3659300,0,0
2018-02-12,8.66665752,8.91194028,8.5848966,8.71435139,1598402,0,0
2018-02-13,8.70072457,8.9255671,8.6530307,8.70753798,910875,0,0
2018-02-14,8.66665752,8.91194028,8.64621729,8.84380618,2059974,0,0
2018-02-22,8.85061959,8.98007438,8.80292572,8.95282074,1170200,0,0
2018-02-23,8.95963415,8.9937012,8.80292572,8.85061959,1233100,0,0
2018-02-26,8.86424641,9.12315599,8.82336595,9.05502189,2364601,0,0
2018-02-27,9.0618353,9.3343717,8.98688779,9.18447668,2362802,0,0
2018-02-28,9.09590235,9.25261078,8.87787323,9.15040963,2413980,0,0
2018-03-01,9.14359622,9.59328128,9.0618353,9.58646787,5103080,0,0
2018-03-02,9.52514718,9.72954948,9.42294603,9.55921423,2416910,0,0
2018-03-05,9.71592266,9.85219086,9.50470695,9.51152036,2725630,0,0
2018-03-06,9.6069081,9.77724335,9.49108013,9.64778856,2547930,0,0
2018-03-07,9.64778856,9.85900427,9.59328128,9.72954948,3287399,0,0
2018-03-08,9.72954948,9.7431763,9.55921423,9.65460197,1967661,0,0
2018-03-09,9.60009469,9.83175063,9.54558741,9.73636289,2752400,0,0
2018-03-12,9.73636289,9.84537745,9.66822879,9.76361653,3117800,0,0
2018-03-13,9.75680312,9.84537745,9.59328128,9.77042994,2654381,0,0
2018-03-14,9.7431763,9.8794445,9.69548243,9.77042994,2830438,0,0
2018-03-15,9.69548243,9.77724335,9.40931921,9.51152036,2785344,0,0
2018-03-16,9.45701308,9.66822879,9.45701308,9.54558741,1527013,0,0
2018-03-19,9.538774,9.64778856,9.41613262,9.49108013,1426301,0,0
2018-03-20,9.47745331,9.65460197,9.41613262,9.63416174,2093562,0,0
2018-03-21,9.61372151,9.73636289,9.48426672,9.49789354,2322684,0,0
2018-03-22,9.50470695,9.70910925,9.49108013,9.50470695,2247777,0,0
2018-03-23,8.86424641,9.30711806,8.7211648,8.79611231,3937840,0,0
2018-03-26,8.78248549,9.03458166,8.72797821,9.00051461,2676376,0,0
2018-03-27,9.02095484,9.32074488,9.02095484,9.19129009,2891553,0,0
2018-03-28,9.0618353,10.11110044,9.02095484,9.97483224,11493703,0,0
2018-03-29,9.84537745,10.39045025,9.75680312,10.21330159,11653382,0,0
2018-03-30,10.220115,10.43133071,10.11791385,10.32231615,6125605,0,0
2018-04-02,10.38363684,10.44495753,10.25418205,10.32912956,5521800,0,0
2018-04-03,10.25418205,10.59485255,10.18604795,10.23374182,5140325,0,0
2018-04-04,10.24055523,10.84013531,10.24055523,10.55397209,7858120,0,0
2018-04-09,10.50627822,10.67661347,10.25418205,10.4245173,3767282,0,0
2018-04-10,10.4245173,10.54034527,10.16560772,10.30868933,4116401,0,0
2018-04-11,10.34275638,10.39726366,10.19967477,10.22692841,2504924,0,0
2018-04-12,10.2882491,10.52671845,10.23374182,10.44495753,2909676,0,0
2018-04-13,10.44495753,10.44495753,9.98164565,10.11110044,4186699,0,0
2018-04-16,10.04296634,10.18604795,9.93395178,10.09066021,2076020,0,0
2018-04-17,10.03615293,10.17242113,9.92713837,9.93395178,1728879,0,0
2018-04-18,9.96120542,10.07703339,9.57284105,10.0157127,4183859,0,0
2018-04-19,9.98845906,10.19967477,9.85900427,10.07021998,2117459,0,0
2018-04-20,10.02933952,10.04296634,9.60009469,9.70910925,3390596,0,0
2018-04-23,9.72954948,9.77042994,9.16403645,9.25261078,3151401,0,0
2018-04-24,9.28667783,9.71592266,9.23898396,9.65460197,2513301,0,0
2018-04-25,9.65460197,9.93395178,9.60009469,9.85900427,2653953,0,0
2018-04-26,9.85219086,10.62210619,9.85219086,10.25418205,8042183,0,0
2018-04-27,10.0838468,10.22692841,9.96120542,10.19967477,4124919,0,0
2018-05-02,10.24736864,10.4245173,10.0157127,10.38363684,4417719,0,0
2018-05-03,10.39045025,10.47902458,10.17923454,10.40407707,3865249,0,0
2018-05-04,10.41089048,10.45177094,10.24055523,10.25418205,2249312,0,0
2018-05-07,10.26780887,10.44495753,10.26780887,10.39045025,2758740,0,0
2018-05-08,10.45858435,10.81969508,10.40407707,10.80606826,6775786,0,0
2018-05-09,10.66980006,11.07860466,10.66980006,11.05816443,9052967,0,0
2018-05-10,11.05816443,11.20124604,10.88101577,10.90826941,6846348,0,0
2018-05-11,10.98321692,11.04453761,10.71068052,10.75837439,3314244,0,0
2018-05-14,10.75837439,10.82650849,10.58122573,10.68342688,2109000,0,0
2018-05-15,10.68342688,10.86738895,10.6289196,10.74474757,3613248,0,0
2018-05-16,10.72430734,10.75837439,10.43814412,10.51309163,2782995,0,0
2018-05-17,10.6289196,10.94233646,10.51309163,10.79925485,3782990,0,0
2018-05-18,10.87420236,11.07860466,10.79925485,10.82650849,3819526,0,0
2018-05-21,10.99684374,11.26938014,10.99684374,11.09223148,4454507,0,0
2018-05-22,11.13992535,11.21487286,10.86738895,11.01047056,2675776,0,0
2018-05-23,10.94914987,11.09904489,10.88101577,10.94233646,2492966,0,0
2018-05-24,11.00365715,11.01047056,10.4245173,10.52671845,5906538,0,0
2018-05-25,10.68342688,10.77881462,10.54034527,10.73793416,3219195,0,0
2018-05-28,10.72430734,10.87420236,10.46539776,10.73793416,3495375,0,0
2018-05-29,10.66980006,10.88101577,10.61529278,10.63573301,1963035,0,0
2018-05-30,10.44495753,10.54715868,10.03615293,10.1519809,4583796,0,0
2018-05-31,10.17923454,10.41089048,10.02252611,10.2882491,3480557,0,0
2018-06-01,10.220115,10.3563832,10.06340657,10.09747362,2032799,0,0
2018-06-04,10.220115,10.24055523,9.78405676,9.79087017,2785400,0,0
2018-06-05,9.86581768,10.30187592,9.86581768,10.2882491,2732800,0,0
2018-06-06,10.28143569,10.29506251,10.16560772,10.220115,1527236,0,0
2018-06-07,10.29506251,10.30187592,10.02252611,10.02933952,1546607,0,0
2018-06-08,10.0838468,10.0838468,9.38206557,9.57284105,4659977,0,0
2018-06-11,9.65460197,9.66141538,9.28667783,9.42294603,2307739,0,0
2018-06-12,9.49789354,9.6069081,9.42294603,9.58646787,1501337,0,0
2018-06-13,9.59328128,9.62734833,9.43657285,9.4706399,1324119,0,0
2018-06-14,9.46382649,9.4706399,8.7211648,9.06864871,3893195,0,0
2018-06-15,8.98688779,9.38887898,8.9255671,9.13678281,2286825,0,0
2018-06-19,9.13677723,9.38279367,8.22104937,8.33039001,5657085,0,0
2018-06-20,8.35772517,8.79508773,8.34405759,8.73358362,3944940,0,0
2018-06-21,8.73358362,8.82925668,8.37822654,8.43289686,2038000,0,0
2018-06-22,8.25521832,8.52173613,8.25521832,8.48756718,1451650,0,0
2018-06-25,8.54907129,8.64474435,8.30305485,8.38506033,2118130,0,0
2018-06-26,8.39189412,8.6105754,8.28255348,8.58324024,1872480,0,0
2018-06-27,8.5422375,8.68574709,8.5422375,8.59007403,1390044,0,0
2018-06-28,8.59007403,8.78142015,8.5422375,8.63791056,1240179,0,0
2018-06-29,8.58324024,8.86342563,8.58324024,8.84292426,2013774,0,0
2018-07-02,8.85659184,8.85659184,8.43289686,8.53540371,2764984,0,0
2018-07-03,8.48073339,8.59690782,8.0638722,8.50123476,4554000,0,0
2018-07-04,8.4055617,8.78825394,8.28938727,8.52173613,4494198,0,0
2018-07-05,8.38506033,8.4738996,8.02970325,8.10487494,3653049,0,0
2018-07-06,8.12537631,8.27571969,7.93403019,8.11854252,3009094,0,0
2018-07-09,8.17321284,8.25521832,8.09804115,8.23471695,2145968,0,0
2018-07-10,8.20738179,8.36455896,8.20738179,8.33039001,2098150,0,0
2018-07-11,8.02970325,8.17321284,7.98870051,8.0638722,2230511,0,0
2018-07-12,8.16637905,8.32355622,8.00236809,8.27571969,3151586,0,0
2018-07-13,8.26205211,8.29622106,8.18688042,8.21421558,2562734,0,0
2018-07-16,8.14587768,8.26205211,8.11170873,8.22104937,1978633,0,0
2018-07-17,8.11854252,8.4738996,8.11854252,8.45339823,4046558,0,0
2018-07-18,8.51490234,8.53540371,8.2688859,8.28938727,2505800,0,0
2018-07-19,8.28255348,8.42606307,8.18004663,8.30305485,2061219,0,0
2018-07-20,8.30988864,8.46023202,8.20738179,8.43289686,2147600,0,0
2018-07-23,8.43973065,8.86342563,8.38506033,8.77458636,5444560,0,0
2018-07-24,8.71308225,8.84975805,8.6789133,8.79508773,2651580,0,0
2018-07-25,8.78825394,8.78825394,8.63107677,8.69941467,2733584,0,0
2018-07-26,8.68574709,8.79508773,8.65157814,8.67207951,1718384,0,0
2018-07-27,8.6789133,8.9522649,8.63107677,8.80875531,2515228,0,0
2018-07-30,8.75408499,8.83609047,8.64474435,8.6789133,1786892,0,0
2018-07-31,8.6789133,8.71308225,8.58324024,8.68574709,943200,0,0
2018-08-01,8.78825394,8.78825394,8.49440097,8.51490234,1249910,0,0
2018-08-02,8.51490234,8.58324024,8.20738179,8.32355622,2560400,0,0
2018-08-03,8.32355622,8.42606307,8.27571969,8.29622106,888900,0,0
2018-08-06,8.28938727,8.31672243,7.98186672,8.03653704,1908400,0,0
2018-08-07,8.05703841,8.23471695,7.8588585,8.22788316,2379235,0,0
2018-08-08,8.18688042,8.42606307,7.9955343,8.00236809,2694801,0,0
2018-08-09,7.96136535,8.17321284,7.91352882,8.14587768,2557601,0,0
2018-08-10,8.26205211,8.33039001,8.18688042,8.28255348,2220101,0,0
2018-08-13,8.15954526,8.24155074,8.04337083,8.200548,2163381,0,0
2018-08-14,8.200548,8.32355622,8.1322101,8.14587768,2261100,0,0
2018-08-15,8.14587768,8.17321284,8.02970325,8.03653704,1460300,0,0
2018-08-16,7.92036261,8.09804115,7.85202471,7.87252608,1731300,0,0
2018-08-17,7.96819914,8.02286946,7.517169,7.5855069,3075311,0,0
2018-08-20,7.53767037,7.77001923,6.98413338,7.63334343,6924799,0,0
2018-08-21,7.53083658,7.5855069,7.40099457,7.42149594,2294529,0,0
2018-08-22,7.42149594,7.46933247,7.35999183,7.43516352,1302528,0,0
2018-08-23,7.44199731,7.44199731,7.20964845,7.29165393,2034322,0,0
2018-08-24,7.27115256,7.29848772,7.1754795,7.23698361,1113373,0,0
2018-08-27,7.41466215,7.41466215,7.29165393,7.37365941,1981049,0,0
2018-08-28,7.35315804,7.48983384,7.3121553,7.45566489,1827221,0,0
2018-08-29,7.47616626,7.57867311,7.39416078,7.42832973,1591200,0,0
2018-08-30,7.45566489,7.46249868,7.25065119,7.27115256,1289364,0,0
2018-08-31,7.27115256,7.31898909,7.07297265,7.09347402,1385613,0,0
2018-09-03,7.14131055,7.15497813,6.99780096,7.12764297,1424100,0,0
2018-09-04,7.14814434,7.31898909,7.01830233,7.29848772,1938998,0,0
2018-09-05,7.25065119,7.39416078,7.20281466,7.27115256,1665707,0,0
2018-09-06,7.26431877,7.34632425,7.14131055,7.19598087,1058300,0,0
2018-09-07,7.19598087,7.3121553,7.1754795,7.19598087,853085,0,0
2018-09-10,7.23014982,7.23014982,6.84745758,6.88846032,2256156,0,0
2018-09-11,6.89529411,6.97729959,6.84062379,6.91579548,776204,0,0
2018-09-12,6.95679822,7.0388037,6.9021279,6.9704658,944790,0,0
2018-09-13,7.01830233,7.08664023,6.96363201,7.04563749,1169334,0,0
2018-09-14,7.04563749,7.07297265,6.9704658,6.98413338,781000,0,0
2018-09-17,6.96363201,7.19598087,6.90896169,7.13447676,2064964,0,0
2018-09-18,7.07297265,7.20964845,7.07297265,7.20964845,1119264,0,0
2018-09-19,7.20281466,7.36682562,7.15497813,7.22331603,1836400,0,0
2018-09-20,7.19598087,7.27115256,7.12080918,7.14131055,1461964,0,0
2018-09-21,7.12764297,7.32582288,7.12764297,7.27798635,1597400,0,0
2018-09-25,7.25065119,7.31898909,7.23698361,7.29165393,1088187,0,0
2018-09-26,7.29848772,7.33949046,7.26431877,7.29848772,1246900,0,0
2018-09-27,7.25748498,7.3121553,7.15497813,7.16864571,1026900,0,0
2018-09-28,7.1754795,7.23698361,7.16181192,7.22331603,538601,0,0
2018-10-08,7.04563749,7.18231329,6.99780096,7.00463475,976800,0,0
2018-10-09,7.00463475,7.0388037,6.88846032,6.91579548,1149200,0,0
2018-10-10,6.9704658,7.00463475,6.86112516,6.89529411,954200,0,0
2018-10-11,6.69028041,6.83379,6.20508132,6.20508132,2901294,0,0
2018-10-12,6.13674342,6.18457995,5.59004022,5.98640004,4735807,0,0
2018-10-15,6.03423657,6.04107036,5.72671602,5.74721739,2276277,0,0
2018-10-16,5.72671602,5.84972424,5.52170232,5.56270506,1735200,0,0
2018-10-17,5.61054159,5.73354981,5.56270506,5.64471054,1075750,0,0
2018-10-18,5.63787675,5.65154433,5.50120095,5.5353699,1180067,0,0
2018-10-19,5.52853611,5.6720457,5.41236168,5.65154433,1519019,0,0
2018-10-22,5.65837812,5.96589867,5.65837812,5.89756077,2732000,0,0
2018-10-23,5.91806214,5.95223109,5.77455255,5.80188771,1353200,0,0
2018-10-24,5.76088497,5.8770594,5.76088497,5.81555529,1152200,0,0
2018-10-25,5.70621465,5.77455255,5.6037078,5.73354981,1597800,0,0
2018-10-26,5.7403836,5.8770594,5.7403836,5.81555529,1004767,0,0
2018-10-29,5.81555529,5.8770594,5.73354981,5.84289045,1186300,0,0
2018-10-30,5.84289045,5.88389319,5.67887949,5.80188771,1797207,0,0
2018-10-31,5.78822013,6.38275986,5.78822013,6.34859091,7787551,0,0
2018-11-01,6.25975164,6.38959365,6.17091237,6.17774616,5804883,0,0
2018-11-02,6.2187489,6.4237626,6.07523931,6.38275986,6983601,0,0
2018-11-05,6.34175712,6.4237626,6.23925027,6.29392059,5155384,0,0
2018-11-06,6.27341922,6.36909228,6.13674342,6.32808954,3958598,0,0
2018-11-07,6.32808954,6.33492333,6.16407858,6.22558269,3429904,0,0
2018-11-08,6.25291785,6.28025301,6.14357721,6.150411,1870400,0,0
2018-11-09,6.09574068,6.20508132,6.09574068,6.150411,1276376,0,0
2018-11-12,6.10257447,6.2870868,6.10257447,6.28025301,2574757,0,0
2018-11-13,6.23241648,6.44426397,6.2187489,6.36909228,3177383,0,0
2018-11-14,6.34175712,6.47159913,6.34175712,6.39642744,2484352,0,0
2018-11-15,6.36225849,6.66294525,6.32808954,6.58777356,3514665,0,0
2018-11-16,6.5604384,6.75178452,6.54677082,6.64927767,2390800,0,0
2018-11-19,6.60827493,6.63561009,6.38275986,6.51943566,4218346,0,0
2018-11-20,6.47159913,6.60144114,6.25975164,6.26658543,3143385,0,0
2018-11-21,6.21191511,6.34859091,6.15724479,6.31442196,2123561,0,0
2018-11-22,6.32808954,6.41692881,6.26658543,6.34175712,1486970,0,0
2018-11-23,6.2870868,6.36225849,5.81555529,5.92489593,4381129,0,0
2018-11-26,6.00690141,6.00690141,5.8087215,5.87022561,2051786,0,0
2018-11-27,5.8770594,5.98640004,5.87022561,5.97273246,1343772,0,0
2018-11-28,6.00006762,6.02056899,5.86339182,6.02056899,1617720,0,0
2018-11-29,6.0137352,6.2187489,5.95906488,5.98640004,2884883,0,0
2018-11-30,5.97956625,6.10940826,5.8770594,6.07523931,2166778,0,0
2018-12-03,6.22558269,6.28025301,6.15724479,6.21191511,2802300,0,0
2018-12-04,6.19824753,6.34175712,6.16407858,6.27341922,2124748,0,0
2018-12-05,6.2187489,6.46476534,6.21191511,6.43059639,4418771,0,0
2018-12-06,6.36225849,6.36909228,6.16407858,6.17091237,2568115,0,0
2018-12-07,6.17774616,6.25291785,6.12990963,6.2187489,2510207,0,0
2018-12-10,6.17774616,6.23925027,6.09574068,6.10257447,1635518,0,0
2018-12-11,6.12990963,6.15724479,6.02740278,6.06157173,1700834,0,0
2018-12-12,6.11624205,6.17091237,6.06840552,6.150411,1445201,0,0
2018-12-13,6.10940826,6.2187489,6.10940826,6.17091237,1642461,0,0
2018-12-14,6.17091237,6.23925027,6.0137352,6.04107036,2104587,0,0
2018-12-17,6.04107036,6.04107036,5.84289045,5.93172972,2570186,0,0
2018-12-18,5.90439456,5.93172972,5.79505392,5.84972424,1495840,0,0
2018-12-19,5.87022561,5.87022561,5.61737538,5.65154433,2183438,0,0
2018-12-20,5.61737538,5.76771876,5.59687401,5.74721739,1507272,0,0
2018-12-21,5.75405118,5.86339182,5.67887949,5.72671602,1855100,0,0
2018-12-24,5.67887949,5.76771876,5.67887949,5.72671602,1286502,0,0
2018-12-25,5.68571328,5.79505392,5.50120095,5.7403836,2489200,0,0
2018-12-26,5.68571328,5.75405118,5.6037078,5.63104296,1227700,0,0
2018-12-27,5.71988223,5.75405118,5.5353699,5.54220369,1268300,0,0
2018-12-28,5.55587127,5.58320643,5.467032,5.48069958,1674704,0,0
2019-01-02,5.49436716,5.57637264,5.48753337,5.54220369,1063549,0,0
2019-01-03,5.54220369,5.75405118,5.49436716,5.57637264,2150256,0,0
2019-01-04,5.5353699,5.74721739,5.48069958,5.72671602,2935401,0,0
2019-01-07,5.76088497,6.27341922,5.73354981,6.12990963,6912639,0,0
2019-01-08,6.05473794,6.16407858,6.03423657,6.03423657,4189701,0,0
2019-01-09,6.08890689,6.12307584,5.9453973,5.96589867,4394755,0,0
2019-01-10,5.95906488,6.10257447,5.92489593,5.95906488,2744698,0,0
2019-01-11,5.95906488,6.00690141,5.91122835,5.97273246,1781900,0,0
2019-01-14,5.97956625,6.06157173,5.82238908,5.89756077,3359501,0,0
2019-01-15,5.84972424,6.04790415,5.8087215,6.0137352,3452998,0,0
2019-01-16,6.02056899,6.02056899,5.89756077,5.95906488,4366801,0,0
2019-01-17,5.9453973,6.55360461,5.84289045,6.44426397,9333039,0,0
2019-01-18,6.33492333,6.55360461,6.13674342,6.28025301,11610934,0,0
2019-01-21,6.25291785,6.32125575,6.150411,6.2870868,6411501,0,0
2019-01-22,6.23925027,6.25291785,6.11624205,6.16407858,3372558,0,0
2019-01-23,6.16407858,6.26658543,6.150411,6.19141374,2822700,0,0
2019-01-24,6.19141374,6.26658543,6.16407858,6.2187489,2801764,0,0
2019-01-25,6.20508132,6.25291785,6.150411,6.16407858,2518360,0,0
2019-01-28,6.2187489,6.48526671,6.16407858,6.2870868,6229532,0,0
2019-01-29,6.25291785,6.2870868,6.02740278,6.22558269,3608324,0,0
2019-01-30,6.17774616,6.2870868,6.08890689,6.19141374,3447900,0,0
2019-01-31,6.2187489,6.2870868,6.11624205,6.17091237,3126700,0,0
2019-02-01,6.22558269,6.34175712,6.2187489,6.32808954,3782656,0,0
2019-02-11,6.32808954,6.41692881,6.2870868,6.41692881,4496471,0,0
2019-02-12,6.40326123,6.48526671,6.33492333,6.43743018,4305400,0,0
2019-02-13,6.43059639,6.54677082,6.38275986,6.52626945,4849600,0,0
2019-02-14,6.54677082,6.77228589,6.48526671,6.64927767,6889200,0,0
2019-02-15,6.6287763,6.66294525,6.53993703,6.56727219,3459694,0,0
2019-02-18,6.59460735,6.71078178,6.55360461,6.6971142,5040500,0,0
2019-02-19,6.71078178,7.30532151,6.68344662,7.12764297,13431703,0,0
2019-02-20,6.99780096,7.14814434,6.87479274,7.07980644,8190412,0,0
2019-02-21,7.09347402,7.3121553,6.80645484,6.80645484,12624974,0,0
