feature_group,model_name,window_id,split,target_hit_bps,entry_policy,quantile,threshold,auc,train_start,train_end,valid_start,valid_end,test_start,test_end,trades,win_rate,avg_return,median_return,compound_return,max_drawdown,profit_factor
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,1,valid,80.0,vwap_low,0.8,0.6479566097259521,0.497554347826087,2020-01-02,2023-02-16,2023-02-17,2023-08-21,2023-08-22,2023-11-24,26,0.7307692307692307,0.0017903382715106287,0.008,0.045804526943315826,-0.03480504916253435,1.453606706195709
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,1,test,80.0,vwap_low,0.8,0.6479566097259521,0.5454545454545455,2020-01-02,2023-02-16,2023-02-17,2023-08-21,2023-08-22,2023-11-24,12,0.5833333333333334,-0.001130256987291821,0.008,-0.014239455854089478,-0.03409974692972151,0.8050246898594199
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,2,valid,80.0,vwap_low,0.7,0.5058930397033691,0.4771258723184285,2020-04-09,2023-05-22,2023-05-23,2023-11-24,2023-11-27,2024-03-01,38,0.6052631578947368,0.00041854812820055117,0.008,0.014073352326489541,-0.0561044829765428,1.096239357070741
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,2,test,80.0,vwap_low,0.7,0.5058930397033691,0.5705128205128205,2020-04-09,2023-05-22,2023-05-23,2023-11-24,2023-11-27,2024-03-01,20,0.65,0.0018289921230819704,0.008,0.03628256469183211,-0.03821001943655267,1.542565366164063
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,3,valid,80.0,vwap_low,0.8,0.5657379031181335,0.5318930041152263,2020-07-14,2023-08-21,2023-08-22,2024-03-01,2024-03-04,2024-06-05,25,0.68,0.0012916724958819308,0.008,0.031370915165507274,-0.03982447354463592,1.3113718708563102
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,3,test,80.0,vwap_low,0.8,0.5657379031181335,0.4011627906976744,2020-07-14,2023-08-21,2023-08-22,2024-03-01,2024-03-04,2024-06-05,39,0.6153846153846154,-0.008195583364268054,0.008,-0.28125592019336776,-0.3038029927395829,0.3752728415283388
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,4,valid,80.0,vwap_low,0.5,0.4683397710323334,0.5435144124168514,2020-10-19,2023-11-24,2023-11-27,2024-06-05,2024-06-06,2024-09-03,59,0.6610169491525424,-0.003850717306818191,0.008,-0.21198792275616907,-0.2808128788676012,0.5786432554569342
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,4,test,80.0,vwap_low,0.5,0.4683397710323334,0.6076086956521739,2020-10-19,2023-11-24,2023-11-27,2024-06-05,2024-06-06,2024-09-03,17,0.6470588235294118,-0.002713973921576152,0.008,-0.0473466143746194,-0.08455500483481859,0.6560429620661504
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,5,valid,80.0,vwap_low,0.7,0.5481160163879394,0.5474922947604371,2021-01-15,2024-03-01,2024-03-04,2024-09-03,2024-09-04,2024-12-10,35,0.6857142857142857,-0.004735279009717302,0.008,-0.15895003858147638,-0.2108900157351421,0.5367104866575151
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,5,test,80.0,vwap_low,0.7,0.5481160163879394,0.3606138107416881,2021-01-15,2024-03-01,2024-03-04,2024-09-03,2024-09-04,2024-12-10,26,0.7692307692307693,-0.00029979167034952534,0.008,-0.011747577885292126,-0.06916402107374064,0.9522088529081805
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,6,valid,80.0,vwap_low,0.5,0.44732803106307983,0.5090116279069767,2021-04-22,2024-06-05,2024-06-06,2024-12-10,2024-12-11,2025-03-18,52,0.75,7.710726051147537e-06,0.008,-0.006533474062638156,-0.12624615635243996,1.0013064714977806
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,6,test,80.0,vwap_low,0.5,0.44732803106307983,0.5169811320754717,2021-04-22,2024-06-05,2024-06-06,2024-12-10,2024-12-11,2025-03-18,49,0.8367346938775511,0.0023058570437309417,0.008,0.11164394787349297,-0.10378748977197583,1.5254891220085245
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,7,valid,80.0,vwap_low,0.8,0.7032486200332642,0.49682005237560795,2021-07-26,2024-09-03,2024-09-04,2025-03-18,2025-03-19,2025-06-20,20,0.85,0.002790214561452237,0.008,0.055378900535256514,-0.04511382022471899,1.695851337737108
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,7,test,80.0,vwap_low,0.8,0.7032486200332642,0.5208333333333333,2021-07-26,2024-09-03,2024-09-04,2025-03-18,2025-03-19,2025-06-20,1,1.0,0.008,0.008,0.008000000000000007,0.0,inf
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,8,valid,80.0,vwap_low,0.8,0.6673104405403137,0.5413861386138614,2021-11-01,2024-12-10,2024-12-11,2025-06-20,2025-06-23,2025-09-17,21,0.8571428571428571,0.004609629038188186,0.008,0.10049802962052867,-0.04056532020438253,3.0509902983965365
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,8,test,80.0,vwap_low,0.8,0.6673104405403137,0.648936170212766,2021-11-01,2024-12-10,2024-12-11,2025-06-20,2025-06-23,2025-09-17,1,1.0,0.008,0.008,0.008000000000000007,0.0,inf
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,9,valid,80.0,vwap_low,0.8,0.6284477829933166,0.5731748726655348,2022-01-28,2025-03-18,2025-03-19,2025-09-17,2025-09-18,2025-12-23,19,0.8421052631578947,0.004152682619875584,0.008,0.08099318240119135,-0.026413849097867703,2.6069761341578954
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,9,test,80.0,vwap_low,0.8,0.6284477829933166,0.5547169811320755,2022-01-28,2025-03-18,2025-03-19,2025-09-17,2025-09-18,2025-12-23,14,0.9285714285714286,0.006245468384074935,0.008,0.09077020327214225,-0.01656344262295084,6.278887932143624
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,10,valid,80.0,vwap_low,0.8,0.6145773530006409,0.6388461538461538,2022-05-11,2025-06-20,2025-06-23,2025-12-23,2025-12-24,2026-04-01,16,0.875,0.005514182066521297,0.008,0.09156938718428664,-0.016563442622951063,4.711209793794249
reversal_fundamental_regime,xgb_d2_200_lr003_mcw5,10,test,80.0,vwap_low,0.8,0.6145773530006409,0.5888888888888889,2022-05-11,2025-06-20,2025-06-23,2025-12-23,2025-12-24,2026-04-01,15,0.8666666666666667,0.0029497559884318295,0.008,0.043120256381848465,-0.0595245535777742,1.7404791555527752
reversal_fundamental_regime,xgb_d3_400_lr003_mcw3,1,valid,80.0,vwap_low,0.7,0.7021306455135345,0.5364130434782609,2020-01-02,2023-02-16,2023-02-17,2023-08-21,2023-08-22,2023-11-24,38,0.7894736842105263,0.00228188004152803,0.008,0.08788247238843305,-0.06338890611251868,1.603887558504821
reversal_fundamental_regime,xgb_d3_400_lr003_mcw3,1,test,80.0,vwap_low,0.7,0.7021306455135345,0.5707070707070707,2020-01-02,2023-02-16,2023-02-17,2023-08-21,2023-08-22,2023-11-24,18,0.5,-0.0033306969595603866,0.0007167057569296125,-0.059469310919360696,-0.07433912718033586,0.5456507098937392
reversal_fundamental_regime,xgb_d3_400_lr003_mcw3,2,valid,80.0,vwap_low,0.7,0.5454593777656555,0.5019384853967434,2020-04-09,2023-05-22,2023-05-23,2023-11-24,2023-11-27,2024-03-01,38,0.6578947368421053,0.0012889586462763371,0.008,0.04837365514922487,-0.04526075342516522,1.3465929880818648
reversal_fundamental_regime,xgb_d3_400_lr003_mcw3,2,test,80.0,vwap_low,0.7,0.5454593777656555,0.5801282051282051,2020-04-09,2023-05-22,2023-05-23,2023-11-24,2023-11-27,2024-03-01,24,0.7083333333333334,0.002550067004125445,0.008,0.06201275580047905,-0.03821001943655267,1.9077642404526909
reversal_fundamental_regime,xgb_d3_400_lr003_mcw3,3,valid,80.0,vwap_low,0.5,0.543360710144043,0.5210905349794239,2020-07-14,2023-08-21,2023-08-22,2024-03-01,2024-03-04,2024-06-05,61,0.5901639344262295,-0.0005231049984476803,0.008,-0.03495204837598764,-0.11593735565937602,0.8985703907679148
reversal_fundamental_regime,xgb_d3_400_lr003_mcw3,3,test,80.0,vwap_low,0.5,0.543360710144043,0.4732558139534883,2020-07-14,2023-08-21,2023-08-22,2024-03-01,2024-03-04,2024-06-05,41,0.6341463414634146,-0.0069976694321025575,0.008,-0.257202349555094,-0.3117116218774486,0.4202831503740243
reversal_fundamental_regime,xgb_d3_400_lr003_mcw3,4,valid,80.0,vwap_low,0.8,0.7215275645256044,0.5717849223946785,2020-10-19,2023-11-24,2023-11-27,2024-06-05,2024-06-06,2024-09-03,24,0.7083333333333334,-0.00240906387264913,0.008,-0.06043558406957039,-0.13454777986570288,0.7016909045044445
reversal_fundamental_regime,xgb_d3_400_lr003_mcw3,4,test,80.0,vwap_low,0.8,0.7215275645256044,0.5793478260869566,2020-10-19,2023-11-24,2023-11-27,2024-06-05,2024-06-06,2024-09-03,4,1.0,0.008,0.008,0.032386052096000206,0.0,inf
reversal_fundamental_regime,xgb_d3_400_lr003_mcw3,5,valid,80.0,vwap_low,0.8,0.6778743743896485,0.5724292518912861,2021-01-15,2024-03-01,2024-03-04,2024-09-03,2024-09-04,2024-12-10,24,0.7083333333333334,-0.004647481270895305,0.008,-0.11038111265017347,-0.15191222672213245,0.5494071542284023
reversal_fundamental_regime,xgb_d3_400_lr003_mcw3,5,test,80.0,vwap_low,0.8,0.6778743743896485,0.39386189258312027,2021-01-15,2024-03-01,2024-03-04,2024-09-03,2024-09-04,2024-12-10,19,0.7894736842105263,-0.0013106387303494845,0.008,-0.028168412804877363,-0.08818495492681078,0.8223868629027856
reversal_fundamental_regime,xgb_d3_400_lr003_mcw3,6,valid,80.0,vwap_low,0.8,0.5996267318725587,0.5595930232558141,2021-04-22,2024-06-05,2024-06-06,2024-12-10,2024-12-11,2025-03-18,21,0.8571428571428571,0.0020326111038751573,0.008,0.040682266555429614,-0.04833955684007707,1.4417924517017722
reversal_fundamental_regime,xgb_d3_400_lr003_mcw3,6,test,80.0,vwap_low,0.8,0.5996267318725587,0.37358490566037733,2021-04-22,2024-06-05,2024-06-06,2024-12-10,2024-12-11,2025-03-18,15,0.7333333333333333,0.0008145169653400693,0.008,0.010937612564228205,-0.040565320204382305,1.161221858712182
reversal_fundamental_regime,xgb_d3_400_lr003_mcw3,7,valid,80.0,vwap_low,0.5,0.6091673970222473,0.49158249158249157,2021-07-26,2024-09-03,2024-09-04,2025-03-18,2025-03-19,2025-06-20,48,0.8333333333333334,0.0010108787583345171,0.008,0.04121037626651969,-0.11923238431557748,1.181880848614611
reversal_fundamental_regime,xgb_d3_400_lr003_mcw3,7,test,80.0,vwap_low,0.5,0.6091673970222473,0.5458333333333333,2021-07-26,2024-09-03,2024-09-04,2025-03-18,2025-03-19,2025-06-20,9,0.7777777777777778,0.00370164654172264,0.008,0.033484050056643344,-0.016451512605041962,2.468571870450233
reversal_fundamental_regime,xgb_d3_400_lr003_mcw3,8,valid,80.0,vwap_low,0.8,0.7431463599205018,0.5322772277227723,2021-11-01,2024-12-10,2024-12-11,2025-06-20,2025-06-23,2025-09-17,21,0.9047619047619048,0.0049319782965660044,0.008,0.10771433450410983,-0.015930869565217276,3.1386505635293163
reversal_fundamental_regime,xgb_d3_400_lr003_mcw3,8,test,80.0,vwap_low,0.8,0.7431463599205018,0.6117021276595744,2021-11-01,2024-12-10,2024-12-11,2025-06-20,2025-06-23,2025-09-17,2,1.0,0.008,0.008,0.016064000000000078,0.0,inf
