symbol,updated_at
000001.SZ,2026-06-27 23:00:58
000002.SZ,2026-06-27 23:01:00
000009.SZ,2026-06-27 23:01:02
000021.SZ,2026-06-27 23:01:05
000027.SZ,2026-06-27 23:01:07
000032.SZ,2026-06-27 23:01:08
000034.SZ,2026-06-27 23:01:11
000039.SZ,2026-06-27 23:01:13
000050.SZ,2026-06-27 23:01:14
000060.SZ,2026-06-27 23:01:17
000062.SZ,2026-06-27 23:01:18
000063.SZ,2026-06-27 23:01:20
000066.SZ,2026-06-27 23:01:21
000088.SZ,2026-06-27 23:01:22
000089.SZ,2026-06-27 23:01:24
000099.SZ,2026-06-27 23:01:25
000100.SZ,2026-06-27 23:01:26
000155.SZ,2026-06-27 23:01:30
000157.SZ,2026-06-27 23:01:31
000158.SZ,2026-06-27 23:01:33
000166.SZ,2026-06-27 23:01:35
000301.SZ,2026-06-27 23:01:36
000333.SZ,2026-06-27 23:01:38
000338.SZ,2026-06-27 23:01:40
000400.SZ,2026-06-27 23:01:42
000408.SZ,2026-06-27 23:01:43
000415.SZ,2026-06-27 23:01:45
000422.SZ,2026-06-27 23:01:46
000423.SZ,2026-06-27 23:01:48
000425.SZ,2026-06-27 23:01:49
000426.SZ,2026-06-27 23:01:50
000429.SZ,2026-06-27 23:01:54
000513.SZ,2026-06-27 23:01:56
000519.SZ,2026-06-27 23:01:57
000528.SZ,2026-06-27 23:01:59
000534.SZ,2026-06-27 23:02:00
000537.SZ,2026-06-27 23:02:02
000538.SZ,2026-06-27 23:02:05
000539.SZ,2026-06-27 23:02:07
000543.SZ,2026-06-27 23:02:09
000547.SZ,2026-06-27 23:02:11
000553.SZ,2026-06-27 23:02:12
000559.SZ,2026-06-27 23:02:15
000563.SZ,2026-06-27 23:02:16
000564.SZ,2026-06-27 23:02:17
000568.SZ,2026-06-27 23:02:18
000581.SZ,2026-06-27 23:02:20
000582.SZ,2026-06-27 23:02:21
000591.SZ,2026-06-27 23:02:22
000592.SZ,2026-06-27 23:02:25
000596.SZ,2026-06-27 23:02:27
000598.SZ,2026-06-27 23:02:29
000603.SZ,2026-06-27 23:02:30
000612.SZ,2026-06-27 23:02:31
000617.SZ,2026-06-27 23:02:32
000620.SZ,2026-06-27 23:02:35
000623.SZ,2026-06-27 23:02:37
000625.SZ,2026-06-27 23:02:38
000629.SZ,2026-06-27 23:02:40
000630.SZ,2026-06-27 23:02:41
000636.SZ,2026-06-27 23:02:42
000651.SZ,2026-06-27 23:02:45
000657.SZ,2026-06-27 23:02:47
000661.SZ,2026-06-27 23:02:49
000672.SZ,2026-06-27 23:02:51
000680.SZ,2026-06-27 23:02:52
000681.SZ,2026-06-27 23:02:54
000682.SZ,2026-06-27 23:02:56
000683.SZ,2026-06-27 23:02:57
000685.SZ,2026-06-27 23:02:59
000686.SZ,2026-06-27 23:03:00
000688.SZ,2026-06-27 23:03:02
000700.SZ,2026-06-27 23:03:03
000703.SZ,2026-06-27 23:03:05
000708.SZ,2026-06-27 23:03:07
000709.SZ,2026-06-27 23:03:08
000723.SZ,2026-06-27 23:03:10
000725.SZ,2026-06-27 23:03:11
000728.SZ,2026-06-27 23:03:15
000729.SZ,2026-06-27 23:03:16
000733.SZ,2026-06-27 23:03:18
000737.SZ,2026-06-27 23:03:21
000738.SZ,2026-06-27 23:03:24
000739.SZ,2026-06-27 23:03:26
000750.SZ,2026-06-27 23:03:29
000758.SZ,2026-06-27 23:03:30
000762.SZ,2026-06-27 23:03:32
000766.SZ,2026-06-27 23:03:33
000767.SZ,2026-06-27 23:03:34
000768.SZ,2026-06-27 23:03:36
000776.SZ,2026-06-27 23:03:37
000778.SZ,2026-06-27 23:03:39
000783.SZ,2026-06-27 23:03:42
000785.SZ,2026-06-27 23:03:44
000786.SZ,2026-06-27 23:03:47
000791.SZ,2026-06-27 23:03:50
000800.SZ,2026-06-27 23:03:52
000807.SZ,2026-06-27 23:03:53
000811.SZ,2026-06-27 23:03:55
000825.SZ,2026-06-27 23:03:56
000830.SZ,2026-06-27 23:03:58
000831.SZ,2026-06-27 23:03:59
000858.SZ,2026-06-27 23:04:01
000875.SZ,2026-06-27 23:04:04
000876.SZ,2026-06-27 23:04:06
000877.SZ,2026-06-27 23:04:07
000878.SZ,2026-06-27 23:04:10
000883.SZ,2026-06-27 23:04:11
000887.SZ,2026-06-27 23:04:13
000893.SZ,2026-06-27 23:04:14
000895.SZ,2026-06-27 23:04:16
000898.SZ,2026-06-27 23:04:17
000901.SZ,2026-06-27 23:04:18
000902.SZ,2026-06-27 23:04:20
000921.SZ,2026-06-27 23:04:21
000927.SZ,2026-06-27 23:04:22
000932.SZ,2026-06-27 23:04:25
000933.SZ,2026-06-27 23:04:26
000935.SZ,2026-06-27 23:04:28
000937.SZ,2026-06-27 23:04:29
000938.SZ,2026-06-27 23:04:31
000951.SZ,2026-06-27 23:04:32
000958.SZ,2026-06-27 23:04:34
000959.SZ,2026-06-27 23:04:37
000960.SZ,2026-06-27 23:04:40
000962.SZ,2026-06-27 23:04:43
000963.SZ,2026-06-27 23:04:45
000966.SZ,2026-06-27 23:04:47
000967.SZ,2026-06-27 23:04:49
000969.SZ,2026-06-27 23:04:50
000970.SZ,2026-06-27 23:04:51
000973.SZ,2026-06-27 23:04:53
