symbol,factor_missing,factor_basis,raw_daily_obs,as1455_dates,matched_factor_dates,missing_factor_dates,factor_obs,factor_min,factor_max,factor_jump_dates
000001,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.7853442978160518,1.0,9
000002,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8167794406732597,1.0,4
000009,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9837608989874861,1.0,6
000021,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9445014268132254,1.0,7
000027,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.7334203126839046,1.0,6
000032,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1550,1550,0,1593,0.972886403885867,1.0,6
000034,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.6637304348857234,1.0,7
000039,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1556,1556,0,1593,0.5835361836432476,1.0,6
000050,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9818069839754455,1.0,3
000060,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8936461442772156,1.0,6
000062,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8725922653585831,1.0,11
000063,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1560,1560,0,1593,0.9229374412621123,1.0,6
000066,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9822123412982767,1.0,4
000088,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1545,1545,0,1593,0.8284017720414114,1.0,8
000089,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9537953117256525,1.0,4
000099,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9489503733538506,1.0,8
000100,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1560,1560,0,1593,0.805783874367062,1.0,7
000155,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1541,1541,0,1593,0.9697616370203777,1.0,2
000157,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.7638435338185573,1.0,7
000158,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9978479196556672,1.0,1
000166,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9058125398158552,1.0,8
000301,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1550,1550,0,1593,0.9445476330522812,1.0,5
000333,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8000758692884097,1.0,7
000338,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8283195158734111,1.0,12
000400,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9432618744212442,1.0,9
000408,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1554,1554,0,1593,0.8151384676441161,1.0,7
000415,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,1.0,1.0,0
000422,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1560,1560,0,1593,0.9338596358691547,1.0,4
000423,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8317478086162631,1.0,9
000425,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1538,1538,0,1593,0.8664654786721132,1.0,6
000426,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9897864958291658,1.0,3
000429,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.7281919327813288,1.0,6
000513,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8182544163183184,1.0,6
000519,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.987621006928094,1.0,4
000528,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1540,1540,0,1593,0.8371845930248429,1.0,7
000534,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9704714289115883,1.0,6
000537,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8601255094635942,1.0,7
000538,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.5626498110488632,1.0,9
000539,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.928439270880073,1.0,4
000543,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8806543695035275,1.0,5
000547,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9858399397367178,1.0,4
000553,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9924553459059755,1.0,4
000559,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1551,1551,0,1593,0.8174290062975523,1.0,7
000563,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8931022037532722,1.0,11
000564,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1551,1551,0,1593,0.4205607476635514,1.0,1
000568,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8507483914763209,1.0,8
000581,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.7299886711045841,1.0,8
000582,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8606771281179478,1.0,9
000591,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8550833894689271,1.0,8
000592,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1558,1558,0,1593,1.0,1.0,0
000596,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8981219164344793,1.0,8
000598,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8796356888467942,1.0,6
000603,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1545,1545,0,1593,0.9754128795246837,1.0,4
000612,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1546,1546,0,1593,0.9032272998019741,1.0,7
000617,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.6182596122026622,1.0,8
000620,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1558,1558,0,1593,1.0,1.0,0
000623,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.864798792276319,1.0,8
000625,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.5022356935534672,1.0,6
000629,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,1.0,1.0,0
000630,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1551,1551,0,1593,0.8719213489481223,1.0,8
000636,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9641771338201394,1.0,6
000651,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.6768950433132527,1.0,11
000657,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1551,1551,0,1593,0.7335377077097349,1.0,5
000661,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.46281580985863546,1.0,7
000672,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.6132459707432417,1.0,7
