symbol,source_path,daily_cache_path,timestamp_meta_path,bar_times_observed,status,rows,error
000001,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000001_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000001_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000001_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1561,
000002,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000002_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000002_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000002_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1561,
000009,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000009_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000009_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000009_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1561,
000021,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000021_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000021_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000021_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1561,
000027,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000027_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000027_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000027_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1561,
000032,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000032_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000032_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000032_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1550,
000034,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000034_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000034_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000034_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1561,
000039,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000039_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000039_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000039_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1556,
000050,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000050_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000050_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000050_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1561,
000060,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000060_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000060_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000060_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1561,
