column,actual,matches_expected_position
dollar_vol,dollar_vol,True
dollar_vol_rank,dollar_vol_rank,True
rsi,rsi,True
bb_high,bb_high,True
bb_low,bb_low,True
NATR,NATR,True
ATR,ATR,True
PPO,PPO,True
MACD,MACD,True
sector,sector,True
r01,r01,True
r05,r05,True
r10,r10,True
r21,r21,True
r42,r42,True
r63,r63,True
r01dec,r01dec,True
r05dec,r05dec,True
r10dec,r10dec,True
r21dec,r21dec,True
r42dec,r42dec,True
r63dec,r63dec,True
r01q_sector,r01q_sector,True
r05q_sector,r05q_sector,True
r10q_sector,r10q_sector,True
r21q_sector,r21q_sector,True
r42q_sector,r42q_sector,True
r63q_sector,r63q_sector,True
r01_fwd,r01_fwd,True
r05_fwd,r05_fwd,True
r21_fwd,r21_fwd,True
year,year,True
month,month,True
weekday,weekday,True
