date,sample_count
2010-04-09,259
2010-04-12,405
2010-04-13,458
2010-04-14,478
2010-04-15,469
2010-04-16,471
2010-04-19,497
2010-04-20,488
2010-04-21,496
2010-04-22,491
2010-04-23,487
2010-04-26,496
2010-04-27,491
2010-04-28,496
2010-04-29,497
2010-04-30,506
2010-05-04,511
2010-05-05,508
2010-05-06,504
2010-05-07,503
2010-05-10,503
2010-05-11,506
2010-05-12,507
2010-05-13,509
2010-05-14,503
2010-05-17,508
2010-05-18,487
2010-05-19,511
2010-05-20,505
2010-05-21,511
2010-05-24,513
2010-05-25,509
2010-05-26,511
2010-05-27,509
2010-05-28,502
2010-05-31,519
2010-06-01,522
2010-06-02,522
2010-06-03,515
2010-06-04,517
2010-06-07,520
2010-06-08,518
2010-06-09,521
2010-06-10,514
2010-06-11,518
2010-06-17,504
2010-06-18,499
2010-06-21,518
2010-06-22,510
2010-06-23,514
2010-06-24,521
2010-06-25,513
2010-06-28,507
2010-06-29,517
2010-06-30,517
2010-07-01,527
2010-07-02,526
2010-07-05,523
2010-07-06,525
2010-07-07,526
2010-07-08,525
2010-07-09,521
2010-07-12,526
2010-07-13,528
2010-07-14,528
2010-07-15,525
2010-07-16,523
2010-07-19,528
2010-07-20,528
2010-07-21,527
2010-07-22,525
2010-07-23,524
2010-07-26,520
2010-07-27,521
2010-07-28,515
2010-07-29,518
2010-07-30,521
2010-08-02,527
2010-08-03,533
2010-08-04,530
2010-08-05,528
2010-08-06,528
2010-08-09,526
2010-08-10,525
2010-08-11,528
2010-08-12,525
2010-08-13,525
2010-08-16,519
2010-08-17,528
2010-08-18,527
2010-08-19,526
2010-08-20,532
2010-08-23,531
2010-08-24,535
2010-08-25,533
2010-08-26,538
2010-08-27,530
2010-08-30,528
2010-08-31,545
2010-09-01,545
2010-09-02,539
2010-09-03,540
2010-09-06,542
2010-09-07,542
2010-09-08,537
2010-09-09,545
2010-09-10,544
2010-09-13,542
2010-09-14,547
2010-09-15,539
2010-09-16,545
2010-09-17,546
2010-09-20,542
2010-09-21,548
2010-09-27,541
2010-09-28,548
2010-09-29,547
2010-09-30,554
2010-10-08,555
2010-10-11,554
2010-10-12,552
2010-10-13,549
2010-10-14,549
2010-10-15,547
2010-10-18,547
2010-10-19,547
2010-10-20,550
2010-10-21,553
2010-10-22,551
2010-10-25,547
2010-10-26,547
2010-10-27,545
2010-10-28,547
2010-10-29,553
2010-11-01,554
2010-11-02,556
2010-11-03,555
2010-11-04,554
2010-11-05,555
2010-11-08,545
2010-11-09,551
2010-11-10,548
2010-11-11,543
