date,sample_count
2010-01-04,522
2010-01-05,520
2010-01-06,519
2010-01-07,524
2010-01-08,518
2010-01-11,518
2010-01-12,524
2010-01-13,524
2010-01-14,526
2010-01-15,518
2010-01-18,526
2010-01-19,524
2010-01-20,525
2010-01-21,527
2010-01-22,526
2010-01-25,522
2010-01-26,529
2010-01-27,528
2010-01-28,530
2010-01-29,529
2010-02-01,529
2010-02-02,530
2010-02-03,527
2010-02-04,532
2010-02-05,533
2010-02-08,527
2010-02-09,533
2010-02-10,537
2010-02-11,534
2010-02-12,540
2010-02-22,537
2010-02-23,535
2010-02-24,535
2010-02-25,531
2010-02-26,526
2010-03-01,530
2010-03-02,526
2010-03-03,530
2010-03-04,535
2010-03-05,533
2010-03-08,533
2010-03-09,539
2010-03-10,536
2010-03-11,536
2010-03-12,538
2010-03-15,534
2010-03-16,541
2010-03-17,541
2010-03-18,535
2010-03-19,540
2010-03-22,536
2010-03-23,538
2010-03-24,541
2010-03-25,530
2010-03-26,536
2010-03-29,536
2010-03-30,535
2010-03-31,530
2010-04-01,543
2010-04-02,539
2010-04-06,541
2010-04-07,536
2010-04-08,536
2010-04-09,533
2010-04-12,534
2010-04-13,539
2010-04-14,544
2010-04-15,529
2010-04-16,524
2010-04-19,544
2010-04-20,529
2010-04-21,539
2010-04-22,532
2010-04-23,525
2010-04-26,533
2010-04-27,530
2010-04-28,535
2010-04-29,535
2010-04-30,544
2010-05-04,548
2010-05-05,547
2010-05-06,542
2010-05-07,540
2010-05-10,538
2010-05-11,543
2010-05-12,544
2010-05-13,546
2010-05-14,537
2010-05-17,537
2010-05-18,517
2010-05-19,540
2010-05-20,536
2010-05-21,539
2010-05-24,543
2010-05-25,542
2010-05-26,547
2010-05-27,542
2010-05-28,537
2010-05-31,552
2010-06-01,556
2010-06-02,556
2010-06-03,551
2010-06-04,553
2010-06-07,556
2010-06-08,555
2010-06-09,558
2010-06-10,555
2010-06-11,558
2010-06-17,545
2010-06-18,541
2010-06-21,557
2010-06-22,549
2010-06-23,554
2010-06-24,561
2010-06-25,551
2010-06-28,546
2010-06-29,556
2010-06-30,556
2010-07-01,566
2010-07-02,564
2010-07-05,561
2010-07-06,563
2010-07-07,562
2010-07-08,561
2010-07-09,558
2010-07-12,563
2010-07-13,566
2010-07-14,565
2010-07-15,563
2010-07-16,560
2010-07-19,564
2010-07-20,565
2010-07-21,565
2010-07-22,563
2010-07-23,561
2010-07-26,558
2010-07-27,559
2010-07-28,551
2010-07-29,554
2010-07-30,557
2010-08-02,560
2010-08-03,569
2010-08-04,566
2010-08-05,564
2010-08-06,564
2010-08-09,563
2010-08-10,564
2010-08-11,567
2010-08-12,564
2010-08-13,563
2010-08-16,556
2010-08-17,567
2010-08-18,569
2010-08-19,565
2010-08-20,568
2010-08-23,568
2010-08-24,572
2010-08-25,570
2010-08-26,571
2010-08-27,562
2010-08-30,559
2010-08-31,576
2010-09-01,575
2010-09-02,572
2010-09-03,574
2010-09-06,575
2010-09-07,574
2010-09-08,571
2010-09-09,577
2010-09-10,577
2010-09-13,572
2010-09-14,578
2010-09-15,569
2010-09-16,576
2010-09-17,576
2010-09-20,574
2010-09-21,578
2010-09-27,570
2010-09-28,580
2010-09-29,582
2010-09-30,588
2010-10-08,588
2010-10-11,589
2010-10-12,586
2010-10-13,584
2010-10-14,584
2010-10-15,583
2010-10-18,581
2010-10-19,584
2010-10-20,586
2010-10-21,590
2010-10-22,587
2010-10-25,584
2010-10-26,583
2010-10-27,581
2010-10-28,583
2010-10-29,589
2010-11-01,589
2010-11-02,594
2010-11-03,593
2010-11-04,591
2010-11-05,591
2010-11-08,583
2010-11-09,592
2010-11-10,590
2010-11-11,583
2010-11-12,587
2010-11-15,592
2010-11-16,588
2010-11-17,593
2010-11-18,589
2010-11-19,595
2010-11-22,592
2010-11-23,592
2010-11-24,601
2010-11-25,602
2010-11-26,595
2010-11-29,600
2010-11-30,601
2010-12-01,603
2010-12-02,599
2010-12-03,593
2010-12-06,596
2010-12-07,605
2010-12-08,607
2010-12-09,607
2010-12-10,602
2010-12-13,601
2010-12-14,612
2010-12-15,602
2010-12-16,609
2010-12-17,607
2010-12-20,605
2010-12-21,606
2010-12-22,602
2010-12-23,599
2010-12-24,608
2010-12-27,594
2010-12-28,597
2010-12-29,601
2010-12-30,600
2010-12-31,613
2011-01-04,614
2011-01-05,612
2011-01-06,610
2011-01-07,612
2011-01-10,613
2011-01-11,615
2011-01-12,618
2011-01-13,617
2011-01-14,614
2011-01-17,613
2011-01-18,610
2011-01-19,615
2011-01-20,611
2011-01-21,614
2011-01-24,613
2011-01-25,614
2011-01-26,613
2011-01-27,616
2011-01-28,619
2011-01-31,621
2011-02-01,627
2011-02-09,626
2011-02-10,622
2011-02-11,621
2011-02-14,619
2011-02-15,611
2011-02-16,620
2011-02-17,624
2011-02-18,609
2011-02-21,616
2011-02-22,617
2011-02-23,616
2011-02-24,623
2011-02-25,617
