code,name,board,industry,marketcap,sector
601288,农业银行,sh_mainboard,J66货币金融服务,2132726710534.351,0
601398,工商银行,sh_mainboard,J66货币金融服务,2041011676864.9668,0
300750,宁德时代,chinext,C38电气机械和器材制造业,1694748805139.373,1
601857,中国石油,sh_mainboard,B07石油和天然气开采业,1640139500893.3936,2
600519,贵州茅台,sh_mainboard,C15酒、饮料和精制茶制造业,1588999101479.2898,3
601138,工业富联,sh_mainboard,C39计算机、通信和其他电子设备制造业,1456551722733.3738,4
300308,中际旭创,chinext,C39计算机、通信和其他电子设备制造业,1381860527099.215,4
601988,中国银行,sh_mainboard,J66货币金融服务,1292355062643.1716,0
600036,招商银行,sh_mainboard,J66货币金融服务,803501457218.2356,0
601628,中国人寿,sh_mainboard,J68保险业,760659244104.5022,5
601088,中国神华,sh_mainboard,B06煤炭开采和洗选业,715574595788.8562,6
300502,新易盛,chinext,C39计算机、通信和其他电子设备制造业,677910509592.9319,4
600900,长江电力,sh_mainboard,D44电力、热力生产和供应业,674586794634.1464,7
601899,紫金矿业,sh_mainboard,B09有色金属矿采选业,645043005252.1415,8
601318,中国平安,sh_mainboard,J68保险业,578096690996.8354,5
000333,美的集团,sz_mainboard,C38电气机械和器材制造业,555344174230.4645,1
002475,立讯精密,sz_mainboard,C39计算机、通信和其他电子设备制造业,495388950640.9496,4
002371,北方华创,sz_mainboard,C35专用设备制造业,494109121371.76935,9
600028,中国石化,sh_mainboard,B07石油和天然气开采业,472851391610.5328,2
600183,生益科技,sh_mainboard,C39计算机、通信和其他电子设备制造业,398470063681.375,4
601166,兴业银行,sh_mainboard,J66货币金融服务,385785401796.74457,0
603993,洛阳钼业,sh_mainboard,B09有色金属矿采选业,365285699304.2461,8
603986,兆易创新,sh_mainboard,C39计算机、通信和其他电子设备制造业,345944152112.2139,4
002384,东山精密,sz_mainboard,C39计算机、通信和其他电子设备制造业,331760515085.0883,4
600030,中信证券,sh_mainboard,J67资本市场服务,327065426121.23126,10
600000,浦发银行,sh_mainboard,J66货币金融服务,317384946728.04535,0
002594,比亚迪,sz_mainboard,C36汽车制造业,316656326422.4853,11
601998,中信银行,sh_mainboard,J66货币金融服务,311050345922.7642,0
000858,五粮液,sz_mainboard,C15酒、饮料和精制茶制造业,309083455836.1472,3
600276,恒瑞医药,sh_mainboard,C27医药制造业,305424530703.259,12
300476,胜宏科技,chinext,C39计算机、通信和其他电子设备制造业,298060642857.1429,4
300408,三环集团,chinext,C39计算机、通信和其他电子设备制造业,280939454054.5405,4
002415,海康威视,sz_mainboard,C39计算机、通信和其他电子设备制造业,277821154196.33417,4
600150,中国船舶,sh_mainboard,C37铁路、船舶、航空航天和其他运输设备制造业,270243743175.34503,13
002916,深南电路,sz_mainboard,C39计算机、通信和其他电子设备制造业,265795307042.9132,4
002463,沪电股份,sz_mainboard,C39计算机、通信和其他电子设备制造业,257194778130.8066,4
601319,中国人保,sh_mainboard,J68保险业,254187321762.214,5
300059,东方财富,chinext,J67资本市场服务,252245246211.4225,10
603259,药明康德,sh_mainboard,M73研究和试验发展,245767657752.7954,14
601225,陕西煤业,sh_mainboard,B06煤炭开采和洗选业,244896278473.28247,6
600487,亨通光电,sh_mainboard,C38电气机械和器材制造业,242757927945.9337,1
002938,鹏鼎控股,sz_mainboard,C39计算机、通信和其他电子设备制造业,241653001572.6825,4
300394,天孚通信,chinext,C39计算机、通信和其他电子设备制造业,237145589604.1667,4
300274,阳光电源,chinext,C38电气机械和器材制造业,236698675475.12503,1
601211,国泰海通,sh_mainboard,J67资本市场服务,236058994254.9561,10
600309,万华化学,sh_mainboard,C26化学原料和化学制品制造业,230089342544.4525,15
300433,蓝思科技,chinext,C39计算机、通信和其他电子设备制造业,228506995938.54785,4
601601,中国太保,sh_mainboard,J68保险业,227598425474.2548,5
600919,江苏银行,sh_mainboard,J66货币金融服务,216726701124.5036,0
000001,平安银行,sz_mainboard,J66货币金融服务,214631927482.3944,0
