column,na_count,na_ratio
dollar_vol,0,0.0
dollar_vol_rank,0,0.0
rsi,13818,0.004104249968961201
bb_high,18753,0.0055700535293044875
bb_low,18753,0.0055700535293044875
NATR,13818,0.004104249968961201
ATR,13818,0.004104249968961201
PPO,24675,0.00732901780171643
MACD,32571,0.009674303498265688
sector,0,0.0
r01,987,0.00029316071206865723
r05,4935,0.0014658035603432862
r10,9870,0.0029316071206865724
r21,20727,0.006156374953441802
r42,41454,0.012312749906883604
r63,62181,0.018469124860325405
r01dec,987,0.00029316071206865723
r05dec,4935,0.0014658035603432862
r10dec,9870,0.0029316071206865724
r21dec,20727,0.006156374953441802
r42dec,41454,0.012312749906883604
r63dec,62181,0.018469124860325405
r01q_sector,36293,0.01077981937498255
r05q_sector,40087,0.011906720835558523
r10q_sector,44967,0.013356188186009432
r21q_sector,55708,0.01654650146699165
r42q_sector,76264,0.02265208565876806
r63q_sector,96769,0.028742521728644266
r01_fwd,987,0.00029316071206865723
r05_fwd,4935,0.0014658035603432862
r21_fwd,20727,0.006156374953441802
year,0,0.0
month,0,0.0
weekday,0,0.0
