symbol,nobs
000001,3922
000002,3837
000009,3882
000021,3961
000027,3942
000032,3708
000034,3376
000039,3955
000050,3782
000060,3971
000062,3871
000063,3905
000066,3752
000088,3900
000089,3983
000099,3862
000100,3776
000155,3451
000157,3979
000158,3900
000166,2735
000301,3807
000333,3031
000338,3984
000400,3920
000408,3774
000415,3428
000422,3926
000423,3983
000425,3934
000426,3667
000429,3844
000513,3888
000519,3787
000528,3955
000534,3592
000537,3845
000538,3825
000539,3871
000543,3950
000547,3540
000553,3596
000559,3962
000563,3881
000564,3508
000568,3954
000581,3977
000582,3690
000591,3872
000592,3811
000596,3982
000598,3972
000603,3733
000612,3716
000617,3854
000620,3591
000623,3978
000625,3890
000629,3494
000630,3814
000636,3814
000651,3824
000657,3135
000661,3939
000672,3085
000680,3982
000681,3088
000682,3778
000683,3861
000685,3961
000686,3971
000688,2923
000700,3864
000703,3874
000708,3875
000709,3928
000723,3683
000725,3976
000728,3955
000729,3983
000733,3956
000737,3921
000738,3953
000739,3886
000750,3550
000758,3949
000762,3912
000766,3556
000767,3840
000768,3961
000776,3945
000778,3916
000783,3967
000785,3808
000786,3841
000791,3908
000800,3958
000807,3878
000811,3893
000825,3878
000830,3973
000831,3511
000858,3928
000875,3858
000876,3805
000877,3940
000878,3828
000883,3850
000887,3767
000893,3685
000895,3774
000898,3982
000901,3842
000902,3850
000921,3965
000927,3897
000932,3818
000933,3954
000935,3713
000937,3977
000938,3781
000951,3988
000958,3868
000959,3584
000960,3881
000962,3808
000963,3945
000966,3969
000967,3763
000969,3895
000970,3968
000973,3847
000975,3657
000977,3909
000981,3242
000983,3974
000987,3807
000988,3977
000997,3837
000999,3912
001696,3835
001872,3701
001896,3847
001965,2053
001979,2522
002001,3968
002007,3974
002008,3967
002010,3842
002015,3446
002025,3794
002027,3887
002028,3986
002032,3982
002044,3683
002046,3891
002048,3871
002049,3698
002050,3868
002051,3790
002056,3977
002064,3969
002065,3677
002074,3764
002078,3952
002080,3858
002081,3928
002085,3833
002120,3870
002126,3904
002128,3837
002129,3515
002130,3901
002131,3655
002138,3978
002142,3976
002145,3659
002149,3922
002151,3793
002152,3926
002155,3904
002156,3887
002157,3881
002158,3975
002171,3742
002176,3835
002179,3979
002180,3650
002181,3881
002183,3837
002185,3959
002192,3866
002195,3896
002202,3970
002203,3751
002208,3954
002222,3987
002223,3912
002230,3908
002236,3970
002237,3964
002240,3703
002241,3969
002244,3976
002245,3946
002249,3868
002252,3500
002254,3942
002261,3820
002262,3988
002265,3873
002266,3831
002270,3788
002271,3970
002273,3919
002281,3927
002290,3845
002294,3988
002297,3746
002299,3867
002304,3982
002311,3968
002312,3581
002317,3920
002318,3956
002320,3834
002326,3871
002335,3862
002340,3890
002352,3911
002353,3849
002364,3890
002371,3864
002372,3932
002378,3900
002379,3573
002384,3717
002389,3645
002396,3672
002402,3879
002405,3761
002407,3806
002408,3720
002409,3594
002410,3853
002413,3640
002414,3772
002415,3841
002416,3818
002422,3864
002423,3719
002428,3872
002429,3787
002430,3862
002432,3841
002436,3721
002444,3856
002456,3769
002459,3755
002460,3757
002461,3788
002463,3831
002465,3683
002466,3672
002468,3689
002472,3807
002475,3792
002484,3807
002487,3781
002491,3559
002493,3782
002497,3728
002498,3711
002500,3660
002506,3371
002507,3585
002508,3771
002517,3491
002518,3736
002531,3700
002532,3631
002534,3692
002536,3728
002544,3572
002545,3491
002552,3622
002555,3428
002558,3342
002565,3626
002568,3623
002594,3620
002595,3630
002600,3365
002601,3515
002603,3592
002608,3204
002611,3341
002617,3214
002624,3165
002625,3236
002636,3410
002643,3394
002645,3357
002648,3483
002653,3491
002654,3156
002670,3201
002673,3410
002683,3223
002709,2983
002714,2982
002716,2816
002733,2785
002736,2766
002738,2654
002739,2317
002741,2705
002747,2672
002756,2558
002759,2605
002768,2658
002773,2664
002779,2509
002797,2434
002812,2267
002815,2350
002821,2323
002831,2303
002837,2218
002838,2264
002841,2280
002850,2255
002851,2173
002859,2221
002865,2219
002867,2217
002895,2130
002896,2130
002897,2125
002906,2104
002911,2076
002913,2069
002916,2059
002920,2052
002922,2047
002925,2037
002926,2024
002929,2011
002938,1873
002939,1851
002945,1794
002946,1788
002947,1783
002948,1789
002958,1751
300001,3899
300002,3874
300003,3871
300005,3907
300012,3894
300014,3930
300015,3968
300017,3938
300024,3982
300033,3972
300034,3895
300037,3899
300054,3830
300058,3750
300059,3878
300073,3796
300083,3768
300085,3682
300088,3440
300100,3578
300102,3751
300115,3794
300122,3738
300124,3793
300131,3420
300136,3717
300142,3510
300144,3675
300166,3507
300170,3659
300179,3562
300184,3379
300199,3532
300201,3330
300207,3626
300209,3344
300223,3406
300229,3488
300236,3594
300251,3491
300253,3528
300255,3567
300257,3546
300260,3504
300263,3444
300274,3521
300285,3364
300296,3282
300302,3426
300304,3430
300308,3276
300316,3321
300319,3166
300323,3057
300328,3360
300331,3234
300339,3226
300342,3292
300346,3299
