code,code_name,ipoDate,outDate,type,status,code6,baostock_code,name,list_date,out_date,board
sh.000001,上证综合指数,1991-07-15,,2,1,000001,sh.000001,上证综合指数,1991-07-15,,sz_mainboard
sh.000002,上证A股指数,1992-02-21,,2,1,000002,sh.000002,上证A股指数,1992-02-21,,sz_mainboard
sh.000003,上证B股指数,1992-08-17,,2,1,000003,sh.000003,上证B股指数,1992-08-17,,sz_mainboard
sh.000004,上证工业类指数,1993-05-03,,2,1,000004,sh.000004,上证工业类指数,1993-05-03,,sz_mainboard
sh.000005,上证商业类指数,1993-05-03,,2,1,000005,sh.000005,上证商业类指数,1993-05-03,,sz_mainboard
sh.000006,上证房地产指数,1993-05-03,,2,1,000006,sh.000006,上证房地产指数,1993-05-03,,sz_mainboard
sh.000007,上证公用事业指数,1993-05-03,,2,1,000007,sh.000007,上证公用事业指数,1993-05-03,,sz_mainboard
sh.000008,上证综合业类指数,1993-05-03,,2,1,000008,sh.000008,上证综合业类指数,1993-05-03,,sz_mainboard
sh.000009,上证380,2010-11-29,,2,1,000009,sh.000009,上证380,2010-11-29,,sz_mainboard
sh.000010,上证180指数,2002-07-01,,2,1,000010,sh.000010,上证180指数,2002-07-01,,sz_mainboard
sh.000011,上证基金指数,2000-06-09,,2,1,000011,sh.000011,上证基金指数,2000-06-09,,sz_mainboard
sh.000012,上证国债指数,2003-01-02,,2,1,000012,sh.000012,上证国债指数,2003-01-02,,sz_mainboard
sh.000013,上证企业债指数,2003-06-09,,2,1,000013,sh.000013,上证企业债指数,2003-06-09,,sz_mainboard
sh.000015,上证红利指数,2005-01-04,,2,1,000015,sh.000015,上证红利指数,2005-01-04,,sz_mainboard
sh.000016,上证50指数,2004-01-02,,2,1,000016,sh.000016,上证50指数,2004-01-02,,sz_mainboard
sh.000017,新上证综指,2006-01-04,,2,1,000017,sh.000017,新上证综指,2006-01-04,,sz_mainboard
sh.000018,上证180金融股指数,2007-12-10,,2,1,000018,sh.000018,上证180金融股指数,2007-12-10,,sz_mainboard
sh.000019,上证公司治理指数,2008-01-02,,2,1,000019,sh.000019,上证公司治理指数,2008-01-02,,sz_mainboard
sh.000020,上证中型企业综合指数,2008-05-12,,2,1,000020,sh.000020,上证中型企业综合指数,2008-05-12,,sz_mainboard
sh.000021,上证180公司治理指数,2008-09-10,,2,1,000021,sh.000021,上证180公司治理指数,2008-09-10,,sz_mainboard
sh.000022,沪公司债,2008-11-19,,2,1,000022,sh.000022,沪公司债,2008-11-19,,sz_mainboard
sh.000025,上证180基建指数,2008-12-15,,2,1,000025,sh.000025,上证180基建指数,2008-12-15,,sz_mainboard
sh.000026,上证180资源指数,2008-12-15,,2,1,000026,sh.000026,上证180资源指数,2008-12-15,,sz_mainboard
sh.000027,上证180交通运输指数,2008-12-15,,2,1,000027,sh.000027,上证180交通运输指数,2008-12-15,,sz_mainboard
sh.000028,上证180成长指数,2009-01-09,,2,1,000028,sh.000028,上证180成长指数,2009-01-09,,sz_mainboard
sh.000029,上证180价值指数,2009-01-09,,2,1,000029,sh.000029,上证180价值指数,2009-01-09,,sz_mainboard
sh.000030,上证180相对成长指数,2009-01-09,,2,1,000030,sh.000030,上证180相对成长指数,2009-01-09,,sz_mainboard
sh.000031,上证180相对价值指数,2009-01-09,,2,1,000031,sh.000031,上证180相对价值指数,2009-01-09,,sz_mainboard
sh.000032,上证能源行业指数,2009-01-09,,2,1,000032,sh.000032,上证能源行业指数,2009-01-09,,sz_mainboard
sh.000033,上证原材料行业指数,2009-01-09,,2,1,000033,sh.000033,上证原材料行业指数,2009-01-09,,sz_mainboard
sh.000034,上证工业行业指数,2009-01-09,,2,1,000034,sh.000034,上证工业行业指数,2009-01-09,,sz_mainboard
sh.000035,上证可选消费行业指数,2009-01-09,,2,1,000035,sh.000035,上证可选消费行业指数,2009-01-09,,sz_mainboard
sh.000036,上证主要消费行业指数,2009-01-09,,2,1,000036,sh.000036,上证主要消费行业指数,2009-01-09,,sz_mainboard
sh.000037,上证医药卫生行业指数,2009-01-09,,2,1,000037,sh.000037,上证医药卫生行业指数,2009-01-09,,sz_mainboard
sh.000038,上证金融地产行业指数,2009-01-09,,2,1,000038,sh.000038,上证金融地产行业指数,2009-01-09,,sz_mainboard
sh.000039,上证信息技术行业指数,2009-01-09,,2,1,000039,sh.000039,上证信息技术行业指数,2009-01-09,,sz_mainboard
sh.000040,上证电信业务行业指数,2009-01-09,,2,1,000040,sh.000040,上证电信业务行业指数,2009-01-09,,sz_mainboard
sh.000041,上证公用事业行业指数,2009-01-09,,2,1,000041,sh.000041,上证公用事业行业指数,2009-01-09,,sz_mainboard
sh.000042,上证中央企业50指数,2009-03-30,,2,1,000042,sh.000042,上证中央企业50指数,2009-03-30,,sz_mainboard
sh.000043,上证超级大盘指数,2009-04-23,,2,1,000043,sh.000043,上证超级大盘指数,2009-04-23,,sz_mainboard
sh.000044,上证中盘,2009-07-03,,2,1,000044,sh.000044,上证中盘,2009-07-03,,sz_mainboard
sh.000045,上证小盘,2009-07-03,,2,1,000045,sh.000045,上证小盘,2009-07-03,,sz_mainboard
sh.000046,上证中小,2009-07-03,,2,1,000046,sh.000046,上证中小,2009-07-03,,sz_mainboard
sh.000047,上证全指,2009-07-03,,2,1,000047,sh.000047,上证全指,2009-07-03,,sz_mainboard
sh.000048,责任指数,2009-08-05,,2,1,000048,sh.000048,责任指数,2009-08-05,,sz_mainboard
sh.000049,上证民企,2009-08-25,,2,1,000049,sh.000049,上证民企,2009-08-25,,sz_mainboard
sh.000050,50等权,2011-01-04,,2,1,000050,sh.000050,50等权,2011-01-04,,sz_mainboard
