code,baostock_code,name,board,industry,industryClassification,list_date,asof_date,history_start,history_end,history_rows,valid_days_7y,valid_ratio_7y,valid_days_252,has_recent_st,is_current_st,recent_close,recent_turn,recent_volume,recent_amount,approx_float_shares,implied_float_shares_5d_median,implied_float_shares_5d_min,implied_float_shares_5d_max,implied_float_shares_5d_obs,implied_float_shares_5d_range_pct,implied_float_shares_unstable_3pct,implied_float_shares_unstable_5pct,approx_circ_mv,pass_90,pass_95,pass_recent,pass_current_trade,pass_st,error
601288,sh.601288,农业银行,sh_mainboard,J66货币金融服务,证监会行业分类,2010-07-15,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,6.68,0.1319,421007726.0,2829934947.52,319187055344.9583,319270465648.855,319152110445.77515,319334218253.96826,5,0.0005703872665547583,False,False,2132726710534.351,True,True,True,True,True,
601398,sh.601398,工商银行,sh_mainboard,J66货币金融服务,证监会行业分类,2006-10-27,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,7.57,0.1672,450706202.0,3432111561.06,269561125598.08615,269618451369.21622,269561125598.08615,269675213630.40625,5,0.00042314623402337707,False,False,2041011676864.9668,True,True,True,True,True,
300750,sz.300750,宁德时代,chinext,C38电气机械和器材制造业,证监会行业分类,2018-06-11,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,398.1,0.8004,34074882.0,13613555701.18,4257231634.182908,4257093205.5749135,4256923942.3229284,4257231634.182908,5,7.22774543852338e-05,False,False,1694748805139.373,True,True,True,True,True,
601857,sh.601857,中国石油,sh_mainboard,B07石油和天然气开采业,证监会行业分类,2007-11-05,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,10.13,0.1332,215662963.0,2198452700.0,161909131381.38138,161909131381.38138,161906625923.43854,161963883615.8192,5,0.0003536409088984871,False,False,1640139500893.3936,True,True,True,True,True,
600519,sh.600519,贵州茅台,sh_mainboard,C15酒、饮料和精制茶制造业,证监会行业分类,2001-08-27,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,1271.1,0.3327,4158556.0,5303656129.29,1249941689.209498,1250097633.1360946,1249893225.6617317,1250211532.3351386,5,0.00025462545082043705,False,False,1588999101479.2898,True,True,True,True,True,
601138,sh.601138,工业富联,sh_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2018-06-08,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,73.4,0.8195,162621817.0,11779207885.87,19844028920.07321,19844028920.07321,19843136350.279167,19844520449.077785,5,6.974888034043493e-05,False,False,1456551722733.3738,True,True,True,True,True,
300308,sz.300308,中际旭创,chinext,C39计算机、通信和其他电子设备制造业,证监会行业分类,2012-04-10,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,1245.0,3.0834,34223742.0,40751494524.45,1109935201.4010508,1109928134.2162373,1109919530.7576714,1109946992.2356868,5,2.4741672157733365e-05,False,False,1381860527099.2153,True,True,True,True,True,
601988,sh.601988,中国银行,sh_mainboard,J66货币金融服务,证监会行业分类,2006-07-05,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,6.13,0.1919,404385541.0,2490148325.63,210727223032.82962,210824643171.80615,210727223032.82962,210834179423.86832,5,0.0005073239514582501,False,False,1292355062643.1716,True,True,True,True,True,
600036,sh.600036,招商银行,sh_mainboard,J66货币金融服务,证监会行业分类,2002-04-09,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,38.95,0.4738,97740434.0,3811793413.37,20629048965.808357,20629048965.808357,20626440666.204025,20630690862.196022,5,0.00020602966230005357,False,False,803501457218.2356,True,True,True,True,True,
601628,sh.601628,中国人寿,sh_mainboard,J68保险业,证监会行业分类,2007-01-09,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,36.53,0.3043,63363977.0,2309312797.3,20822864607.295433,20822864607.295433,20820352051.835854,20824626159.554733,5,0.00020526031357771192,False,False,760659244104.5022,True,True,True,True,True,
601088,sh.601088,中国神华,sh_mainboard,B06煤炭开采和洗选业,证监会行业分类,2007-10-09,2026-06-15,2019-06-15,2026-06-15,1697,1687,1.0041666666666667,242,False,False,43.39,0.5447,89819276.0,3939195455.83,16489677987.88324,16491693841.642227,16489668756.530825,16493575118.381403,5,0.00023686844347756315,False,False,715574595788.8562,True,True,True,True,True,
300502,sz.300502,新易盛,chinext,C39计算机、通信和其他电子设备制造业,证监会行业分类,2016-03-03,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,540.49,4.8818,61230163.0,31803945193.18,1254253820.31218,1254251715.2823029,895881663.6695863,1254253832.8573575,5,0.2857258752937882,True,True,677910509592.9319,True,True,True,True,True,
600900,sh.600900,长江电力,sh_mainboard,D44电力、热力生产和供应业,证监会行业分类,2003-11-18,2026-06-15,2019-06-15,2026-06-15,1697,1686,1.0035714285714286,252,False,False,27.57,0.8487,207661158.0,5743667948.04,24468146341.463417,24468146341.463417,24467312725.256443,24469269316.21822,5,7.996482179204228e-05,False,False,674586794634.1464,True,True,True,True,True,
601899,sh.601899,紫金矿业,sh_mainboard,B09有色金属矿采选业,证监会行业分类,2008-04-25,2026-06-15,2019-06-15,2026-06-15,1697,1693,1.0077380952380952,252,False,False,31.31,2.7739,571475639.0,17720187950.24,20601883232.99326,20601820672.377563,20601371505.861137,20602048836.46796,5,3.287722078520548e-05,False,False,645043005252.1415,True,True,True,True,True,
601318,sh.601318,中国平安,sh_mainboard,J68保险业,证监会行业分类,2007-03-01,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,54.23,0.948,101057655.0,5527730147.77,10660090189.873419,10660090189.873419,10659510734.124004,10660764938.271605,5,0.00011765417789725724,False,False,578096690996.8354,True,True,True,True,True,
000333,sz.000333,美的集团,sz_mainboard,C38电气机械和器材制造业,证监会行业分类,2013-09-18,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,80.93,0.6309,43292554.0,3514282135.45,6862031066.730068,6862031066.730068,6861914988.814318,6863098447.204968,5,0.00017246473808441923,False,False,555344174230.4645,True,True,True,True,True,
002475,sz.002475,立讯精密,sz_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2010-09-15,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,68.15,2.2023,160091391.0,10715165049.8,7269281705.489715,7269096854.599406,7269083427.830876,7269281705.489715,5,2.7276794188375e-05,False,False,495388950640.9496,True,True,True,True,True,
002371,sz.002371,北方华创,sz_mainboard,C35专用设备制造业,证监会行业分类,2010-03-16,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,682.22,1.7348,12564025.0,8419209358.38,724234782.1074476,724266543.5955694,724234782.1074476,724269784.3424095,5,4.832783630747493e-05,False,False,494109121371.76935,True,True,True,True,True,
