code,baostock_code,name,board,industry,industryClassification,list_date,asof_date,total_mv,circ_mv,marketcap_source,marketcap_confidence,rank_circ_mv,rank_total_mv,approx_float_shares,implied_float_shares_5d_median,implied_float_shares_5d_obs,implied_float_shares_5d_range_pct,implied_float_shares_unstable_3pct,implied_float_shares_unstable_5pct,history_start,history_end,valid_days_7y,valid_ratio_7y,valid_days_252,has_recent_st,is_current_st,selected_for_train,selected_for_trade
601288,sh.601288,农业银行,sh_mainboard,J66货币金融服务,证监会行业分类,2010-07-15,2026-06-15,,2132726710534.351,baostock_approx_circ_mv,low_confidence_approx,1,1,319187055344.9583,319270465648.855,5,0.0005703872665547,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
601398,sh.601398,工商银行,sh_mainboard,J66货币金融服务,证监会行业分类,2006-10-27,2026-06-15,,2041011676864.9668,baostock_approx_circ_mv,low_confidence_approx,2,2,269561125598.08612,269618451369.21625,5,0.0004231462340233,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
300750,sz.300750,宁德时代,chinext,C38电气机械和器材制造业,证监会行业分类,2018-06-11,2026-06-15,,1694748805139.373,baostock_approx_circ_mv,low_confidence_approx,3,3,4257231634.182908,4257093205.5749135,5,7.22774543852338e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,False
601857,sh.601857,中国石油,sh_mainboard,B07石油和天然气开采业,证监会行业分类,2007-11-05,2026-06-15,,1640139500893.3936,baostock_approx_circ_mv,low_confidence_approx,4,4,161909131381.38138,161909131381.38138,5,0.0003536409088984,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
600519,sh.600519,贵州茅台,sh_mainboard,C15酒、饮料和精制茶制造业,证监会行业分类,2001-08-27,2026-06-15,,1588999101479.2898,baostock_approx_circ_mv,low_confidence_approx,5,5,1249941689.209498,1250097633.1360946,5,0.0002546254508204,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
601138,sh.601138,工业富联,sh_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2018-06-08,2026-06-15,,1456551722733.3738,baostock_approx_circ_mv,low_confidence_approx,6,6,19844028920.07321,19844028920.07321,5,6.974888034043493e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
300308,sz.300308,中际旭创,chinext,C39计算机、通信和其他电子设备制造业,证监会行业分类,2012-04-10,2026-06-15,,1381860527099.215,baostock_approx_circ_mv,low_confidence_approx,7,7,1109935201.4010508,1109928134.2162373,5,2.4741672157733365e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,False
601988,sh.601988,中国银行,sh_mainboard,J66货币金融服务,证监会行业分类,2006-07-05,2026-06-15,,1292355062643.1716,baostock_approx_circ_mv,low_confidence_approx,8,8,210727223032.8296,210824643171.80612,5,0.0005073239514582,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
600036,sh.600036,招商银行,sh_mainboard,J66货币金融服务,证监会行业分类,2002-04-09,2026-06-15,,803501457218.2356,baostock_approx_circ_mv,low_confidence_approx,9,9,20629048965.80836,20629048965.80836,5,0.0002060296623,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
601628,sh.601628,中国人寿,sh_mainboard,J68保险业,证监会行业分类,2007-01-09,2026-06-15,,760659244104.5022,baostock_approx_circ_mv,low_confidence_approx,10,10,20822864607.295437,20822864607.295437,5,0.0002052603135777,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
601088,sh.601088,中国神华,sh_mainboard,B06煤炭开采和洗选业,证监会行业分类,2007-10-09,2026-06-15,,715574595788.8562,baostock_approx_circ_mv,low_confidence_approx,11,11,16489677987.88324,16491693841.642227,5,0.0002368684434775,False,False,2019-06-15,2026-06-15,1687,1.0041666666666669,242,False,False,True,True
300502,sz.300502,新易盛,chinext,C39计算机、通信和其他电子设备制造业,证监会行业分类,2016-03-03,2026-06-15,,677910509592.9319,baostock_approx_circ_mv,low_confidence_approx,12,12,1254253820.31218,1254251715.2823029,5,0.2857258752937882,True,True,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,False
600900,sh.600900,长江电力,sh_mainboard,D44电力、热力生产和供应业,证监会行业分类,2003-11-18,2026-06-15,,674586794634.1464,baostock_approx_circ_mv,low_confidence_approx,13,13,24468146341.463417,24468146341.463417,5,7.996482179204228e-05,False,False,2019-06-15,2026-06-15,1686,1.0035714285714286,252,False,False,True,True
601899,sh.601899,紫金矿业,sh_mainboard,B09有色金属矿采选业,证监会行业分类,2008-04-25,2026-06-15,,645043005252.1415,baostock_approx_circ_mv,low_confidence_approx,14,14,20601883232.99326,20601820672.377563,5,3.287722078520548e-05,False,False,2019-06-15,2026-06-15,1693,1.0077380952380952,252,False,False,True,True
601318,sh.601318,中国平安,sh_mainboard,J68保险业,证监会行业分类,2007-03-01,2026-06-15,,578096690996.8354,baostock_approx_circ_mv,low_confidence_approx,15,15,10660090189.87342,10660090189.87342,5,0.0001176541778972,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
000333,sz.000333,美的集团,sz_mainboard,C38电气机械和器材制造业,证监会行业分类,2013-09-18,2026-06-15,,555344174230.4645,baostock_approx_circ_mv,low_confidence_approx,16,16,6862031066.730068,6862031066.730068,5,0.0001724647380844,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
002475,sz.002475,立讯精密,sz_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2010-09-15,2026-06-15,,495388950640.9496,baostock_approx_circ_mv,low_confidence_approx,17,17,7269281705.489715,7269096854.599406,5,2.7276794188375e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
