datetime,open,high,low,close,volume,amount
2026-04-01 09:35:00,20.81,20.89,20.7,20.71,2593000,53913941.0
2026-04-01 09:40:00,20.69,20.83,20.69,20.71,1018600,21138050.0
2026-04-01 09:45:00,20.71,20.74,20.67,20.73,960217,19878095.0
2026-04-01 09:50:00,20.72,20.77,20.65,20.76,851100,17629099.0
2026-04-01 09:55:00,20.75,20.79,20.7,20.7,432800,8980088.0
2026-04-01 10:00:00,20.71,20.74,20.64,20.64,382700,7918884.0
2026-04-01 10:05:00,20.65,20.65,20.6,20.62,474200,9778300.0
2026-04-01 10:10:00,20.63,20.69,20.61,20.62,436700,9014771.0
2026-04-01 10:15:00,20.63,20.64,20.61,20.63,410400,8462778.0
2026-04-01 10:20:00,20.63,20.63,20.53,20.56,323500,6654819.0
2026-04-01 10:25:00,20.57,20.65,20.55,20.6,255500,5262057.0
2026-04-01 10:30:00,20.6,20.6,20.51,20.52,189700,3896249.0
2026-04-01 10:35:00,20.51,20.55,20.5,20.55,319368,6549351.0
2026-04-01 10:40:00,20.55,20.58,20.53,20.55,201300,4137729.0
2026-04-01 10:45:00,20.55,20.61,20.54,20.59,334700,6889884.0
2026-04-01 10:50:00,20.6,20.6,20.54,20.56,259400,5337425.0
2026-04-01 10:55:00,20.57,20.62,20.56,20.62,188700,3884270.0
2026-04-01 11:00:00,20.62,20.63,20.58,20.58,123500,2543897.0
2026-04-01 11:05:00,20.58,20.61,20.57,20.58,157600,3244596.0
2026-04-01 11:10:00,20.58,20.58,20.53,20.55,178500,3668069.0
2026-04-01 11:15:00,20.55,20.57,20.53,20.56,107700,2213120.0
2026-04-01 11:20:00,20.57,20.6,20.56,20.58,140800,2897358.0
2026-04-01 11:25:00,20.58,20.59,20.55,20.58,160800,3308347.0
2026-04-01 11:30:00,20.58,20.58,20.54,20.55,168600,3467268.0
2026-04-01 13:05:00,20.55,20.57,20.5,20.51,259000,5316007.0
2026-04-01 13:10:00,20.51,20.54,20.5,20.54,105600,2167402.0
2026-04-01 13:15:00,20.53,20.58,20.53,20.57,128900,2650050.0
2026-04-01 13:20:00,20.57,20.66,20.55,20.65,315077,6492317.0
2026-04-01 13:25:00,20.65,20.66,20.62,20.64,339100,7002326.0
2026-04-01 13:30:00,20.64,20.78,20.62,20.78,632700,13105595.0
2026-04-01 13:35:00,20.78,20.8,20.7,20.71,436800,9070108.0
2026-04-01 13:40:00,20.7,20.71,20.68,20.7,221000,4572824.0
2026-04-01 13:45:00,20.7,20.7,20.67,20.68,194100,4014564.0
2026-04-01 13:50:00,20.69,20.69,20.65,20.65,186200,3848862.0
2026-04-01 13:55:00,20.66,20.66,20.61,20.62,179100,3696644.0
2026-04-01 14:00:00,20.62,20.63,20.54,20.57,363823,7487767.0
2026-04-01 14:05:00,20.57,20.64,20.56,20.62,295800,6092809.0
2026-04-01 14:10:00,20.62,20.64,20.6,20.6,158200,3261312.0
2026-04-01 14:15:00,20.6,20.63,20.59,20.63,192900,3976499.0
2026-04-01 14:20:00,20.63,20.67,20.62,20.66,224900,4644151.0
2026-04-01 14:25:00,20.66,20.66,20.63,20.63,197300,4072527.0
2026-04-01 14:30:00,20.63,20.68,20.62,20.68,149500,3087431.0
2026-04-01 14:35:00,20.68,20.68,20.65,20.65,123300,2547829.0
2026-04-01 14:40:00,20.66,20.69,20.64,20.69,224400,4636789.0
2026-04-01 14:45:00,20.69,20.7,20.68,20.69,213500,4418043.0
2026-04-01 14:50:00,20.69,20.74,20.69,20.74,322600,6683317.0
2026-04-01 14:55:00,20.74,20.74,20.71,20.74,368300,7634441.0
2026-04-01 15:00:00,20.73,20.75,20.73,20.75,413200,8571027.0
2026-04-02 09:35:00,20.63,20.74,20.46,20.63,954800,19641769.0
2026-04-02 09:40:00,20.65,20.84,20.63,20.84,1214700,25197832.0
2026-04-02 09:45:00,20.85,21.03,20.77,20.77,1548900,32379461.0
2026-04-02 09:50:00,20.77,20.79,20.65,20.68,589100,12203851.0
2026-04-02 09:55:00,20.69,20.77,20.68,20.77,437000,9045924.0
2026-04-02 10:00:00,20.77,20.79,20.71,20.74,464800,9645587.0
2026-04-02 10:05:00,20.74,20.74,20.64,20.73,506800,10485147.0
2026-04-02 10:10:00,20.72,20.72,20.67,20.69,291900,6041410.0
2026-04-02 10:15:00,20.7,20.74,20.62,20.62,243600,5035544.0
2026-04-02 10:20:00,20.62,20.62,20.53,20.55,400600,8241570.0
2026-04-02 10:25:00,20.55,20.56,20.51,20.51,359300,7376738.0
2026-04-02 10:30:00,20.52,20.55,20.5,20.52,439900,9032163.0
2026-04-02 10:35:00,20.52,20.56,20.5,20.51,458000,9405489.0
2026-04-02 10:40:00,20.51,20.53,20.45,20.51,491400,10070050.0
2026-04-02 10:45:00,20.51,20.52,20.47,20.48,185300,3798343.0
2026-04-02 10:50:00,20.48,20.52,20.48,20.48,198600,4071345.0
2026-04-02 10:55:00,20.48,20.52,20.48,20.5,176300,3614486.0
2026-04-02 11:00:00,20.5,20.55,20.5,20.5,135200,2774720.0
2026-04-02 11:05:00,20.5,20.51,20.47,20.47,191700,3927779.0
2026-04-02 11:10:00,20.47,20.47,20.43,20.45,226300,4629125.0
2026-04-02 11:15:00,20.45,20.47,20.45,20.46,77100,1577101.0
2026-04-02 11:20:00,20.45,20.47,20.45,20.46,110200,2254835.0
2026-04-02 11:25:00,20.45,20.52,20.44,20.48,239800,4910839.0
2026-04-02 11:30:00,20.49,20.49,20.46,20.46,55700,1140242.0
2026-04-02 13:05:00,20.46,20.46,20.39,20.39,332300,6785753.0
