date,open,high,low,close,volume,event_flag,no_price_limit_flag,ema20,ema60,atr14,atrp14,rsi14,rvol20,close_pos,b10_prev,r5,resistance,obv,obv_ma20,obv_std20,bench_close,bench_ret5,ret5,rs5,x1_price_vs_ema20,x2_ema20_vs_ema60,x3_break_b10,x4_close_pos,x5_log_rvol20,x6_obv_z,x7_rs5,x8_atrp_rank,z_x1_price_vs_ema20,z_x2_ema20_vs_ema60,z_x3_break_b10,z_x4_close_pos,z_x5_log_rvol20,z_x6_obv_z,z_x7_rs5,z_x8_atrp_rank,label_rev,p_rev,cv_best_l2,cv_logloss,cv_folds_used,train_n,coef_intercept,coef_z_x1_price_vs_ema20,coef_z_x2_ema20_vs_ema60,coef_z_x3_break_b10,coef_z_x4_close_pos,coef_z_x5_log_rvol20,coef_z_x6_obv_z,coef_z_x7_rs5,coef_z_x8_atrp_rank,atrp14_med60,price_limit_ratio,daily_vwap_pv,daily_vwap_volume,n_intraday_bars,daily_vwap,next_date,next_day_vwap,next_day_close,next_day_high,next_day_low,next_day_vwap_ret_close,next_day_vwap_ret_vwap,next_day_close_ret_close,close_fund,peTTM,pbMRQ,psTTM,pcfNcfTTM,pubDate,statDate,profit_roeAvg,profit_npMargin,profit_gpMargin,profit_netProfit,profit_epsTTM,profit_MBRevenue,profit_totalShare,profit_liqaShare,used_pubDate,effective_date,operation_NRTurnRatio,operation_NRTurnDays,operation_INVTurnRatio,operation_INVTurnDays,operation_CATurnRatio,operation_AssetTurnRatio,growth_YOYEquity,growth_YOYAsset,growth_YOYNI,growth_YOYEPSBasic,growth_YOYPNI,solvency_currentRatio,solvency_quickRatio,solvency_cashRatio,solvency_YOYLiability,solvency_liabilityToAsset,solvency_assetToEquity,cashflow_CAToAsset,cashflow_NCAToAsset,cashflow_tangibleAssetToAsset,cashflow_ebitToInterest,cashflow_CFOToOR,cashflow_CFOToNP,cashflow_CFOToGr,dupont_dupontROE,dupont_dupontAssetStoEquity,dupont_dupontAssetTurn,dupont_dupontPnitoni,dupont_dupontNitogr,dupont_dupontTaxBurden,dupont_dupontIntburden,dupont_dupontEbittogr,fund_days_since_effective,peTTM_rank252,pbMRQ_rank252,psTTM_rank252,pcfNcfTTM_rank252,profit_roeAvg_chg4q,profit_npMargin_chg4q,profit_gpMargin_chg4q,profit_netProfit_chg4q,profit_epsTTM_chg4q,profit_MBRevenue_chg4q,profit_totalShare_chg4q,profit_liqaShare_chg4q,growth_YOYEquity_chg4q,growth_YOYAsset_chg4q,growth_YOYNI_chg4q,growth_YOYEPSBasic_chg4q,growth_YOYPNI_chg4q,solvency_currentRatio_chg4q,solvency_quickRatio_chg4q,solvency_cashRatio_chg4q,solvency_YOYLiability_chg4q,solvency_liabilityToAsset_chg4q,solvency_assetToEquity_chg4q,cashflow_CAToAsset_chg4q,cashflow_NCAToAsset_chg4q,cashflow_tangibleAssetToAsset_chg4q,cashflow_ebitToInterest_chg4q,cashflow_CFOToOR_chg4q,cashflow_CFOToNP_chg4q,cashflow_CFOToGr_chg4q,dupont_dupontROE_chg4q,dupont_dupontAssetStoEquity_chg4q,dupont_dupontAssetTurn_chg4q,dupont_dupontPnitoni_chg4q,dupont_dupontNitogr_chg4q,dupont_dupontTaxBurden_chg4q,dupont_dupontIntburden_chg4q,dupont_dupontEbittogr_chg4q
2026-04-01,20.81,20.89,20.48,20.75,16914685.0,0.0,0.0,20.75,20.75,,,,,0.6585365853642462,,,20.75,0.0,,,4526.0668,,,,,,,0.6585365853642462,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,349719086.0,16914685,48,20.67547140251208,2026-04-02,20.53820110310679,20.29,21.04,20.2,-0.0102071757538896,-0.0066392826907254,-0.0221686746987952,20.75,24.515681,2.474544,2.173929,17.139939,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-02,20.63,21.04,20.2,20.29,14977879.0,0.0,0.0,20.70619047619048,20.734918032786886,,,,,0.1071428571427294,,,20.70619047619048,-14977879.0,,,4478.9141,,,,,,,0.1071428571427294,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,307618691.0,14977879,48,20.53820110310679,2026-04-03,20.09071131354675,19.91,20.6,19.88,-0.0098220151036594,-0.0217881686576898,-0.0187284376540166,20.29,23.972201,2.419687,2.125736,16.759969,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-03,20.34,20.6,19.88,19.91,15257744.0,0.0,0.0,20.630362811791382,20.707871539908627,,,,,0.0416666666666102,,,20.630362811791382,-30235623.0,,,4440.7889,,,,,,,0.0416666666666102,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,306538930.0,15257744,48,20.09071131354675,2026-04-07,19.77401947212261,19.65,20.05,19.59,-0.0068297603152882,-0.0157630975071847,-0.0130587644399799,19.91,23.523239,2.37437,2.085924,16.446081,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07,19.91,20.05,19.59,19.65,13854884.0,0.0,0.0,20.53699492495411,20.67318722712473,,,,,0.130434782608409,,,20.53699492495411,-44090507.0,,,4440.6162,,,,,,,0.130434782608409,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,273966746.0,13854884,48,19.77401947212261,2026-04-08,20.544113882710004,20.78,20.8,20.06,0.0455019787638679,0.0389447583822333,0.0575063613231554,19.65,23.216055,2.343363,2.058685,16.231315,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-08,20.1,20.8,20.06,20.78,27713566.0,0.0,0.0,20.56013826543468,20.67668928525179,,,,,0.9729729729716587,,21.04,21.04,-16376941.0,,,4595.556,,,,,,,0.9729729729716587,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,569350656.0,27713566,48,20.544113882710004,2026-04-09,20.560635841117318,20.64,20.83,20.31,-0.0105565042773189,0.0008042185952452,-0.0067372473532242,20.78,24.551125,2.478122,2.177072,17.164719,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,167,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09,20.5,20.83,20.31,20.64,16676556.0,0.0,0.0,20.56774414491709,20.67548635786649,,,,,0.6346153846141683,,21.04,21.04,-33053497.0,,,4566.2237,0.00887236131822,-0.005301204819277,-0.014173566137497,,,,0.6346153846141683,,,-0.014173566137497,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,342880595.0,16676556,48,20.560635841117318,2026-04-10,20.84930598145731,20.79,21.05,20.68,0.0101407936752571,0.0140399422746795,0.007267441860465,20.64,24.385718,2.461426,2.162405,17.049076,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,168,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-10,20.9,21.05,20.68,20.79,22235501.0,0.0,0.0,20.5889113692107,20.679240903510205,,,,,0.2972972972964914,,21.05,21.05,-10817996.0,,,4636.5655,0.0351985763692139,0.0246426811237061,-0.0105558952455078,,,,0.2972972972964914,,,-0.0105558952455078,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,463594764.0,22235501,48,20.84930598145731,2026-04-13,19.36442524270333,19.5,19.8,19.0,-0.0685702143961841,-0.0712196722554977,-0.062049062049062,20.79,24.56294,2.479314,2.17812,17.172979,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,169,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-13,19.8,19.8,19.0,19.5,57419793.0,0.0,0.0,20.48520552452397,20.640577267329544,,,,,0.6249999999992182,,21.05,21.05,-68237789.0,,,4646.1546,0.0462453191593954,-0.0205926670015067,-0.0668379861609022,,,,0.6249999999992182,,,-0.0668379861609022,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,1111901289.0,57419793,48,19.36442524270333,2026-04-14,19.35351140898074,19.28,19.9,19.16,-0.0075122354368851,-0.0005636022544331,-0.0112820512820511,19.5,23.628492,2.352554,2.113934,2359.378933,2026-04-11,2025-12-31,0.103121,0.098218,0.23916,1229382406.9,0.825275,12516931784.56,1356921309.0,1356921309.0,True,2026-04-12,1.990108,180.894692,4.218106,85.346483,0.754354,0.570654,0.0741,0.017639,0.098744,0.094562,0.094473,1.67755,1.501868,0.714658,-0.038931,0.468124,1.880137,0.761712,0.238288,0.443881,,0.064765,0.659404,0.064765,0.103121,2.019854,0.570654,0.910891,0.098218,0.859364,1.05138,0.108706,1,,,,,0.013204000000000007,-0.02715200000000001,-0.011721999999999982,171814154.00000012,-0.021121999999999974,,0.0,0.0,-0.018092999999999998,-0.04009600000000001,-0.04830100000000001,-0.051574999999999996,-0.051761,0.02435200000000015,0.08567100000000005,0.05859700000000001,-0.061473,0.46335299999999996,-0.0322070000000001,-0.008126000000000078,0.008125999999999994,0.006460000000000021,,0.049296000000000006,0.536015,0.049296000000000006,0.013204000000000007,-0.015280000000000182,0.191247,-0.017962000000000033,-0.02715200000000001,-0.00778599999999996,0.005528999999999895,-0.029533000000000004
2026-04-14,19.89,19.9,19.16,19.28,34698849.0,0.0,0.0,20.37042404599788,20.595968176597427,,,,,0.1621621621619447,,21.05,21.05,-102936638.0,,,4701.2837,0.0587007496842442,-0.01882951653944,-0.0775302662236843,,,,0.1621621621619447,,,-0.0775302662236843,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,671544570.0,34698849,48,19.35351140898074,2026-04-15,19.981418415913488,20.15,20.39,19.36,0.0363806232320274,0.0324440869495845,0.0451244813278006,19.28,23.361914,2.326013,2.090084,2332.760299,2026-04-11,2025-12-31,0.103121,0.098218,0.23916,1229382406.9,0.825275,12516931784.56,1356921309.0,1356921309.0,True,2026-04-12,1.990108,180.894692,4.218106,85.346483,0.754354,0.570654,0.0741,0.017639,0.098744,0.094562,0.094473,1.67755,1.501868,0.714658,-0.038931,0.468124,1.880137,0.761712,0.238288,0.443881,,0.064765,0.659404,0.064765,0.103121,2.019854,0.570654,0.910891,0.098218,0.859364,1.05138,0.108706,2,,,,,0.013204000000000007,-0.02715200000000001,-0.011721999999999982,171814154.00000012,-0.021121999999999974,,0.0,0.0,-0.018092999999999998,-0.04009600000000001,-0.04830100000000001,-0.051574999999999996,-0.051761,0.02435200000000015,0.08567100000000005,0.05859700000000001,-0.061473,0.46335299999999996,-0.0322070000000001,-0.008126000000000078,0.008125999999999994,0.006460000000000021,,0.049296000000000006,0.536015,0.049296000000000006,0.013204000000000007,-0.015280000000000182,0.191247,-0.017962000000000033,-0.02715200000000001,-0.00778599999999996,0.005528999999999895,-0.029533000000000004
2026-04-15,19.39,20.39,19.36,20.15,43471805.0,0.0,0.0,20.349431279712363,20.581346269168,,,,,0.7669902912613895,,21.05,21.05,-59464833.0,,,4685.2464,0.0195167679384171,-0.0303176130895093,-0.0498343810279264,,,,0.7669902912613895,,,-0.0498343810279264,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1,868628325.0,43471805,48,19.981418415913488,2026-04-16,20.04729879426871,20.21,20.29,19.73,-0.0050968340313295,0.0032970821682385,0.0029776674937966,20.15,24.416108,2.430973,2.184398,2438.024898,2026-04-11,2025-12-31,0.103121,0.098218,0.23916,1229382406.9,0.825275,12516931784.56,1356921309.0,1356921309.0,True,2026-04-12,1.990108,180.894692,4.218106,85.346483,0.754354,0.570654,0.0741,0.017639,0.098744,0.094562,0.094473,1.67755,1.501868,0.714658,-0.038931,0.468124,1.880137,0.761712,0.238288,0.443881,,0.064765,0.659404,0.064765,0.103121,2.019854,0.570654,0.910891,0.098218,0.859364,1.05138,0.108706,3,,,,,0.013204000000000007,-0.02715200000000001,-0.011721999999999982,171814154.00000012,-0.021121999999999974,,0.0,0.0,-0.018092999999999998,-0.04009600000000001,-0.04830100000000001,-0.051574999999999996,-0.051761,0.02435200000000015,0.08567100000000005,0.05859700000000001,-0.061473,0.46335299999999996,-0.0322070000000001,-0.008126000000000078,0.008125999999999994,0.006460000000000021,,0.049296000000000006,0.536015,0.049296000000000006,0.013204000000000007,-0.015280000000000182,0.191247,-0.017962000000000033,-0.02715200000000001,-0.00778599999999996,0.005528999999999895,-0.029533000000000004
