date,open,high,low,close,volume,event_flag,no_price_limit_flag,ema20,ema60,atr14,atrp14,rsi14,rvol20,close_pos,b10_prev,r5,resistance,obv,obv_ma20,obv_std20,bench_close,bench_ret5,ret5,rs5,x1_price_vs_ema20,x2_ema20_vs_ema60,x3_break_b10,x4_close_pos,x5_log_rvol20,x6_obv_z,x7_rs5,x8_atrp_rank,z_x1_price_vs_ema20,z_x2_ema20_vs_ema60,z_x3_break_b10,z_x4_close_pos,z_x5_log_rvol20,z_x6_obv_z,z_x7_rs5,z_x8_atrp_rank,label_rev,p_rev,cv_best_l2,cv_logloss,cv_folds_used,train_n,coef_intercept,coef_z_x1_price_vs_ema20,coef_z_x2_ema20_vs_ema60,coef_z_x3_break_b10,coef_z_x4_close_pos,coef_z_x5_log_rvol20,coef_z_x6_obv_z,coef_z_x7_rs5,coef_z_x8_atrp_rank,atrp14_med60,price_limit_ratio
2026-04-01,54.66,54.7,50.58,51.96,128739639.0,0.0,0.0,51.96,51.96,,,,,0.3349514563105986,,,51.96,0.0,,,4526.0668,,,,,,,0.3349514563105986,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2026-04-02,52.03,55.8,52.03,53.39,146987529.0,0.0,0.0,52.09619047619048,52.00688524590164,,,,,0.36074270557019633,,,52.09619047619048,146987529.0,,,4478.9141,,,,,,,0.36074270557019633,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2026-04-03,54.45,58.73,54.01,58.05,169832639.0,0.0,0.0,52.663219954648525,52.20502015587208,,,,,0.8559322033896491,,,52.663219954648525,316820168.0,,,4440.7889,,,,,,,0.8559322033896491,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2026-04-07,58.35,61.5,58.0,58.7,166875408.0,0.0,0.0,53.23815138753914,52.41797031469594,,,,,0.19999999999994367,,,53.23815138753914,483695576.0,,,4440.6162,,,,,,,0.19999999999994367,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2026-04-08,60.8,60.87,56.55,58.56,195107878.0,0.0,0.0,53.744994112535416,52.61934833716493,,,,,0.4652777777776712,,61.5,61.5,288587698.0,,,4595.556,,,,,,,0.4652777777776712,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2026-04-09,57.21,60.8,56.11,59.54,194181874.0,0.0,0.0,54.29689943515109,52.846254949061155,,,,,0.7313432835819339,,61.5,61.5,482769572.0,,,4566.2237,0.008872361318220001,0.1458814472671286,0.1370090859489086,,,,0.7313432835819339,,,0.1370090859489086,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2026-04-10,59.21,59.21,55.71,55.98,208927553.0,0.0,0.0,54.45719472704147,52.94900068843619,,,,,0.07714285714283396,,61.5,61.5,273842019.0,,,4636.5655,0.035198576369213974,0.04851095710807263,0.013312380738858653,,,,0.07714285714283396,,,0.013312380738858653,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2026-04-13,55.0,55.95,53.1,53.49,203511870.0,0.0,0.0,54.3650809435137,52.966738370782544,,,,,0.13684210526311,,61.5,61.5,70330149.0,,,4646.1546,0.04624531915939545,-0.07855297157622732,-0.12479829073562276,,,,0.13684210526311,,,-0.12479829073562276,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2026-04-14,53.51,54.41,52.15,52.67,156956401.0,0.0,0.0,54.20364466317906,52.95700924387164,,,,,0.230088495575121,,60.87,60.87,-86626252.0,,,4701.2837,0.05870074968424421,-0.102725724020443,-0.1614264737046872,,,,0.230088495575121,,,-0.1614264737046872,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2026-04-15,52.86,53.99,51.73,52.13,130152540.0,0.0,0.0,54.00615469525725,52.92989418669551,,,,,0.17699115044240166,,60.8,60.8,-216778792.0,,,4685.2464,0.019516767938417168,-0.10980191256830596,-0.12931868050672313,,,,0.17699115044240166,,,-0.12931868050672313,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
