date,open,high,low,close,volume,event_flag,no_price_limit_flag
2026-04-01,54.66,54.7,50.58,51.96,128739639,0,0
2026-04-02,52.03,55.8,52.03,53.39,146987529,0,0
2026-04-03,54.45,58.73,54.01,58.05,169832639,0,0
2026-04-07,58.35,61.5,58.0,58.7,166875408,0,0
2026-04-08,60.8,60.87,56.55,58.56,195107878,0,0
2026-04-09,57.21,60.8,56.11,59.54,194181874,0,0
2026-04-10,59.21,59.21,55.71,55.98,208927553,0,0
2026-04-13,55.0,55.95,53.1,53.49,203511870,0,0
2026-04-14,53.51,54.41,52.15,52.67,156956401,0,0
2026-04-15,52.86,53.99,51.73,52.13,130152540,0,0
2026-04-16,51.81,53.44,50.89,53.14,142840210,0,0
2026-04-17,52.59,56.1,52.59,55.65,213417354,0,0
2026-04-20,58.35,60.99,57.5,60.89,221872593,0,0
2026-04-21,59.5,60.4,57.27,59.8,183209207,0,0
2026-04-22,59.7,65.78,59.55,65.78,203696367,0,0
2026-04-23,66.77,70.3,66.03,69.52,273438882,0,0
2026-04-24,68.0,71.3,66.55,69.54,221203009,0,0
2026-04-27,69.54,74.49,68.9,71.38,249512238,0,0
2026-04-28,70.0,71.6,67.68,68.29,176584323,0,0
2026-04-29,67.0,68.2,65.35,67.38,123763734,0,0
2026-04-30,67.7,68.0,63.3,65.7,160934768,0,0
2026-05-06,67.5,72.27,67.5,71.8,191574699,0,0
2026-05-07,74.55,76.63,71.8,75.96,190890446,0,0
2026-05-08,74.25,79.49,74.25,77.27,163302292,0,0
2026-05-11,79.3,79.9,73.83,74.99,238897082,0,0
2026-05-12,75.5,78.5,74.66,75.1,177002325,0,0
2026-05-13,73.34,77.0,73.33,75.43,152332907,0,0
2026-05-14,76.88,77.2,73.68,74.0,143096362,0,0
2026-05-15,73.98,74.51,67.97,69.8,158376933,0,0
2026-05-18,69.01,72.95,69.01,71.8,129168578,0,0
2026-05-19,70.4,76.11,66.52,75.47,194173310,0,0
2026-05-20,74.7,78.13,74.0,75.78,171065316,0,0
2026-05-21,75.99,76.0,69.38,69.9,163020418,0,0
