date,open,high,low,close,volume
2026-04-01,2.375,2.396,2.338,2.387,182258898
2026-04-02,2.386,2.4,2.31,2.321,151685970
2026-04-03,2.36,2.411,2.36,2.365,152471287
2026-04-07,2.365,2.401,2.341,2.373,162462325
2026-04-08,2.452,2.556,2.438,2.554,252190180
2026-04-09,2.512,2.593,2.51,2.581,304242760
2026-04-10,2.599,2.685,2.583,2.664,240550981
2026-04-13,2.637,2.688,2.634,2.676,167436135
2026-04-14,2.709,2.766,2.687,2.74,179430427
2026-04-15,2.741,2.775,2.663,2.687,245211571
2026-04-16,2.679,2.771,2.669,2.768,168472500
2026-04-17,2.797,2.889,2.79,2.887,226023893
2026-04-20,2.888,2.95,2.888,2.93,188683301
2026-04-21,2.878,2.95,2.864,2.938,175409655
2026-04-22,2.926,3.101,2.925,3.096,236254676
2026-04-23,3.112,3.194,3.026,3.069,366817626
2026-04-24,3.0,3.058,2.905,2.96,320606849
2026-04-27,2.974,3.047,2.974,3.017,204400630
2026-04-28,3.003,3.01,2.94,2.961,161487006
2026-04-29,2.922,3.004,2.905,2.972,210230912
2026-04-30,2.999,3.012,2.926,2.967,168241200
2026-05-06,3.015,3.09,3.008,3.036,247021392
2026-05-07,3.053,3.165,3.009,3.164,231350374
2026-05-08,3.113,3.181,3.1,3.174,180053785
2026-05-11,3.218,3.309,3.177,3.299,223328410
2026-05-12,3.36,3.378,3.277,3.33,234766636
2026-05-13,1.088,1.158,1.088,1.156,674054533
2026-05-14,1.171,1.174,1.123,1.133,944750911
2026-05-15,1.127,1.144,1.084,1.108,840864663
2026-05-18,1.096,1.141,1.096,1.128,621402513
2026-05-19,1.114,1.134,1.076,1.131,721751133
2026-05-20,1.12,1.15,1.119,1.139,570488533
2026-05-21,1.153,1.16,1.086,1.093,1029513836
