date,open,high,low,close,volume
2026-04-01,6.7,6.73,6.58,6.68,20784483
2026-04-02,6.69,6.83,6.56,6.62,25434600
2026-04-03,6.63,6.65,6.51,6.52,16599100
2026-04-07,6.52,6.79,6.5,6.61,26666541
2026-04-08,6.71,6.92,6.71,6.9,36884510
2026-04-09,6.83,6.97,6.68,6.97,35037587
2026-04-10,7.0,7.28,6.88,7.09,60896799
2026-04-13,7.0,7.37,6.92,7.3,67143171
2026-04-14,7.3,7.31,7.15,7.25,33522711
2026-04-15,7.4,7.64,7.28,7.36,55320368
2026-04-16,7.38,7.39,7.18,7.25,46875522
2026-04-17,7.24,7.28,7.14,7.23,29847011
2026-04-20,7.28,7.58,7.25,7.57,55952741
2026-04-21,7.51,7.51,7.28,7.34,35735448
2026-04-22,7.34,7.78,7.3,7.58,63794882
2026-04-23,7.6,7.68,7.32,7.44,39586745
2026-04-24,7.47,7.56,7.31,7.39,26371744
2026-04-27,7.39,7.44,7.3,7.42,26658053
2026-04-28,7.36,7.46,7.2,7.26,26309807
2026-04-29,7.21,7.49,7.19,7.44,31339995
2026-04-30,7.45,7.5,7.25,7.28,32943070
2026-05-06,7.3,7.47,7.3,7.42,29981819
2026-05-07,7.44,7.58,7.36,7.44,30832845
2026-05-08,7.39,7.63,7.37,7.61,44412917
2026-05-11,7.63,7.66,7.48,7.53,34305147
2026-05-12,7.55,7.93,7.49,7.85,84459787
2026-05-13,7.88,8.06,7.76,7.92,82025815
2026-05-14,7.86,7.95,7.61,7.62,55114395
2026-05-15,7.62,7.66,7.29,7.39,45320668
2026-05-18,7.28,7.48,7.24,7.41,27197308
2026-05-19,7.37,7.52,7.24,7.48,30574815
2026-05-20,7.48,7.52,7.11,7.45,35198106
2026-05-21,7.45,7.46,6.89,6.89,43503068
