datetime,open,high,low,close,volume,amount
2026-04-01 09:35:00,63.57,63.9,63.43,63.56,1818387,115785410.0
2026-04-01 09:40:00,63.6,64.47,63.58,63.58,2322388,148643742.0
2026-04-01 09:45:00,63.56,63.98,63.37,63.95,809850,51520833.0
2026-04-01 09:50:00,64.02,64.94,64.02,64.43,1983500,128030643.0
2026-04-01 09:55:00,64.41,65.09,64.38,64.77,1645800,106809433.0
2026-04-01 10:00:00,64.75,64.84,64.26,64.26,463606,29954668.0
2026-04-01 10:05:00,64.26,64.26,63.61,63.67,517300,33048076.0
2026-04-01 10:10:00,63.7,63.99,63.4,63.48,527600,33574164.0
2026-04-01 10:15:00,63.47,63.8,63.47,63.8,310100,19734026.0
2026-04-01 10:20:00,63.75,63.79,63.46,63.54,239000,15194922.0
2026-04-01 10:25:00,63.57,64.01,63.54,63.71,174700,11140696.0
2026-04-01 10:30:00,63.74,63.75,63.51,63.51,195300,12421394.0
2026-04-01 10:35:00,63.51,63.78,63.46,63.68,246800,15685805.0
2026-04-01 10:40:00,63.79,63.85,63.4,63.51,178500,11361678.0
2026-04-01 10:45:00,63.54,64.03,63.54,63.81,306700,19581683.0
2026-04-01 10:50:00,63.77,63.81,63.45,63.49,283700,18033887.0
2026-04-01 10:55:00,63.5,63.8,63.48,63.8,156200,9929180.0
2026-04-01 11:00:00,63.79,63.8,63.62,63.74,73700,4695834.0
2026-04-01 11:05:00,63.73,63.76,63.64,63.64,75200,4791966.0
2026-04-01 11:10:00,63.64,63.64,63.53,63.54,97200,6178730.0
2026-04-01 11:15:00,63.54,63.57,63.43,63.43,122300,7765774.0
2026-04-01 11:20:00,63.43,63.67,63.42,63.67,95600,6074982.0
2026-04-01 11:25:00,63.67,63.67,63.45,63.45,115700,7354003.0
2026-04-01 11:30:00,63.44,63.44,63.22,63.36,113200,7167654.0
2026-04-01 13:05:00,63.32,63.42,63.09,63.26,198300,12542398.0
2026-04-01 13:10:00,63.27,63.51,63.23,63.4,148600,9419511.0
2026-04-01 13:15:00,63.4,63.63,63.39,63.47,170300,10817439.0
2026-04-01 13:20:00,63.49,63.59,63.37,63.46,127911,8117769.0
2026-04-01 13:25:00,63.46,63.62,63.34,63.62,166300,10554921.0
2026-04-01 13:30:00,63.63,63.99,63.63,63.98,238900,15245198.0
2026-04-01 13:35:00,63.98,64.17,63.79,63.79,347900,22273286.0
2026-04-01 13:40:00,63.81,63.88,63.8,63.82,134500,8585509.0
2026-04-01 13:45:00,63.82,64.0,63.78,63.82,147932,9449537.0
2026-04-01 13:50:00,63.82,63.84,63.67,63.7,92600,5903475.0
2026-04-01 13:55:00,63.69,63.75,63.65,63.67,128000,8154514.0
2026-04-01 14:00:00,63.67,63.7,63.48,63.6,193000,12269613.0
2026-04-01 14:05:00,63.59,63.72,63.56,63.7,100000,6363244.0
2026-04-01 14:10:00,63.71,63.91,63.68,63.77,117400,7488929.0
2026-04-01 14:15:00,63.77,63.85,63.75,63.8,82700,5275316.0
2026-04-01 14:20:00,63.8,63.98,63.78,63.85,94800,6055588.0
2026-04-01 14:25:00,63.85,64.05,63.81,64.02,230600,14743346.0
2026-04-01 14:30:00,63.99,64.04,63.87,64.0,160000,10237492.0
2026-04-01 14:35:00,64.0,64.02,63.83,63.83,149500,9557706.0
2026-04-01 14:40:00,63.83,63.99,63.8,63.98,162868,10409444.0
2026-04-01 14:45:00,63.99,64.04,63.98,64.02,244396,15642973.0
2026-04-01 14:50:00,64.04,64.48,64.03,64.45,586400,37655503.0
2026-04-01 14:55:00,64.48,64.5,64.3,64.3,713026,45940645.0
2026-04-01 15:00:00,64.3,64.3,64.1,64.14,389600,25008532.0
2026-04-02 09:35:00,64.5,64.88,64.17,64.71,2097100,135376863.0
2026-04-02 09:40:00,64.7,65.3,64.67,65.3,1766499,114826485.0
2026-04-02 09:45:00,65.35,65.79,64.26,64.26,1723365,112572886.0
2026-04-02 09:50:00,64.25,65.41,64.25,65.41,854105,55394199.0
2026-04-02 09:55:00,65.37,65.83,65.05,65.32,726500,47583787.0
2026-04-02 10:00:00,65.26,65.52,65.2,65.43,460800,30131172.0
2026-04-02 10:05:00,65.41,65.46,65.07,65.46,526500,34368252.0
2026-04-02 10:10:00,65.44,65.44,64.9,64.99,445900,29038470.0
2026-04-02 10:15:00,65.0,65.33,64.6,64.6,468500,30398264.0
2026-04-02 10:20:00,64.59,64.74,64.4,64.54,452317,29191400.0
2026-04-02 10:25:00,64.53,64.72,64.53,64.61,286100,18496696.0
2026-04-02 10:30:00,64.61,64.87,64.45,64.45,294400,19032294.0
2026-04-02 10:35:00,64.45,64.66,64.4,64.41,223879,14441877.0
2026-04-02 10:40:00,64.39,64.39,64.18,64.21,366383,23544496.0
2026-04-02 10:45:00,64.21,64.53,64.11,64.29,331001,21269682.0
2026-04-02 10:50:00,64.29,64.42,64.12,64.22,186900,12004388.0
2026-04-02 10:55:00,64.22,64.62,64.16,64.5,146800,9448539.0
2026-04-02 11:00:00,64.52,64.85,64.48,64.73,187300,12126900.0
2026-04-02 11:05:00,64.73,65.0,64.64,64.66,298000,19319378.0
2026-04-02 11:10:00,64.66,64.75,64.52,64.52,116200,7510392.0
2026-04-02 11:15:00,64.52,64.72,64.52,64.69,81000,5235282.0
2026-04-02 11:20:00,64.69,64.79,64.62,64.68,101100,6542922.0
2026-04-02 11:25:00,64.68,64.88,64.65,64.65,101000,6541426.0
2026-04-02 11:30:00,64.64,64.8,64.54,64.8,105740,6834011.0
2026-04-02 13:05:00,64.69,64.7,64.35,64.53,214460,13835720.0
2026-04-02 13:10:00,64.53,64.56,64.27,64.28,173200,11155292.0
2026-04-02 13:15:00,64.28,64.38,64.26,64.35,138000,8877283.0
2026-04-02 13:20:00,64.35,64.35,64.21,64.21,121400,7803260.0
2026-04-02 13:25:00,64.21,64.4,64.14,64.34,195900,12584225.0
2026-04-02 13:30:00,64.34,64.59,64.33,64.45,132900,8567023.0
2026-04-02 13:35:00,64.43,64.45,64.06,64.06,310800,19967875.0
2026-04-02 13:40:00,64.05,64.06,63.8,63.81,279300,17851930.0
2026-04-02 13:45:00,63.81,63.95,63.81,63.9,151400,9671961.0
2026-04-02 13:50:00,63.91,63.95,63.9,63.91,100600,6430486.0
2026-04-02 13:55:00,63.91,63.92,63.7,63.77,304100,19410397.0
2026-04-02 14:00:00,63.79,63.85,63.71,63.73,208400,13288197.0
2026-04-02 14:05:00,63.72,63.74,63.48,63.54,297550,18913175.0
2026-04-02 14:10:00,63.56,63.62,63.5,63.62,122900,7812237.0
2026-04-02 14:15:00,63.62,63.8,63.52,63.7,236000,15017041.0
2026-04-02 14:20:00,63.68,64.03,63.67,63.85,137200,8763685.0
