date,open,high,low,close,volume,event_flag,no_price_limit_flag
2026-04-01,63.57,65.17,63.08,64.14,17997864,0,0
2026-04-02,64.5,65.85,63.24,63.53,17183099,0,0
2026-04-03,63.62,65.75,62.5,63.3,14073523,0,0
2026-04-07,63.3,63.7,60.07,60.91,15655966,0,0
2026-04-08,63.95,67.0,63.0,67.0,22125904,0,0
2026-04-09,67.8,70.16,66.96,68.7,23573566,0,0
2026-04-10,70.07,73.8,69.06,71.41,21932289,0,0
2026-04-13,69.8,70.8,68.15,68.28,18497495,0,0
2026-04-14,69.0,70.32,66.0,66.78,21812494,0,0
2026-04-15,67.45,69.48,64.68,65.01,20340710,0,0
2026-04-16,65.26,69.9,64.7,69.0,26422707,0,0
2026-04-17,68.14,73.18,68.01,71.1,24804295,0,0
2026-04-20,70.87,71.96,68.58,71.49,18729479,0,0
2026-04-21,71.2,71.83,69.6,70.68,15237388,0,0
2026-04-22,70.0,75.5,69.83,75.45,24088106,0,0
2026-04-23,79.22,83.0,79.22,83.0,41313648,0,0
2026-04-24,82.17,84.66,80.0,82.19,30486445,0,0
2026-04-27,80.56,83.15,79.28,80.4,19777131,0,0
2026-04-28,79.8,79.8,75.05,76.47,21582722,0,0
2026-04-29,76.26,77.43,74.0,76.41,17337886,0,0
2026-04-30,76.38,78.99,75.2,75.58,22595136,0,0
2026-05-06,77.09,82.76,77.09,81.39,22749330,0,0
2026-05-07,81.4,82.0,78.79,80.41,18650099,0,0
2026-05-08,79.0,81.67,77.31,78.76,20481578,0,0
2026-05-11,79.5,80.3,76.5,77.16,21938872,0,0
2026-05-12,77.1,77.44,74.02,75.13,22619767,0,0
2026-05-13,75.36,81.68,74.82,80.5,28670494,0,0
2026-05-14,80.4,80.4,74.4,74.4,25810635,0,0
2026-05-15,75.48,76.37,72.67,73.74,17764422,0,0
2026-05-18,72.28,75.62,71.8,73.01,18217657,0,0
2026-05-19,74.18,74.22,69.9,73.1,16802610,0,0
2026-05-20,73.0,73.7,70.91,73.49,20708181,0,0
2026-05-21,73.9,75.49,71.28,71.67,17926203,0,0
