date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM
2026-04-01,sh.603308,64.14,123.212259,8.874158,15.988359,28.850071
2026-04-02,sh.603308,63.53,122.040456,8.789761,15.836302,28.575694
2026-04-03,sh.603308,63.3,121.598628,8.757939,15.77897,28.472241
2026-04-07,sh.603308,60.91,117.007463,8.427268,15.183208,27.397222
2026-04-08,sh.603308,67.0,128.706412,9.269865,16.701295,30.136524
2026-04-09,sh.603308,68.7,131.972097,9.505071,17.125059,30.901182
2026-04-10,sh.603308,71.41,137.177983,9.880016,17.800589,32.120137
2026-04-13,sh.603308,68.28,131.16528,9.446961,17.020364,30.712266
2026-04-14,sh.603308,66.78,128.283794,9.239427,16.646455,30.037568
2026-04-15,sh.603308,65.01,124.883639,8.994537,16.205242,29.241424
2026-04-16,sh.603308,69.0,132.548394,9.546578,17.199841,31.036121
2026-04-17,sh.603308,71.1,136.582476,9.837126,17.723315,31.980699
2026-04-20,sh.603308,71.49,137.331662,9.891085,17.820531,32.156121
2026-04-21,sh.603308,70.68,135.775659,9.779016,17.61862,31.791783
2026-04-22,sh.603308,75.45,144.938788,10.438975,18.807652,33.937324
2026-04-23,sh.603308,83.0,159.442271,11.483565,20.689664,37.333305
2026-04-24,sh.603308,82.19,148.131125,10.977547,17.745894,160.964682
2026-04-27,sh.603308,80.4,144.905006,10.738469,17.35941,157.459064
2026-04-28,sh.603308,76.47,137.821963,10.213566,16.510871,149.76237
2026-04-29,sh.603308,76.41,137.713825,10.205552,16.497917,149.644864
2026-04-30,sh.603308,75.58,136.217915,10.094695,16.318709,148.019353
2026-05-06,sh.603308,81.39,146.689284,10.870696,17.573164,159.397925
2026-05-07,sh.603308,80.41,144.923029,10.739804,17.361569,157.478648
2026-05-08,sh.603308,78.76,141.949232,10.519425,17.005312,154.247212
2026-05-11,sh.603308,77.16,139.065551,10.305725,16.659851,151.113698
2026-05-12,sh.603308,75.13,135.40688,10.034592,16.221548,147.138053
2026-05-13,sh.603308,80.5,145.085236,10.751825,17.381001,157.654908
2026-05-14,sh.603308,74.4,134.0912,9.937091,16.063931,145.708387
2026-05-15,sh.603308,73.74,132.901681,9.848939,15.921429,144.415813
2026-05-18,sh.603308,73.01,131.587229,9.751529,15.763959,142.987481
2026-05-19,sh.603308,73.1,131.749437,9.76355,15.783392,143.163743
2026-05-20,sh.603308,73.49,132.452341,9.81564,15.867599,143.927544
2026-05-21,sh.603308,71.67,129.172123,9.572553,15.474633,140.363139
