date,close,peTTM,pbMRQ,psTTM,pcfNcfTTM,pubDate,statDate,profit_roeAvg,profit_npMargin,profit_gpMargin,profit_netProfit,profit_epsTTM,profit_MBRevenue,profit_totalShare,profit_liqaShare,used_pubDate,effective_date,operation_NRTurnRatio,operation_NRTurnDays,operation_INVTurnRatio,operation_INVTurnDays,operation_CATurnRatio,operation_AssetTurnRatio,growth_YOYEquity,growth_YOYAsset,growth_YOYNI,growth_YOYEPSBasic,growth_YOYPNI,solvency_currentRatio,solvency_quickRatio,solvency_cashRatio,solvency_YOYLiability,solvency_liabilityToAsset,solvency_assetToEquity,cashflow_CAToAsset,cashflow_NCAToAsset,cashflow_tangibleAssetToAsset,cashflow_ebitToInterest,cashflow_CFOToOR,cashflow_CFOToNP,cashflow_CFOToGr,fund_days_since_effective,peTTM_rank252,pbMRQ_rank252,psTTM_rank252,pcfNcfTTM_rank252,profit_roeAvg_chg4q,profit_npMargin_chg4q,profit_gpMargin_chg4q,profit_netProfit_chg4q,profit_epsTTM_chg4q,profit_MBRevenue_chg4q,profit_totalShare_chg4q,profit_liqaShare_chg4q,growth_YOYEquity_chg4q,growth_YOYAsset_chg4q,growth_YOYNI_chg4q,growth_YOYEPSBasic_chg4q,growth_YOYPNI_chg4q,solvency_currentRatio_chg4q,solvency_quickRatio_chg4q,solvency_cashRatio_chg4q,solvency_YOYLiability_chg4q,solvency_liabilityToAsset_chg4q,solvency_assetToEquity_chg4q,cashflow_CAToAsset_chg4q,cashflow_NCAToAsset_chg4q,cashflow_tangibleAssetToAsset_chg4q,cashflow_ebitToInterest_chg4q,cashflow_CFOToOR_chg4q,cashflow_CFOToNP_chg4q,cashflow_CFOToGr_chg4q
2026-04-01,64.14,123.212259,8.874158,15.988359,28.850071,2025-10-31,2025-09-30,0.06055,0.127434,0.36917,270302332.09,0.520568,,679036441.0,679036441.0,True,2025-11-01,1.701725,158.662522,0.598875,450.826515,0.425734,0.161829,0.111265,0.266715,0.282373,0.30303,0.295869,1.655401,1.022095,0.541795,0.400017,0.00625,2.666724,0.424379,0.575621,0.254607,3.615401,-0.02791,-0.219012,-0.02791,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-02,63.53,122.040456,8.789761,15.836302,28.575694,2025-10-31,2025-09-30,0.06055,0.127434,0.36917,270302332.09,0.520568,,679036441.0,679036441.0,True,2025-11-01,1.701725,158.662522,0.598875,450.826515,0.425734,0.161829,0.111265,0.266715,0.282373,0.30303,0.295869,1.655401,1.022095,0.541795,0.400017,0.00625,2.666724,0.424379,0.575621,0.254607,3.615401,-0.02791,-0.219012,-0.02791,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-03,63.3,121.598628,8.757939,15.77897,28.472241,2025-10-31,2025-09-30,0.06055,0.127434,0.36917,270302332.09,0.520568,,679036441.0,679036441.0,True,2025-11-01,1.701725,158.662522,0.598875,450.826515,0.425734,0.161829,0.111265,0.266715,0.282373,0.30303,0.295869,1.655401,1.022095,0.541795,0.400017,0.00625,2.666724,0.424379,0.575621,0.254607,3.615401,-0.02791,-0.219012,-0.02791,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-07,60.91,117.007463,8.427268,15.183208,27.397222,2025-10-31,2025-09-30,0.06055,0.127434,0.36917,270302332.09,0.520568,,679036441.0,679036441.0,True,2025-11-01,1.701725,158.662522,0.598875,450.826515,0.425734,0.161829,0.111265,0.266715,0.282373,0.30303,0.295869,1.655401,1.022095,0.541795,0.400017,0.00625,2.666724,0.424379,0.575621,0.254607,3.615401,-0.02791,-0.219012,-0.02791,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-08,67.0,128.706412,9.269865,16.701295,30.136524,2025-10-31,2025-09-30,0.06055,0.127434,0.36917,270302332.09,0.520568,,679036441.0,679036441.0,True,2025-11-01,1.701725,158.662522,0.598875,450.826515,0.425734,0.161829,0.111265,0.266715,0.282373,0.30303,0.295869,1.655401,1.022095,0.541795,0.400017,0.00625,2.666724,0.424379,0.575621,0.254607,3.615401,-0.02791,-0.219012,-0.02791,158,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-09,68.7,131.972097,9.505071,17.125059,30.901182,2025-10-31,2025-09-30,0.06055,0.127434,0.36917,270302332.09,0.520568,,679036441.0,679036441.0,True,2025-11-01,1.701725,158.662522,0.598875,450.826515,0.425734,0.161829,0.111265,0.266715,0.282373,0.30303,0.295869,1.655401,1.022095,0.541795,0.400017,0.00625,2.666724,0.424379,0.575621,0.254607,3.615401,-0.02791,-0.219012,-0.02791,159,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-10,71.41,137.177983,9.880016,17.800589,32.120137,2025-10-31,2025-09-30,0.06055,0.127434,0.36917,270302332.09,0.520568,,679036441.0,679036441.0,True,2025-11-01,1.701725,158.662522,0.598875,450.826515,0.425734,0.161829,0.111265,0.266715,0.282373,0.30303,0.295869,1.655401,1.022095,0.541795,0.400017,0.00625,2.666724,0.424379,0.575621,0.254607,3.615401,-0.02791,-0.219012,-0.02791,160,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-13,68.28,131.16528,9.446961,17.020364,30.712266,2025-10-31,2025-09-30,0.06055,0.127434,0.36917,270302332.09,0.520568,,679036441.0,679036441.0,True,2025-11-01,1.701725,158.662522,0.598875,450.826515,0.425734,0.161829,0.111265,0.266715,0.282373,0.30303,0.295869,1.655401,1.022095,0.541795,0.400017,0.00625,2.666724,0.424379,0.575621,0.254607,3.615401,-0.02791,-0.219012,-0.02791,163,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-14,66.78,128.283794,9.239427,16.646455,30.037568,2025-10-31,2025-09-30,0.06055,0.127434,0.36917,270302332.09,0.520568,,679036441.0,679036441.0,True,2025-11-01,1.701725,158.662522,0.598875,450.826515,0.425734,0.161829,0.111265,0.266715,0.282373,0.30303,0.295869,1.655401,1.022095,0.541795,0.400017,0.00625,2.666724,0.424379,0.575621,0.254607,3.615401,-0.02791,-0.219012,-0.02791,164,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-15,65.01,124.883639,8.994537,16.205242,29.241424,2025-10-31,2025-09-30,0.06055,0.127434,0.36917,270302332.09,0.520568,,679036441.0,679036441.0,True,2025-11-01,1.701725,158.662522,0.598875,450.826515,0.425734,0.161829,0.111265,0.266715,0.282373,0.30303,0.295869,1.655401,1.022095,0.541795,0.400017,0.00625,2.666724,0.424379,0.575621,0.254607,3.615401,-0.02791,-0.219012,-0.02791,165,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
