date,open,high,low,close,volume
2026-04-01,0.768,0.77,0.751,0.758,420336749
2026-04-02,0.756,0.764,0.741,0.743,322812100
2026-04-03,0.744,0.749,0.73,0.732,290497400
2026-04-07,0.733,0.737,0.724,0.73,261420600
2026-04-08,0.742,0.765,0.742,0.764,599311953
2026-04-09,0.758,0.765,0.752,0.756,375926497
2026-04-10,0.76,0.772,0.76,0.763,360298900
2026-04-13,0.759,0.777,0.757,0.773,410246300
2026-04-14,0.774,0.785,0.769,0.785,507475106
2026-04-15,0.79,0.799,0.781,0.783,526331280
2026-04-16,0.783,0.785,0.774,0.782,430378697
2026-04-17,0.779,0.787,0.774,0.785,325755500
2026-04-20,0.785,0.81,0.785,0.808,821893997
2026-04-21,0.81,0.813,0.796,0.801,472477444
2026-04-22,0.791,0.8,0.787,0.8,398415600
2026-04-23,0.799,0.815,0.792,0.8,729141441
2026-04-24,0.795,0.796,0.776,0.778,545479100
2026-04-27,0.77,0.779,0.761,0.776,473065076
2026-04-28,0.771,0.772,0.75,0.752,608388000
2026-04-29,0.746,0.755,0.745,0.754,416148600
2026-04-30,0.752,0.767,0.751,0.766,445636524
2026-05-06,0.77,0.791,0.769,0.785,705706100
2026-05-07,0.79,0.79,0.78,0.79,405687925
2026-05-08,0.788,0.818,0.784,0.814,911460511
2026-05-11,0.823,0.832,0.817,0.823,834724358
2026-05-12,0.822,0.825,0.799,0.81,792405819
2026-05-13,0.803,0.818,0.798,0.814,471241360
2026-05-14,0.813,0.817,0.773,0.774,822104200
2026-05-15,0.77,0.778,0.75,0.754,611292400
2026-05-18,0.75,0.765,0.748,0.754,529940000
2026-05-19,0.749,0.753,0.737,0.753,514947600
2026-05-20,0.747,0.754,0.743,0.747,347813600
2026-05-21,0.749,0.76,0.732,0.734,643238893
