date,open,high,low,close,volume
2026-04-01,48.92,49.29,48.22,49.04,29089338
2026-04-02,49.53,52.46,49.53,49.8,54097662
2026-04-03,50.28,50.5,48.22,48.99,27969211
2026-04-07,49.58,49.58,45.8,46.52,50713507
2026-04-08,47.72,50.64,47.6,50.39,60247282
2026-04-09,49.61,50.11,48.9,49.54,31706939
2026-04-10,50.03,52.08,50.02,51.46,46802139
2026-04-13,50.33,51.71,50.21,51.42,26668576
2026-04-14,51.7,52.42,50.96,51.32,27228288
2026-04-15,51.51,52.36,51.11,51.15,29624635
2026-04-16,51.25,51.5,49.55,50.63,36150225
2026-04-17,50.31,50.48,49.28,49.77,24436195
2026-04-20,49.94,50.79,48.88,49.98,30037570
2026-04-21,50.0,50.27,47.77,48.71,34546113
2026-04-22,48.26,48.6,47.51,48.53,27535537
2026-04-23,49.0,52.28,49.0,50.36,68742771
2026-04-24,50.38,50.65,48.67,49.11,30967040
2026-04-27,49.0,49.1,47.45,48.33,31746447
2026-04-28,47.7,48.21,45.13,45.6,50440379
2026-04-29,45.62,45.95,45.11,45.46,27019014
2026-04-30,45.4,46.75,45.21,46.25,28526168
2026-05-06,46.5,47.75,46.5,46.84,35472255
2026-05-07,47.0,48.56,46.64,48.33,34659347
2026-05-08,48.19,51.31,47.34,50.1,55913346
2026-05-11,50.25,51.44,49.84,50.5,46330631
2026-05-12,50.5,50.55,47.68,48.7,44461287
2026-05-13,48.6,53.0,47.62,51.38,71578715
2026-05-14,51.55,51.68,48.56,48.56,57479803
2026-05-15,48.32,49.09,46.62,47.12,36076784
2026-05-18,46.91,47.51,46.0,46.46,29561660
2026-05-19,46.55,48.16,45.72,47.63,30653499
2026-05-20,47.2,48.74,47.04,47.15,34512309
2026-05-21,47.18,48.1,45.46,45.59,32407830
