date,open,high,low,close,volume,event_flag,no_price_limit_flag
2018-01-02,9.15304,9.21711128,9.1072748,9.20795824,6391057,0,0
2018-01-03,9.18049912,9.26287648,9.14388696,9.18965216,7466851,0,0
2018-01-04,9.18965216,9.1988052,9.09812176,9.16219304,6163812,0,0
2018-01-05,9.15304,9.29948864,9.11642784,9.18965216,7336410,0,0
2018-01-08,9.2445704,9.26287648,9.1072748,9.16219304,6252070,0,0
2018-01-09,9.16219304,9.18965216,9.08896872,9.1072748,4696638,0,0
2018-01-10,9.12558088,9.12558088,8.97913224,9.0157444,6442454,0,0
2018-01-11,9.03405048,9.03405048,8.93336704,8.9699792,7366432,0,0
2018-01-12,8.97913224,9.02489744,8.93336704,8.98828528,5807621,0,0
2018-01-15,8.98828528,8.99743832,8.75030624,8.76861232,7724316,0,0
2018-01-16,8.75945928,8.8326836,8.72284712,8.75945928,4694159,0,0
2018-01-17,8.75945928,8.84183664,8.6496228,8.8326836,5684092,0,0
2018-01-18,8.80522448,8.9699792,8.80522448,8.96082616,5838286,0,0
2018-01-19,8.924214,8.9699792,8.89675488,8.95167312,4629784,0,0
2018-01-22,8.96082616,9.00659136,8.88760184,8.96082616,5195523,0,0
2018-01-23,9.0157444,9.04320352,8.94252008,8.97913224,4944628,0,0
2018-01-24,8.9699792,9.0157444,8.94252008,8.99743832,4871765,0,0
2018-01-25,9.00659136,9.04320352,8.96082616,8.98828528,5264996,0,0
2018-01-26,8.98828528,8.99743832,8.95167312,8.96082616,4257800,0,0
2018-01-29,8.96082616,9.02489744,8.8326836,8.86014272,5891933,0,0
2018-01-30,8.86014272,9.13473392,8.8326836,9.1072748,10889615,0,0
2018-01-31,8.9699792,9.03405048,8.75030624,8.80522448,10697005,0,0
2018-02-01,8.80522448,8.81437752,8.24688904,8.26519512,11731662,0,0
2018-02-02,8.24688904,8.29265424,8.1004404,8.22858296,8292856,0,0
2018-02-05,8.18281776,8.18281776,8.02721608,8.12789952,5500672,0,0
2018-02-06,8.0546752,8.0546752,7.57871712,7.58787016,10997892,0,0
2018-02-07,7.7343188,7.8258492,7.57871712,7.66109448,6812576,0,0
2018-02-08,7.69770664,7.84415528,7.67024752,7.80754312,4128430,0,0
2018-02-09,7.57871712,7.76177792,7.35904416,7.52379888,9162058,0,0
