date,close,peTTM,pbMRQ,psTTM,pcfNcfTTM,pubDate,statDate,profit_roeAvg,profit_npMargin,profit_gpMargin,profit_netProfit,profit_epsTTM,profit_MBRevenue,profit_totalShare,profit_liqaShare,used_pubDate,effective_date,operation_NRTurnRatio,operation_NRTurnDays,operation_INVTurnRatio,operation_INVTurnDays,operation_CATurnRatio,operation_AssetTurnRatio,growth_YOYEquity,growth_YOYAsset,growth_YOYNI,growth_YOYEPSBasic,growth_YOYPNI,solvency_currentRatio,solvency_quickRatio,solvency_cashRatio,solvency_YOYLiability,solvency_liabilityToAsset,solvency_assetToEquity,cashflow_CAToAsset,cashflow_NCAToAsset,cashflow_tangibleAssetToAsset,cashflow_ebitToInterest,cashflow_CFOToOR,cashflow_CFOToNP,cashflow_CFOToGr,dupont_dupontROE,dupont_dupontAssetStoEquity,dupont_dupontAssetTurn,dupont_dupontPnitoni,dupont_dupontNitogr,dupont_dupontTaxBurden,dupont_dupontIntburden,dupont_dupontEbittogr,fund_days_since_effective,peTTM_rank252,pbMRQ_rank252,psTTM_rank252,pcfNcfTTM_rank252,profit_roeAvg_chg4q,profit_npMargin_chg4q,profit_gpMargin_chg4q,profit_netProfit_chg4q,profit_epsTTM_chg4q,profit_MBRevenue_chg4q,profit_totalShare_chg4q,profit_liqaShare_chg4q,growth_YOYEquity_chg4q,growth_YOYAsset_chg4q,growth_YOYNI_chg4q,growth_YOYEPSBasic_chg4q,growth_YOYPNI_chg4q,solvency_currentRatio_chg4q,solvency_quickRatio_chg4q,solvency_cashRatio_chg4q,solvency_YOYLiability_chg4q,solvency_liabilityToAsset_chg4q,solvency_assetToEquity_chg4q,cashflow_CAToAsset_chg4q,cashflow_NCAToAsset_chg4q,cashflow_tangibleAssetToAsset_chg4q,cashflow_ebitToInterest_chg4q,cashflow_CFOToOR_chg4q,cashflow_CFOToNP_chg4q,cashflow_CFOToGr_chg4q,dupont_dupontROE_chg4q,dupont_dupontAssetStoEquity_chg4q,dupont_dupontAssetTurn_chg4q,dupont_dupontPnitoni_chg4q,dupont_dupontNitogr_chg4q,dupont_dupontTaxBurden_chg4q,dupont_dupontIntburden_chg4q,dupont_dupontEbittogr_chg4q
2020-01-02,10.26360072,66.325729,2.459909,4.001267,18.774386,2019-10-31,2019-09-30,0.036418,0.073133,0.360674,103994619.86,0.253402,,433754341.0,433754341.0,True,2019-11-01,2.021167,133.586169,0.734726,367.483973,0.40664,0.176581,0.029719,0.096263,0.506489,0.5625,0.52793,0.938502,0.592248,0.34711,0.029532,0.557791,2.261374,0.413909,0.586091,0.280835,2.20849,0.294312,4.024325,0.294312,0.036418,2.755546,0.176581,1.023418,0.073133,0.89771,0.547202,0.148878,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,11.20477428,72.407807,2.685483,4.368184,20.496,2019-10-31,2019-09-30,0.036418,0.073133,0.360674,103994619.86,0.253402,,433754341.0,433754341.0,True,2019-11-01,2.021167,133.586169,0.734726,367.483973,0.40664,0.176581,0.029719,0.096263,0.506489,0.5625,0.52793,0.938502,0.592248,0.34711,0.029532,0.557791,2.261374,0.413909,0.586091,0.280835,2.20849,0.294312,4.024325,0.294312,0.036418,2.755546,0.176581,1.023418,0.073133,0.89771,0.547202,0.148878,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,11.2666032,72.80736,2.700301,4.392288,20.609099,2019-10-31,2019-09-30,0.036418,0.073133,0.360674,103994619.86,0.253402,,433754341.0,433754341.0,True,2019-11-01,2.021167,133.586169,0.734726,367.483973,0.40664,0.176581,0.029719,0.096263,0.506489,0.5625,0.52793,0.938502,0.592248,0.34711,0.029532,0.557791,2.261374,0.413909,0.586091,0.280835,2.20849,0.294312,4.024325,0.294312,0.036418,2.755546,0.176581,1.023418,0.073133,0.89771,0.547202,0.148878,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,11.30782248,73.073728,2.710181,4.408357,20.684498,2019-10-31,2019-09-30,0.036418,0.073133,0.360674,103994619.86,0.253402,,433754341.0,433754341.0,True,2019-11-01,2.021167,133.586169,0.734726,367.483973,0.40664,0.176581,0.029719,0.096263,0.506489,0.5625,0.52793,0.938502,0.592248,0.34711,0.029532,0.557791,2.261374,0.413909,0.586091,0.280835,2.20849,0.294312,4.024325,0.294312,0.036418,2.755546,0.176581,1.023418,0.073133,0.89771,0.547202,0.148878,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,11.507049,74.361176,2.75793,4.486026,21.048927,2019-10-31,2019-09-30,0.036418,0.073133,0.360674,103994619.86,0.253402,,433754341.0,433754341.0,True,2019-11-01,2.021167,133.586169,0.734726,367.483973,0.40664,0.176581,0.029719,0.096263,0.506489,0.5625,0.52793,0.938502,0.592248,0.34711,0.029532,0.557791,2.261374,0.413909,0.586091,0.280835,2.20849,0.294312,4.024325,0.294312,0.036418,2.755546,0.176581,1.023418,0.073133,0.89771,0.547202,0.148878,68,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,11.54826828,74.627544,2.767809,4.502095,21.124326,2019-10-31,2019-09-30,0.036418,0.073133,0.360674,103994619.86,0.253402,,433754341.0,433754341.0,True,2019-11-01,2.021167,133.586169,0.734726,367.483973,0.40664,0.176581,0.029719,0.096263,0.506489,0.5625,0.52793,0.938502,0.592248,0.34711,0.029532,0.557791,2.261374,0.413909,0.586091,0.280835,2.20849,0.294312,4.024325,0.294312,0.036418,2.755546,0.176581,1.023418,0.073133,0.89771,0.547202,0.148878,69,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,11.50017912,74.316781,2.756283,4.483348,21.036361,2019-10-31,2019-09-30,0.036418,0.073133,0.360674,103994619.86,0.253402,,433754341.0,433754341.0,True,2019-11-01,2.021167,133.586169,0.734726,367.483973,0.40664,0.176581,0.029719,0.096263,0.506489,0.5625,0.52793,0.938502,0.592248,0.34711,0.029532,0.557791,2.261374,0.413909,0.586091,0.280835,2.20849,0.294312,4.024325,0.294312,0.036418,2.755546,0.176581,1.023418,0.073133,0.89771,0.547202,0.148878,70,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,11.80245384,76.270149,2.82873,4.60119,21.589288,2019-10-31,2019-09-30,0.036418,0.073133,0.360674,103994619.86,0.253402,,433754341.0,433754341.0,True,2019-11-01,2.021167,133.586169,0.734726,367.483973,0.40664,0.176581,0.029719,0.096263,0.506489,0.5625,0.52793,0.938502,0.592248,0.34711,0.029532,0.557791,2.261374,0.413909,0.586091,0.280835,2.20849,0.294312,4.024325,0.294312,0.036418,2.755546,0.176581,1.023418,0.073133,0.89771,0.547202,0.148878,73,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,11.96733096,77.335623,2.868247,4.665467,21.890884,2019-10-31,2019-09-30,0.036418,0.073133,0.360674,103994619.86,0.253402,,433754341.0,433754341.0,True,2019-11-01,2.021167,133.586169,0.734726,367.483973,0.40664,0.176581,0.029719,0.096263,0.506489,0.5625,0.52793,0.938502,0.592248,0.34711,0.029532,0.557791,2.261374,0.413909,0.586091,0.280835,2.20849,0.294312,4.024325,0.294312,0.036418,2.755546,0.176581,1.023418,0.073133,0.89771,0.547202,0.148878,74,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,11.72001528,75.737412,2.808972,4.569051,21.438489,2019-10-31,2019-09-30,0.036418,0.073133,0.360674,103994619.86,0.253402,,433754341.0,433754341.0,True,2019-11-01,2.021167,133.586169,0.734726,367.483973,0.40664,0.176581,0.029719,0.096263,0.506489,0.5625,0.52793,0.938502,0.592248,0.34711,0.029532,0.557791,2.261374,0.413909,0.586091,0.280835,2.20849,0.294312,4.024325,0.294312,0.036418,2.755546,0.176581,1.023418,0.073133,0.89771,0.547202,0.148878,75,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
