date,open,high,low,close,volume
2026-01-05,1.393,1.415,1.374,1.407,443287794
2026-01-06,1.398,1.455,1.396,1.453,357351383
2026-01-07,1.447,1.455,1.422,1.44,379881479
2026-01-08,1.432,1.507,1.43,1.505,606486189
2026-01-09,1.526,1.587,1.517,1.567,882136907
2026-01-12,1.588,1.684,1.585,1.682,809767251
2026-01-13,1.654,1.654,1.541,1.552,923147457
2026-01-14,1.541,1.61,1.539,1.563,853152504
2026-01-15,1.531,1.545,1.495,1.503,513449865
2026-01-16,1.507,1.525,1.482,1.495,445094085
2026-01-19,1.48,1.542,1.479,1.526,439316076
2026-01-20,1.524,1.536,1.46,1.477,559668420
2026-01-21,1.468,1.5,1.467,1.479,303873203
2026-01-22,1.48,1.528,1.479,1.526,392873880
2026-01-23,1.533,1.58,1.52,1.574,515972606
2026-01-26,1.566,1.566,1.495,1.503,556412495
2026-01-27,1.483,1.529,1.48,1.525,365782168
2026-01-28,1.527,1.527,1.492,1.503,396439035
2026-01-29,1.49,1.505,1.47,1.473,417626047
2026-01-30,1.461,1.476,1.418,1.446,424774135
2026-02-02,1.444,1.469,1.416,1.42,287963961
2026-02-03,1.436,1.483,1.427,1.483,446594610
2026-02-04,1.477,1.505,1.464,1.485,306176930
2026-02-05,1.467,1.493,1.459,1.466,212304364
2026-02-06,1.45,1.467,1.435,1.44,241254200
2026-02-09,1.462,1.47,1.448,1.466,224852942
2026-02-10,1.467,1.475,1.443,1.469,316329214
2026-02-11,1.465,1.483,1.456,1.458,243044418
2026-02-12,1.456,1.481,1.449,1.478,227381800
2026-02-13,1.474,1.498,1.47,1.483,381236300
2026-02-24,1.491,1.516,1.481,1.501,435177500
2026-02-25,1.5,1.53,1.49,1.526,481721500
2026-02-26,1.524,1.556,1.511,1.552,452509982
2026-02-27,1.544,1.563,1.537,1.55,343642183
2026-03-02,1.599,1.602,1.555,1.588,1034625370
2026-03-03,1.588,1.588,1.475,1.479,945083079
2026-03-04,1.449,1.512,1.445,1.497,466497786
2026-03-05,1.506,1.517,1.487,1.508,374593763
2026-03-06,1.493,1.547,1.492,1.523,417849185
2026-03-09,1.511,1.511,1.463,1.493,516644635
2026-03-10,1.498,1.53,1.496,1.511,328385814
2026-03-11,1.512,1.518,1.486,1.489,278402764
2026-03-12,1.488,1.489,1.446,1.457,380207075
2026-03-13,1.447,1.449,1.412,1.414,359109833
2026-03-16,1.415,1.417,1.39,1.415,259814319
2026-03-17,1.416,1.423,1.376,1.376,245916900
2026-03-18,1.376,1.402,1.368,1.4,307010100
2026-03-19,1.377,1.383,1.357,1.363,253645600
2026-03-20,1.369,1.373,1.324,1.325,239226405
2026-03-23,1.296,1.307,1.251,1.259,372186509
2026-03-24,1.276,1.291,1.26,1.29,376424817
2026-03-25,1.29,1.318,1.29,1.313,301133445
2026-03-26,1.316,1.318,1.28,1.288,201277647
2026-03-27,1.267,1.303,1.266,1.296,201320568
2026-03-30,1.276,1.312,1.271,1.31,421030243
2026-03-31,1.31,1.339,1.302,1.304,283653550
2026-04-01,1.326,1.327,1.3,1.309,191220441
2026-04-02,1.307,1.319,1.279,1.285,174854911
2026-04-03,1.286,1.293,1.266,1.27,311281000
2026-04-07,1.27,1.277,1.261,1.269,144595800
2026-04-08,1.291,1.333,1.291,1.333,366708667
2026-04-09,1.321,1.336,1.313,1.323,201006814
2026-04-10,1.33,1.358,1.33,1.339,248829867
2026-04-13,1.33,1.355,1.328,1.351,223015743
2026-04-14,1.36,1.375,1.348,1.375,321832146
2026-04-15,1.381,1.397,1.363,1.367,374582844
2026-04-16,1.367,1.376,1.357,1.375,253806000
2026-04-17,1.367,1.389,1.366,1.386,281172070
2026-04-20,1.384,1.427,1.38,1.425,424868300
2026-04-21,1.423,1.43,1.405,1.416,279105000
2026-04-22,1.402,1.422,1.397,1.42,324190200
2026-04-23,1.424,1.445,1.408,1.424,405108561
2026-04-24,1.419,1.42,1.389,1.396,288350700
2026-04-27,1.389,1.395,1.374,1.393,233855400
2026-04-28,1.39,1.394,1.367,1.371,213737641
2026-04-29,1.36,1.379,1.36,1.377,229328100
2026-04-30,1.379,1.402,1.378,1.399,224907806
2026-05-06,1.403,1.439,1.403,1.43,323398291
2026-05-07,1.433,1.448,1.426,1.446,211545145
2026-05-08,1.441,1.479,1.431,1.474,334222115
2026-05-11,1.481,1.495,1.474,1.483,368032962
2026-05-12,1.479,1.485,1.45,1.469,398063773
2026-05-13,1.46,1.489,1.455,1.488,385470777
2026-05-14,1.488,1.491,1.418,1.419,412282200
2026-05-15,1.416,1.431,1.375,1.385,417342100
2026-05-18,1.374,1.398,1.367,1.375,302104400
2026-05-19,1.376,1.377,1.344,1.377,226365484
2026-05-20,1.371,1.379,1.36,1.371,156575169
2026-05-21,1.379,1.397,1.335,1.337,261217705
