date,open,high,low,close,volume
2018-01-02,7.29263325,7.39979031,7.29263325,7.37002446,2461663
2018-01-03,7.33430544,7.49504103,7.33430544,7.47122835,3591228
2018-01-04,7.51290054,7.51290054,7.35811812,7.38788397,2948771
2018-01-05,7.43550933,7.43550933,7.32835227,7.35216495,2346401
2018-01-08,7.37002446,7.37002446,7.25691423,7.28668008,2383721
2018-01-09,7.25096106,7.42360299,7.25096106,7.2628674,2982568
2018-01-10,7.29858642,7.29858642,7.00688109,7.09022547,3945256
2018-01-11,7.11403815,7.29263325,7.04855328,7.25096106,3376967
2018-01-12,7.21524204,7.2628674,7.10213181,7.11999132,2337241
2018-01-15,7.0247406,7.11403815,6.54253383,6.61397187,8519674
2018-01-16,6.64373772,6.67350357,6.39965775,6.45323628,5331587
2018-01-17,6.46514262,6.64373772,6.38775141,6.6080187,4607282
2018-01-18,6.64373772,6.64373772,6.45918945,6.4889553,3321406
2018-01-19,6.51276798,6.61992504,6.45918945,6.4889553,3253237
2018-01-22,6.4889553,6.63183138,6.35203239,6.59015919,4366766
2018-01-23,6.59015919,6.63183138,6.548487,6.6080187,3263049
2018-01-24,6.63183138,6.71517576,6.50086164,6.70922259,5779643
2018-01-25,6.68540991,6.89377086,6.67350357,6.71517576,6518889
2018-01-26,6.70922259,6.76280112,6.6080187,6.65564406,3010187
2018-01-29,6.61992504,6.78066063,6.56039334,6.58420602,3421534
2018-01-30,6.55444017,6.71517576,6.55444017,6.62587821,2381765
2018-01-31,6.57825285,6.6080187,6.1317651,6.1317651,6102294
2018-02-01,6.13771827,6.25678167,5.78648124,5.81624709,4772018
2018-02-02,5.81624709,5.94126366,5.62574565,5.90554464,2923748
2018-02-05,5.7745749,5.8341066,5.60788614,5.78648124,2337766
2018-02-06,5.60788614,5.7150432,5.20902375,5.20902375,8020721
2018-02-07,5.28046179,5.35189983,4.83992721,5.13163254,7408867
2018-02-08,5.10186669,5.25069594,4.8815994,5.1792579,5088607
2018-02-09,4.97089695,5.14949205,4.81611453,4.91731842,5938735
2018-02-12,5.05424133,5.20902375,4.9411311,5.16139839,4370652
2018-02-13,5.21497692,5.26260228,5.0601945,5.11377303,4044171
2018-02-14,5.10186669,5.19116424,5.03042865,5.16735156,3515749
2018-02-22,5.22093009,5.32808715,5.15544522,5.29236813,4196838
2018-02-23,5.31022764,5.42929104,5.25664911,5.31022764,3711977
2018-02-26,5.357853,5.50668225,5.30427447,5.48882274,4201239
2018-02-27,5.49477591,5.75671539,5.43524421,5.64955833,7822686
2018-02-28,5.56026078,5.91745098,5.51858859,5.76862173,8102707
2018-03-01,5.7150432,6.14367144,5.67337101,6.11985876,9982902
2018-03-02,6.0722334,6.21510948,5.95912317,6.01865487,8206273
2018-03-05,6.06032706,6.06032706,5.93531049,6.06032706,4300582
