feature_group,model_name,window_id,split,target_hit_bps,entry_policy,quantile,threshold,auc,train_start,train_end,valid_start,valid_end,test_start,test_end,trades,win_rate,avg_return,median_return,compound_return,max_drawdown,profit_factor
all_no_ak,xgb_d3_400_lr003_mcw3,1,valid,50.0,all_days,0.8,0.7072508931159973,0.48767558971640607,2020-01-02,2023-02-16,2023-02-17,2023-08-21,2023-08-22,2023-11-24,26,0.4230769230769231,-0.0014623037835697409,-0.0037232642539941595,-0.040004640497719346,-0.09513665714694253,0.7870146121628703
all_no_ak,xgb_d3_400_lr003_mcw3,1,test,50.0,all_days,0.8,0.7072508931159973,0.5395537525354969,2020-01-02,2023-02-16,2023-02-17,2023-08-21,2023-08-22,2023-11-24,35,0.45714285714285713,0.0015491115489123012,-0.003790564808110127,0.048486945071173126,-0.07241918476014675,1.2222209109789612
all_no_ak,xgb_d3_400_lr003_mcw3,2,valid,50.0,all_days,0.8,0.7043651342391968,0.5720261437908497,2020-04-09,2023-05-22,2023-05-23,2023-11-24,2023-11-27,2024-03-01,26,0.6538461538461539,0.005921012914040629,0.007069259125198849,0.15768465235945217,-0.051004361844254165,1.8940788161692383
all_no_ak,xgb_d3_400_lr003_mcw3,2,test,50.0,all_days,0.8,0.7043651342391968,0.4771309771309771,2020-04-09,2023-05-22,2023-05-23,2023-11-24,2023-11-27,2024-03-01,17,0.4117647058823529,-0.0017111077604164346,-0.008573361344537896,-0.03650921413426511,-0.12569071104931073,0.8577070320346084
all_no_ak,xgb_d3_400_lr003_mcw3,3,valid,50.0,all_days,0.7,0.6095809638500214,0.5037131882202305,2020-07-14,2023-08-21,2023-08-22,2024-03-01,2024-03-04,2024-06-05,38,0.47368421052631576,-0.001361969377272897,-0.00500035783290825,-0.07029451105439599,-0.25772008814927105,0.8976508633674197
all_no_ak,xgb_d3_400_lr003_mcw3,3,test,50.0,all_days,0.7,0.6095809638500214,0.5520408163265307,2020-07-14,2023-08-21,2023-08-22,2024-03-01,2024-03-04,2024-06-05,22,0.4090909090909091,0.0017663434631060746,-0.003297171646977067,0.027309835366621238,-0.08735805316415934,1.1641453539347026
all_no_ak,xgb_d3_400_lr003_mcw3,4,valid,50.0,all_days,0.5,0.7063854932785034,0.4683641975308642,2020-10-19,2023-11-24,2023-11-27,2024-06-05,2024-06-06,2024-09-03,63,0.42857142857142855,-0.0028116865000078987,-0.0038437692872887973,-0.18795406310462526,-0.321070611792584,0.7767002125348526
all_no_ak,xgb_d3_400_lr003_mcw3,4,test,50.0,all_days,0.5,0.7063854932785034,0.5072765072765073,2020-10-19,2023-11-24,2023-11-27,2024-06-05,2024-06-06,2024-09-03,26,0.4230769230769231,-0.005740661989486102,-0.002491529074178763,-0.14381478005442094,-0.17080605943072413,0.4704608129027611
all_no_ak,xgb_d3_400_lr003_mcw3,5,valid,50.0,all_days,0.8,0.6148762702941895,0.5568415637860082,2021-01-15,2024-03-01,2024-03-04,2024-09-03,2024-09-04,2024-12-10,26,0.5384615384615384,0.005684222963215019,0.002435804892410468,0.14494643825876974,-0.13662164476134064,1.6834302784469894
all_no_ak,xgb_d3_400_lr003_mcw3,5,test,50.0,all_days,0.8,0.6148762702941895,0.5060606060606061,2021-01-15,2024-03-01,2024-03-04,2024-09-03,2024-09-04,2024-12-10,22,0.5454545454545454,0.0064113494982015245,0.006691819733388619,0.1404635299648811,-0.07770306868404686,1.7666193219817452
all_no_ak,xgb_d3_400_lr003_mcw3,6,valid,50.0,all_days,0.8,0.5462496876716614,0.4859600303566912,2021-04-22,2024-06-05,2024-06-06,2024-12-10,2024-12-11,2025-03-18,26,0.5769230769230769,0.004578850370688268,0.003497090338798973,0.11575786472734362,-0.09202895109696119,1.559030721843892
all_no_ak,xgb_d3_400_lr003_mcw3,6,test,50.0,all_days,0.8,0.5462496876716614,0.5303030303030303,2021-04-22,2024-06-05,2024-06-06,2024-12-10,2024-12-11,2025-03-18,12,0.4166666666666667,0.00641779098427803,-0.00045058361391697374,0.07708315241425034,-0.042902132777180135,2.385578955241142
all_no_ak,xgb_d3_400_lr003_mcw3,7,valid,50.0,all_days,0.7,0.43179015815258026,0.5088383838383839,2021-07-26,2024-09-03,2024-09-04,2025-03-18,2025-03-19,2025-06-20,38,0.5526315789473685,0.013439015775121927,0.003140717580685907,0.6317621113572316,-0.045602016855301075,3.5677257398470106
all_no_ak,xgb_d3_400_lr003_mcw3,7,test,50.0,all_days,0.7,0.43179015815258026,0.6693548387096774,2021-07-26,2024-09-03,2024-09-04,2025-03-18,2025-03-19,2025-06-20,29,0.5862068965517241,0.0013697777890930847,0.002522514808831259,0.027963815312370466,-0.09178065002966296,1.135674098249789
