feature_group,model_name,window_id,split,target_hit_bps,entry_policy,quantile,threshold,auc,train_start,train_end,valid_start,valid_end,test_start,test_end,trades,win_rate,avg_return,median_return,compound_return,max_drawdown,profit_factor
all_no_ak,xgb_d3_400_lr003_mcw3,1,valid,50.0,vwap_low,0.7,0.6606353223323822,0.47866419294990725,2020-01-02,2023-02-16,2023-02-17,2023-08-21,2023-08-22,2023-11-24,38,0.42105263157894735,-0.0008590925692990544,-0.0025765481843260628,-0.03769046607258186,-0.08758761940663384,0.877866488457443
all_no_ak,xgb_d3_400_lr003_mcw3,1,test,50.0,vwap_low,0.7,0.6606353223323822,0.5588235294117647,2020-01-02,2023-02-16,2023-02-17,2023-08-21,2023-08-22,2023-11-24,45,0.4666666666666667,-0.002026074811240357,-0.003790564808110127,-0.09998219561766253,-0.17703817622237883,0.7870857346006496
all_no_ak,xgb_d3_400_lr003_mcw3,2,valid,50.0,vwap_low,0.8,0.6444738030433655,0.5599999999999999,2020-04-09,2023-05-22,2023-05-23,2023-11-24,2023-11-27,2024-03-01,25,0.48,0.0022937704503886193,-0.003790564808110127,0.05313817149829436,-0.08011415469332517,1.3175597474513268
all_no_ak,xgb_d3_400_lr003_mcw3,2,test,50.0,vwap_low,0.8,0.6444738030433655,0.47713097713097713,2020-04-09,2023-05-22,2023-05-23,2023-11-24,2023-11-27,2024-03-01,18,0.3333333333333333,-0.0077158048711307,-0.007995883389793176,-0.13767986011784084,-0.1695190446441437,0.4991208181279398
all_no_ak,xgb_d3_400_lr003_mcw3,3,valid,50.0,vwap_low,0.8,0.6605824828147888,0.47631241997439183,2020-07-14,2023-08-21,2023-08-22,2024-03-01,2024-03-04,2024-06-05,25,0.48,-0.0024655302139791986,-0.002813171806167355,-0.07233403223602508,-0.17477734965387504,0.8198594547087662
all_no_ak,xgb_d3_400_lr003_mcw3,3,test,50.0,vwap_low,0.8,0.6605824828147888,0.6091836734693877,2020-07-14,2023-08-21,2023-08-22,2024-03-01,2024-03-04,2024-06-05,16,0.4375,-0.000982637929587334,-0.004290879120879051,-0.025786636271548424,-0.05408267879520756,0.9302633668128009
all_no_ak,xgb_d3_400_lr003_mcw3,4,valid,50.0,vwap_low,0.5,0.6722666621208191,0.47608024691358025,2020-10-19,2023-11-24,2023-11-27,2024-06-05,2024-06-06,2024-09-03,59,0.4067796610169492,-0.002725803324977855,-0.005110014114326097,-0.1781718860057977,-0.32086150944857694,0.7993144722834316
all_no_ak,xgb_d3_400_lr003_mcw3,4,test,50.0,vwap_low,0.5,0.6722666621208191,0.4802494802494802,2020-10-19,2023-11-24,2023-11-27,2024-06-05,2024-06-06,2024-09-03,27,0.4444444444444444,-0.0043047572381239695,-0.0010733423667570428,-0.11379000355955105,-0.12637535253616894,0.49529648897352113
all_no_ak,xgb_d3_400_lr003_mcw3,5,valid,50.0,vwap_low,0.8,0.6410950779914857,0.5740740740740741,2021-01-15,2024-03-01,2024-03-04,2024-09-03,2024-09-04,2024-12-10,24,0.5416666666666666,0.004989941712186738,0.002435804892410468,0.11496241006821784,-0.07462586027377571,1.5855219223126766
all_no_ak,xgb_d3_400_lr003_mcw3,5,test,50.0,vwap_low,0.8,0.6410950779914857,0.47878787878787876,2021-01-15,2024-03-01,2024-03-04,2024-09-03,2024-09-04,2024-12-10,17,0.5294117647058824,0.007087279343316711,0.005958702757916438,0.12075162719111132,-0.07913905046794034,2.069510276097152
all_no_ak,xgb_d3_400_lr003_mcw3,6,valid,50.0,vwap_low,0.8,0.518012285232544,0.4948140652668859,2021-04-22,2024-06-05,2024-06-06,2024-12-10,2024-12-11,2025-03-18,22,0.5909090909090909,0.0068026639210128585,0.007259429613510341,0.15004992922887816,-0.10070797684052335,1.787072366599692
all_no_ak,xgb_d3_400_lr003_mcw3,6,test,50.0,vwap_low,0.8,0.518012285232544,0.5545454545454546,2021-04-22,2024-06-05,2024-06-06,2024-12-10,2024-12-11,2025-03-18,11,0.45454545454545453,0.004050402330135361,-0.0007311672278339475,0.04247994992340964,-0.06342617081014112,1.5787529211186793
all_no_ak,xgb_d3_400_lr003_mcw3,7,valid,50.0,vwap_low,0.7,0.400058352947235,0.4805555555555555,2021-07-26,2024-09-03,2024-09-04,2025-03-18,2025-03-19,2025-06-20,29,0.5862068965517241,0.013716713197160762,0.005958702757916438,0.4710233133144366,-0.04100596440875337,4.546828583248486
all_no_ak,xgb_d3_400_lr003_mcw3,7,test,50.0,vwap_low,0.7,0.400058352947235,0.6925403225806451,2021-07-26,2024-09-03,2024-09-04,2025-03-18,2025-03-19,2025-06-20,24,0.6666666666666666,0.006923898311623121,0.004464949385069476,0.16317614441629424,-0.07490928157589816,1.7790752007523951
